Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.175285, 8.177925, 0.539385
1, 7.357919, 7.360394, 0.535069
1, 6.540343, 6.542482, 0.541748
1, 5.722758, 5.724715, 0.559694
1, 4.904994, 4.907197, 0.588830
1, 4.087833, 4.089083, 0.629205
1, 3.270586, 3.271333, 0.680986
1, 2.452714, 2.453294, 0.743924
1, 1.634875, 1.635238, 0.818205
1, 0.817585, 0.817621, 0.903486
1, 0.000000, 0.000000, 1.000000
2, 8.177925, 8.179201, 0.539335
2, 7.360394, 7.360767, 0.534917
2, 6.542482, 6.543288, 0.541641
2, 5.724715, 5.725750, 0.559566
2, 4.907197, 4.907564, 0.588816
2, 4.089083, 4.089660, 0.629279
2, 3.271333, 3.271606, 0.680929
2, 2.453294, 2.454055, 0.743960
2, 1.635238, 1.635998, 0.818187
2, 0.817621, 0.817846, 0.903491
2, 0.000000, 0.000000, 1.000000
3, 8.179201, 8.178298, 0.539393
3, 7.360767, 7.360345, 0.535003
3, 6.543288, 6.542609, 0.541779
3, 5.725750, 5.725100, 0.559666
3, 4.907564, 4.907043, 0.588830
3, 4.089660, 4.089257, 0.629256
3, 3.271606, 3.271490, 0.681002
3, 2.454055, 2.453336, 0.743949
3, 1.635998, 1.635645, 0.818139
3, 0.817846, 0.817947, 0.903459
3, 0.000000, 0.000000, 1.000000
4, 8.178298, 8.175797, 0.539411
4, 7.360345, 7.358253, 0.535001
4, 6.542609, 6.540977, 0.541674
4, 5.725100, 5.723349, 0.559729
4, 4.907043, 4.905915, 0.588895
4, 4.089257, 4.088414, 0.629406
4, 3.271490, 3.270894, 0.681025
4, 2.453336, 2.453718, 0.743863
4, 1.635645, 1.635486, 0.818041
4, 0.817947, 0.817895, 0.903414
4, 0.000000, 0.000000, 1.000000
5, 8.175797, 8.176878, 0.539368
5, 7.358253, 7.358953, 0.534906
5, 6.540977, 6.541335, 0.541692
5, 5.723349, 5.723703, 0.559646
5, 4.905915, 4.905731, 0.588902
5, 4.088414, 4.088480, 0.629262
5, 3.270894, 3.270809, 0.680828
5, 2.453718, 2.453613, 0.743837
5, 1.635486, 1.635518, 0.818070
5, 0.817895, 0.817645, 0.903443
5, 0.000000, 0.000000, 1.000000
6, 8.176878, 8.176472, 0.539455
6, 7.358953, 7.358453, 0.534954
6, 6.541335, 6.540909, 0.541716
6, 5.723703, 5.723182, 0.559738
6, 4.905731, 4.905303, 0.588959
6, 4.088480, 4.087842, 0.629378
6, 3.270809, 3.270054, 0.681093
6, 2.453613, 2.452537, 0.744034
6, 1.635518, 1.635027, 0.818129
6, 0.817645, 0.817537, 0.903484
6, 0.000000, 0.000000, 1.000000
7, 8.176472, 8.178040, 0.539360
7, 7.358453, 7.360117, 0.534882
7, 6.540909, 6.541917, 0.541627
7, 5.723182, 5.724210, 0.559514
7, 4.905303, 4.906362, 0.588678
7, 4.087842, 4.088293, 0.629235
7, 3.270054, 3.270882, 0.680985
7, 2.452537, 2.452894, 0.743971
7, 1.635027, 1.635238, 0.818179
7, 0.817537, 0.817592, 0.903486
7, 0.000000, 0.000000, 1.000000
8, 8.178040, 8.175616, 0.539431
8, 7.360117, 7.358333, 0.534950
8, 6.541917, 6.541060, 0.541685
8, 5.724210, 5.723709, 0.559707
8, 4.906362, 4.906138, 0.588899
8, 4.088293, 4.088812, 0.629214
8, 3.270882, 3.271127, 0.680961
8, 2.452894, 2.453678, 0.743893
8, 1.635238, 1.635849, 0.818096
8, 0.817592, 0.817915, 0.903451
8, 0.000000, 0.000000, 1.000000
9, 8.175616, 8.175722, 0.539319
9, 7.358333, 7.357529, 0.534907
9, 6.541060, 6.540167, 0.541674
9, 5.723709, 5.722732, 0.559741
9, 4.906138, 4.904972, 0.588871
9, 4.088812, 4.087356, 0.629344
9, 3.271127, 3.269900, 0.681044
9, 2.453678, 2.452688, 0.744018
9, 1.635849, 1.635270, 0.818084
9, 0.817915, 0.817550, 0.903451
9, 0.000000, 0.000000, 1.000000
10, 8.175722, 8.176723, 0.539311
10, 7.357529, 7.359024, 0.534975
10, 6.540167, 6.541735, 0.541743
10, 5.722732, 5.723893, 0.559759
10, 4.904972, 4.906361, 0.589025
10, 4.087356, 4.089212, 0.629461
10, 3.269900, 3.271758, 0.681152
10, 2.452688, 2.454161, 0.744083
10, 1.635270, 1.636267, 0.818154
10, 0.817550, 0.818018, 0.903491
10, 0.000000, 0.000000, 1.000000
