Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.175285, 8.177925, 0.901281
1, 7.357790, 7.360208, 0.825159
1, 6.540443, 6.542114, 0.768797
1, 5.723218, 5.724281, 0.732169
1, 4.906109, 4.906155, 0.714829
1, 4.087883, 4.088321, 0.716072
1, 3.270041, 3.270542, 0.735848
1, 2.452411, 2.453138, 0.774680
1, 1.635251, 1.635624, 0.831623
1, 0.817480, 0.818078, 0.906499
1, 0.000000, 0.000000, 1.000000
2, 8.177925, 8.179201, 0.860145
2, 7.360208, 7.361286, 0.791633
2, 6.542114, 6.543345, 0.742763
2, 5.724281, 5.725213, 0.712662
2, 4.906155, 4.907054, 0.700756
2, 4.088321, 4.089450, 0.706535
2, 3.270542, 3.271035, 0.729570
2, 2.453138, 2.453226, 0.770978
2, 1.635624, 1.635156, 0.830053
2, 0.818078, 0.817631, 0.906110
2, 0.000000, 0.000000, 1.000000
3, 8.179201, 8.178298, 0.866806
3, 7.361286, 7.360661, 0.796829
3, 6.543345, 6.543099, 0.746940
3, 5.725213, 5.725261, 0.715959
3, 4.907054, 4.907307, 0.703194
3, 4.089450, 4.089280, 0.708154
3, 3.271035, 3.271767, 0.730739
3, 2.453226, 2.453980, 0.771608
3, 1.635156, 1.635932, 0.830273
3, 0.817631, 0.818063, 0.906129
3, 0.000000, 0.000000, 1.000000
4, 8.178298, 8.175797, 0.895255
4, 7.360661, 7.358333, 0.821263
4, 6.543099, 6.540720, 0.765904
4, 5.725261, 5.723337, 0.730002
4, 4.907307, 4.905471, 0.713109
4, 4.089280, 4.087831, 0.715079
4, 3.271767, 3.270662, 0.735240
4, 2.453980, 2.452980, 0.774149
4, 1.635932, 1.634810, 0.831280
4, 0.818063, 0.817343, 0.906352
4, 0.000000, 0.000000, 1.000000
5, 8.175797, 8.176878, 0.887208
5, 7.358333, 7.359413, 0.813235
5, 6.540720, 6.541850, 0.759008
5, 5.723337, 5.724056, 0.724553
5, 4.905471, 4.906280, 0.709243
5, 4.087831, 4.088250, 0.712243
5, 3.270662, 3.270336, 0.733222
5, 2.452980, 2.452642, 0.773238
5, 1.634810, 1.634895, 0.830934
5, 0.817343, 0.817260, 0.906336
5, 0.000000, 0.000000, 1.000000
6, 8.176878, 8.176472, 0.907463
6, 7.359413, 7.358507, 0.830255
6, 6.541850, 6.541009, 0.772865
6, 5.724056, 5.723330, 0.735242
6, 4.906280, 4.906199, 0.717098
6, 4.088250, 4.088251, 0.717661
6, 3.270336, 3.270356, 0.736746
6, 2.452642, 2.452520, 0.775194
6, 1.634895, 1.635097, 0.831774
6, 0.817260, 0.817837, 0.906563
6, 0.000000, 0.000000, 1.000000
7, 8.176472, 8.178040, 0.865261
7, 7.358507, 7.360594, 0.796031
7, 6.541009, 6.542758, 0.746387
7, 5.723330, 5.724955, 0.715578
7, 4.906199, 4.907052, 0.702814
7, 4.088251, 4.089185, 0.707864
7, 3.270356, 3.271448, 0.730331
7, 2.452520, 2.453791, 0.771388
7, 1.635097, 1.635965, 0.830184
7, 0.817837, 0.818013, 0.906094
7, 0.000000, 0.000000, 1.000000
8, 8.178040, 8.175616, 0.885085
8, 7.360594, 7.357898, 0.811811
8, 6.542758, 6.540538, 0.757859
8, 5.724955, 5.723056, 0.724104
8, 4.907052, 4.905260, 0.708939
8, 4.089185, 4.087905, 0.711960
8, 3.271448, 3.269965, 0.733195
8, 2.453791, 2.452127, 0.773106
8, 1.635965, 1.635019, 0.830920
8, 0.818013, 0.817581, 0.906311
8, 0.000000, 0.000000, 1.000000
9, 8.175616, 8.175722, 0.884130
9, 7.357898, 7.358095, 0.811117
9, 6.540538, 6.540808, 0.758070
9, 5.723056, 5.722987, 0.724357
9, 4.905260, 4.905486, 0.709157
9, 4.087905, 4.088626, 0.712121
9, 3.269965, 3.270765, 0.733138
9, 2.452127, 2.452866, 0.773146
9, 1.635019, 1.635146, 0.830849
9, 0.817581, 0.817788, 0.906266
9, 0.000000, 0.000000, 1.000000
10, 8.175722, 8.176723, 0.922682
10, 7.358095, 7.358694, 0.843055
10, 6.540808, 6.541084, 0.783735
10, 5.722987, 5.723552, 0.743846
10, 4.905486, 4.906027, 0.723570
10, 4.088626, 4.088107, 0.722157
10, 3.270765, 3.270751, 0.739720
10, 2.452866, 2.453110, 0.776789
10, 1.635146, 1.635309, 0.832507
10, 0.817788, 0.817613, 0.906733
10, 0.000000, 0.000000, 1.000000
