Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.175285, 8.177925, 0.539357
1, 8.175285, 8.177925, 0.539394
1, 8.175285, 8.177925, 0.539378
1, 8.175285, 8.177925, 0.539413
1, 8.175285, 8.177925, 0.539402
1, 8.175285, 8.177925, 0.539364
1, 8.175285, 8.177925, 0.539467
1, 8.175285, 8.177925, 0.539336
1, 8.175285, 8.177925, 0.539339
1, 8.175285, 8.177925, 0.539322
1, 8.175285, 8.177925, 0.539301
2, 8.177925, 8.179201, 0.539333
2, 8.177925, 8.179201, 0.539288
2, 8.177925, 8.179201, 0.539323
2, 8.177925, 8.179201, 0.539340
2, 8.177925, 8.179201, 0.539432
2, 8.177925, 8.179201, 0.539277
2, 8.177925, 8.179201, 0.539399
2, 8.177925, 8.179201, 0.539376
2, 8.177925, 8.179201, 0.539304
2, 8.177925, 8.179201, 0.539257
2, 8.177925, 8.179201, 0.539246
3, 8.179201, 8.178298, 0.539407
3, 8.179201, 8.178298, 0.539388
3, 8.179201, 8.178298, 0.539371
3, 8.179201, 8.178298, 0.539450
3, 8.179201, 8.178298, 0.539522
3, 8.179201, 8.178298, 0.539281
3, 8.179201, 8.178298, 0.539469
3, 8.179201, 8.178298, 0.539395
3, 8.179201, 8.178298, 0.539304
3, 8.179201, 8.178298, 0.539285
3, 8.179201, 8.178298, 0.539294
4, 8.178298, 8.175797, 0.539420
4, 8.178298, 8.175797, 0.539361
4, 8.178298, 8.175797, 0.539403
4, 8.178298, 8.175797, 0.539419
4, 8.178298, 8.175797, 0.539491
4, 8.178298, 8.175797, 0.539311
4, 8.178298, 8.175797, 0.539458
4, 8.178298, 8.175797, 0.539375
4, 8.178298, 8.175797, 0.539317
4, 8.178298, 8.175797, 0.539282
4, 8.178298, 8.175797, 0.539256
5, 8.175797, 8.176878, 0.539369
5, 8.175797, 8.176878, 0.539325
5, 8.175797, 8.176878, 0.539370
5, 8.175797, 8.176878, 0.539383
5, 8.175797, 8.176878, 0.539348
5, 8.175797, 8.176878, 0.539321
5, 8.175797, 8.176878, 0.539418
5, 8.175797, 8.176878, 0.539332
5, 8.175797, 8.176878, 0.539329
5, 8.175797, 8.176878, 0.539312
5, 8.175797, 8.176878, 0.539283
6, 8.176878, 8.176472, 0.539383
6, 8.176878, 8.176472, 0.539382
6, 8.176878, 8.176472, 0.539332
6, 8.176878, 8.176472, 0.539443
6, 8.176878, 8.176472, 0.539480
6, 8.176878, 8.176472, 0.539397
6, 8.176878, 8.176472, 0.539436
6, 8.176878, 8.176472, 0.539398
6, 8.176878, 8.176472, 0.539413
6, 8.176878, 8.176472, 0.539375
6, 8.176878, 8.176472, 0.539349
7, 8.176472, 8.178040, 0.539301
7, 8.176472, 8.178040, 0.539301
7, 8.176472, 8.178040, 0.539370
7, 8.176472, 8.178040, 0.539467
7, 8.176472, 8.178040, 0.539430
7, 8.176472, 8.178040, 0.539330
7, 8.176472, 8.178040, 0.539411
7, 8.176472, 8.178040, 0.539400
7, 8.176472, 8.178040, 0.539371
7, 8.176472, 8.178040, 0.539353
7, 8.176472, 8.178040, 0.539334
8, 8.178040, 8.175616, 0.539313
8, 8.178040, 8.175616, 0.539324
8, 8.178040, 8.175616, 0.539322
8, 8.178040, 8.175616, 0.539524
8, 8.178040, 8.175616, 0.539433
8, 8.178040, 8.175616, 0.539434
8, 8.178040, 8.175616, 0.539493
8, 8.178040, 8.175616, 0.539316
8, 8.178040, 8.175616, 0.539324
8, 8.178040, 8.175616, 0.539301
8, 8.178040, 8.175616, 0.539292
9, 8.175616, 8.175722, 0.539473
9, 8.175616, 8.175722, 0.539430
9, 8.175616, 8.175722, 0.539439
9, 8.175616, 8.175722, 0.539463
9, 8.175616, 8.175722, 0.539497
9, 8.175616, 8.175722, 0.539345
9, 8.175616, 8.175722, 0.539508
9, 8.175616, 8.175722, 0.539368
9, 8.175616, 8.175722, 0.539407
9, 8.175616, 8.175722, 0.539370
9, 8.175616, 8.175722, 0.539337
10, 8.175722, 8.176723, 0.539498
10, 8.175722, 8.176723, 0.539425
10, 8.175722, 8.176723, 0.539479
10, 8.175722, 8.176723, 0.539557
10, 8.175722, 8.176723, 0.539397
10, 8.175722, 8.176723, 0.539366
10, 8.175722, 8.176723, 0.539414
10, 8.175722, 8.176723, 0.539426
10, 8.175722, 8.176723, 0.539402
10, 8.175722, 8.176723, 0.539356
10, 8.175722, 8.176723, 0.539315
