Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.175285, 8.177925, 0.539385
1, 7.675316, 7.678175, 0.570471
1, 6.676899, 6.679737, 0.570660
1, 6.058056, 6.061077, 0.599445
1, 5.698814, 5.701642, 0.627967
1, 5.350094, 5.352649, 0.656773
1, 4.826311, 4.829048, 0.688626
1, 4.410892, 4.412942, 0.719482
1, 3.955168, 3.957230, 0.750113
1, 3.477318, 3.479111, 0.779880
1, 2.988771, 2.990268, 0.810036
1, 2.494653, 2.495359, 0.843327
1, 1.997663, 1.998023, 0.882584
1, 1.499083, 1.498885, 0.927636
1, 0.999772, 0.999402, 0.971003
1, 0.499807, 0.500053, 0.991935
1, 0.000000, 0.000000, 1.000000
2, 8.177925, 8.179201, 0.539335
2, 7.678175, 7.679133, 0.570444
2, 6.679737, 6.680691, 0.570641
2, 6.061077, 6.062216, 0.599374
2, 5.701642, 5.702547, 0.627867
2, 5.352649, 5.353347, 0.656686
2, 4.829048, 4.829568, 0.688635
2, 4.412942, 4.413624, 0.719488
2, 3.957230, 3.958092, 0.750103
2, 3.479111, 3.480134, 0.779913
2, 2.990268, 2.990923, 0.810019
2, 2.495359, 2.496065, 0.843327
2, 1.998023, 1.998243, 0.882530
2, 1.498885, 1.499143, 0.927604
2, 0.999402, 1.000192, 0.970999
2, 0.500053, 0.500298, 0.991935
2, 0.000000, 0.000000, 1.000000
3, 8.179201, 8.178298, 0.539393
3, 7.679133, 7.678479, 0.570521
3, 6.680691, 6.680038, 0.570715
3, 6.062216, 6.061343, 0.599410
3, 5.702547, 5.701962, 0.627947
3, 5.353347, 5.353104, 0.656735
3, 4.829568, 4.829344, 0.688659
3, 4.413624, 4.413723, 0.719499
3, 3.958092, 3.957466, 0.750126
3, 3.480134, 3.479727, 0.779820
3, 2.990923, 2.990414, 0.810001
3, 2.496065, 2.495888, 0.843283
3, 1.998243, 1.998465, 0.882482
3, 1.499143, 1.499556, 0.927595
3, 1.000192, 0.999791, 0.971001
3, 0.500298, 0.500002, 0.991939
3, 0.000000, 0.000000, 1.000000
4, 8.178298, 8.175797, 0.539411
4, 7.678479, 7.675995, 0.570549
4, 6.680038, 6.677568, 0.570741
4, 6.061343, 6.058781, 0.599464
4, 5.701962, 5.699575, 0.627994
4, 5.353104, 5.350647, 0.656793
4, 4.829344, 4.827124, 0.688711
4, 4.413723, 4.411442, 0.719452
4, 3.957466, 3.955986, 0.750108
4, 3.479727, 3.478413, 0.779930
4, 2.990414, 2.989226, 0.810090
4, 2.495888, 2.494673, 0.843393
4, 1.998465, 1.997758, 0.882591
4, 1.499556, 1.498911, 0.927689
4, 0.999791, 0.999691, 0.971041
4, 0.500002, 0.500086, 0.991934
4, 0.000000, 0.000000, 1.000000
5, 8.175797, 8.176878, 0.539368
5, 7.675995, 7.676950, 0.570464
5, 6.677568, 6.678496, 0.570654
5, 6.058781, 6.060153, 0.599361
5, 5.699575, 5.700386, 0.627900
5, 5.350647, 5.351557, 0.656649
5, 4.827124, 4.827838, 0.688617
5, 4.411442, 4.411733, 0.719436
5, 3.955986, 3.955898, 0.750027
5, 3.478413, 3.478079, 0.779808
5, 2.989226, 2.989246, 0.810007
5, 2.494673, 2.494942, 0.843295
5, 1.997758, 1.997974, 0.882459
5, 1.498911, 1.499124, 0.927670
5, 0.999691, 0.999823, 0.971072
5, 0.500086, 0.499903, 0.991941
5, 0.000000, 0.000000, 1.000000
6, 8.176878, 8.176472, 0.539455
6, 7.676950, 7.676919, 0.570584
6, 6.678496, 6.678511, 0.570778
6, 6.060153, 6.059809, 0.599503
6, 5.700386, 5.700313, 0.628025
6, 5.351557, 5.351604, 0.656750
6, 4.827838, 4.827879, 0.688670
6, 4.411733, 4.411994, 0.719511
6, 3.955898, 3.956443, 0.750121
6, 3.478079, 3.479025, 0.779916
6, 2.989246, 2.989971, 0.810085
6, 2.494942, 2.495521, 0.843419
6, 1.997974, 1.998289, 0.882547
6, 1.499124, 1.499583, 0.927708
6, 0.999823, 0.999947, 0.971048
6, 0.499903, 0.500011, 0.991946
6, 0.000000, 0.000000, 1.000000
7, 8.176472, 8.178040, 0.539360
7, 7.676919, 7.678002, 0.570457
7, 6.678511, 6.679591, 0.570649
7, 6.059809, 6.060780, 0.599372
7, 5.700313, 5.701474, 0.627913
7, 5.351604, 5.352636, 0.656720
7, 4.827879, 4.828722, 0.688578
7, 4.411994, 4.413021, 0.719432
7, 3.956443, 3.956961, 0.750045
7, 3.479025, 3.479413, 0.779812
7, 2.989971, 2.990553, 0.809949
7, 2.495521, 2.495944, 0.843237
7, 1.998289, 1.998713, 0.882476
7, 1.499583, 1.499683, 0.927629
7, 0.999947, 1.000183, 0.971042
7, 0.500011, 0.500243, 0.991933
7, 0.000000, 0.000000, 1.000000
8, 8.178040, 8.175616, 0.539431
8, 7.678002, 7.675720, 0.570508
8, 6.679591, 6.677264, 0.570701
8, 6.060780, 6.058315, 0.599399
8, 5.701474, 5.699238, 0.627942
8, 5.352636, 5.350357, 0.656744
8, 4.828722, 4.826774, 0.688636
8, 4.413021, 4.411477, 0.719487
8, 3.956961, 3.956136, 0.750104
8, 3.479413, 3.478940, 0.779924
8, 2.990553, 2.990212, 0.810046
8, 2.495944, 2.495825, 0.843374
8, 1.998713, 1.998322, 0.882511
8, 1.499683, 1.499374, 0.927701
8, 1.000183, 1.000114, 0.971045
8, 0.500243, 0.500113, 0.991933
8, 0.000000, 0.000000, 1.000000
9, 8.175616, 8.175722, 0.539319
9, 7.675720, 7.675605, 0.570434
9, 6.677264, 6.677186, 0.570625
9, 6.058315, 6.058156, 0.599348
9, 5.699238, 5.699062, 0.627888
9, 5.350357, 5.350381, 0.656673
9, 4.826774, 4.826700, 0.688616
9, 4.411477, 4.410838, 0.719450
9, 3.956136, 3.955160, 0.750058
9, 3.478940, 3.477744, 0.779772
9, 2.990212, 2.988787, 0.809931
9, 2.495825, 2.494417, 0.843302
9, 1.998322, 1.997095, 0.882620
9, 1.499374, 1.498764, 0.927673
9, 1.000114, 0.999467, 0.971024
9, 0.500113, 0.499753, 0.991932
9, 0.000000, 0.000000, 1.000000
10, 8.175722, 8.176723, 0.539311
10, 7.675605, 7.676634, 0.570462
10, 6.677186, 6.678185, 0.570650
10, 6.058156, 6.059305, 0.599395
10, 5.699062, 5.700137, 0.627893
10, 5.350381, 5.351532, 0.656716
10, 4.826700, 4.828247, 0.688620
10, 4.410838, 4.412286, 0.719473
10, 3.955160, 3.956444, 0.750045
10, 3.477744, 3.478655, 0.779882
10, 2.988787, 2.989575, 0.809997
10, 2.494417, 2.495257, 0.843293
10, 1.997095, 1.998052, 0.882530
10, 1.498764, 1.499525, 0.927608
10, 0.999467, 0.999935, 0.971030
10, 0.499753, 0.500161, 0.991929
10, 0.000000, 0.000000, 1.000000
