Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.000000, 8.000000, 0.250000
1, 7.499830, 9.000763, 0.437501
1, 8.749348, 8.500109, 0.538495
1, 8.625248, 8.624632, 0.526040
1, 8.561065, 8.374861, 0.528582
1, 8.218884, 8.031572, 0.532767
1, 8.233287, 8.108834, 0.532057
1, 8.297619, 8.046482, 0.534045
1, 8.221419, 8.226504, 0.538564
1, 8.118175, 8.171866, 0.540021
2, 8.000000, 5.000000, 0.727273
2, 9.000763, 6.499959, 0.468606
2, 8.500109, 6.750089, 0.565290
2, 8.624632, 7.499304, 0.525503
2, 8.374861, 8.126217, 0.531696
2, 8.031572, 8.531519, 0.533466
2, 8.108834, 8.358282, 0.535476
2, 8.046482, 8.288626, 0.538385
2, 8.226504, 8.292433, 0.539402
2, 8.171866, 8.286516, 0.538606
3, 5.000000, 6.000000, 0.527778
3, 6.499959, 8.001101, 0.549252
3, 6.750089, 8.499330, 0.577602
3, 7.499304, 8.499426, 0.568403
3, 8.126217, 8.937536, 0.548519
3, 8.531519, 8.499208, 0.543057
3, 8.358282, 8.312391, 0.537985
3, 8.288626, 8.257706, 0.536994
3, 8.292433, 8.163453, 0.539648
3, 8.286516, 8.147362, 0.539352
4, 6.000000, 7.000000, 0.769231
4, 8.001101, 7.999977, 0.739122
4, 8.499330, 8.000138, 0.593785
4, 8.499426, 8.000631, 0.561776
4, 8.937536, 8.563241, 0.542079
4, 8.499208, 8.437335, 0.536211
4, 8.312391, 8.421499, 0.537191
4, 8.257706, 8.204039, 0.539362
4, 8.163453, 8.257515, 0.539857
4, 8.147362, 8.177221, 0.541187
5, 7.000000, 7.000000, 0.500000
5, 7.999977, 7.999705, 0.531942
5, 8.000138, 8.250547, 0.565159
5, 8.000631, 8.250218, 0.564336
5, 8.563241, 8.375494, 0.551043
5, 8.437335, 8.656099, 0.543972
5, 8.421499, 8.078426, 0.542970
5, 8.204039, 7.867555, 0.543936
5, 8.257515, 7.940613, 0.540737
5, 8.177221, 8.068215, 0.541589
6, 7.000000, 10.000000, 0.300000
6, 7.999705, 8.999735, 0.394213
6, 8.250547, 9.499807, 0.591541
6, 8.250218, 8.500490, 0.534549
6, 8.375494, 7.562461, 0.543656
6, 8.656099, 8.092669, 0.549087
6, 8.078426, 8.108232, 0.545110
6, 7.867555, 8.196402, 0.546293
6, 7.940613, 8.184387, 0.543281
6, 8.068215, 8.272017, 0.540821
7, 10.000000, 8.000000, 0.500000
7, 8.999735, 8.000000, 0.529403
7, 9.499807, 7.499500, 0.548427
7, 8.500490, 7.750493, 0.561623
7, 7.562461, 8.063522, 0.550582
7, 8.092669, 8.219739, 0.544033
7, 8.108232, 8.047767, 0.541489
7, 8.196402, 8.078571, 0.546760
7, 8.184387, 8.120193, 0.543185
7, 8.272017, 8.090511, 0.540533
8, 8.000000, 12.000000, 0.500000
8, 8.000000, 9.999807, 0.592128
8, 7.499500, 9.501120, 0.523759
8, 7.750493, 9.374920, 0.518417
8, 8.063522, 8.688565, 0.540016
8, 8.219739, 8.657339, 0.537623
8, 8.047767, 8.187635, 0.536607
8, 8.078571, 8.252144, 0.542869
8, 8.120193, 8.187304, 0.540310
8, 8.090511, 8.119493, 0.540962
9, 12.000000, 6.000000, 0.500000
9, 9.999807, 6.999876, 0.592082
9, 9.501120, 6.751026, 0.484383
9, 9.374920, 7.373820, 0.511526
9, 8.688565, 7.688310, 0.529372
9, 8.657339, 7.937669, 0.530740
9, 8.187635, 7.937462, 0.532570
9, 8.252144, 8.124037, 0.536424
9, 8.187304, 8.146688, 0.536767
9, 8.119493, 8.118611, 0.539262
10, 6.000000, 11.000000, 0.464286
10, 6.999876, 9.499729, 0.483322
10, 6.751026, 7.999421, 0.596129
10, 7.373820, 8.375320, 0.543231
10, 7.688310, 8.125256, 0.544349
10, 7.937669, 7.781488, 0.535275
10, 7.937462, 8.030277, 0.535671
10, 8.124037, 8.148851, 0.535604
10, 8.146688, 8.001345, 0.537162
10, 8.118611, 8.155206, 0.539144
