Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.000000, 8.000000, 0.250000
1, 7.500169, 8.500381, 0.277761
1, 6.999997, 8.000165, 0.250014
1, 7.500167, 7.500182, 0.280102
1, 6.999715, 7.999880, 0.310951
1, 6.499584, 8.499761, 0.342816
1, 5.999608, 8.999915, 0.375024
1, 6.499531, 8.499956, 0.406996
1, 6.999831, 9.000272, 0.375032
1, 7.500080, 8.500422, 0.406636
1, 7.999919, 8.000355, 0.437967
1, 7.499903, 8.500338, 0.469011
1, 7.999900, 9.000481, 0.437747
1, 8.499881, 8.500360, 0.468900
1, 8.000561, 9.000689, 0.500069
1, 8.500504, 8.501025, 0.531065
1, 8.000300, 8.001092, 0.500004
2, 8.000000, 5.000000, 0.727273
2, 8.500381, 4.499986, 0.739122
2, 8.000165, 3.999756, 0.700563
2, 7.500182, 3.499782, 0.659248
2, 7.999880, 3.999243, 0.621381
2, 8.499761, 4.499017, 0.588245
2, 8.999915, 4.998804, 0.558299
2, 8.499956, 4.498830, 0.529543
2, 9.000272, 4.998928, 0.499942
2, 8.500422, 5.499113, 0.530245
2, 8.000355, 5.998856, 0.560894
2, 8.500338, 6.498419, 0.530637
2, 9.000481, 6.998317, 0.499883
2, 8.500360, 7.497887, 0.530819
2, 9.000689, 7.998136, 0.499873
2, 8.501025, 8.497869, 0.530911
2, 8.001092, 7.998146, 0.499902
3, 5.000000, 6.000000, 0.527778
3, 4.499986, 6.500275, 0.575182
3, 3.999756, 6.000646, 0.549212
3, 3.499782, 5.500675, 0.524704
3, 3.999243, 6.000210, 0.500011
3, 4.499017, 6.500421, 0.470833
3, 4.998804, 7.000331, 0.439168
3, 4.498830, 7.500436, 0.469717
3, 4.998928, 8.000390, 0.438352
3, 5.499113, 7.499967, 0.469242
3, 5.998856, 6.999960, 0.500033
3, 6.498419, 7.500280, 0.469012
3, 6.998317, 8.000835, 0.437754
3, 7.497887, 7.501040, 0.468920
3, 7.998136, 8.001084, 0.437661
3, 8.497869, 7.501205, 0.468846
3, 7.998146, 8.001206, 0.500008
4, 6.000000, 7.000000, 0.769231
4, 6.500275, 6.499989, 0.836421
4, 6.000646, 6.000006, 0.797452
4, 5.500675, 5.499907, 0.772673
4, 6.000210, 5.999876, 0.749980
4, 6.500421, 6.500024, 0.722193
4, 7.000331, 6.999660, 0.689826
4, 7.500436, 7.499818, 0.656085
4, 8.000390, 6.999814, 0.688155
4, 7.499967, 6.499944, 0.655546
4, 6.999960, 6.000182, 0.623437
4, 7.500280, 6.499970, 0.592123
4, 8.000835, 7.000160, 0.561407
4, 7.501040, 6.500348, 0.530848
4, 8.001084, 7.000889, 0.499976
4, 7.501205, 7.500936, 0.531004
4, 8.001206, 8.000829, 0.499954
5, 7.000000, 7.000000, 0.500000
5, 6.499989, 7.499853, 0.514698
5, 6.000006, 6.999949, 0.499984
5, 5.499907, 6.500069, 0.473636
5, 5.999876, 7.000249, 0.440832
5, 6.500024, 7.500152, 0.407550
5, 6.999660, 7.000119, 0.439149
5, 7.499818, 6.499976, 0.469694
5, 6.999814, 7.000189, 0.499934
5, 6.499944, 6.500404, 0.469142
5, 6.000182, 7.000392, 0.499948
5, 6.499970, 7.500129, 0.468908
5, 7.000160, 7.999837, 0.437699
5, 6.500348, 8.499487, 0.468831
5, 7.000889, 7.999856, 0.499929
5, 7.500936, 7.499951, 0.530951
5, 8.000829, 7.999951, 0.499939
6, 7.000000, 10.000000, 0.300000
6, 7.499853, 9.500133, 0.340921
6, 6.999949, 9.000031, 0.309361
6, 6.500069, 8.500003, 0.280081
6, 7.000249, 9.000490, 0.249962
6, 7.500152, 9.500525, 0.218744
6, 7.000119, 10.000174, 0.249983
6, 6.499976, 9.499702, 0.218764
6, 7.000189, 8.999361, 0.250010
6, 6.500404, 9.499383, 0.281152
6, 7.000392, 8.999163, 0.312317
6, 7.500129, 8.499260, 0.343615
6, 7.999837, 7.999561, 0.375004
6, 8.499487, 7.499795, 0.406341
6, 7.999856, 8.000260, 0.437607
6, 7.499951, 8.500601, 0.468813
6, 7.999951, 8.000995, 0.500027
7, 10.000000, 8.000000, 0.500000
7, 9.500133, 8.500002, 0.514698
7, 9.000031, 8.000172, 0.499985
7, 8.500003, 8.499850, 0.524735
7, 9.000490, 7.999846, 0.555160
7, 9.500525, 8.500324, 0.528059
7, 10.000174, 8.000168, 0.558338
7, 9.499702, 7.500053, 0.529566
7, 8.999361, 6.999928, 0.500006
7, 9.499383, 6.500016, 0.530329
7, 8.999163, 7.000064, 0.560953
7, 8.499260, 6.500233, 0.530681
7, 7.999561, 7.000093, 0.561471
7, 7.499795, 7.500156, 0.592584
7, 8.000260, 7.999961, 0.561750
7, 8.500601, 8.499774, 0.530987
7, 8.000995, 8.000032, 0.499950
8, 8.000000, 12.000000, 0.500000
8, 8.500002, 11.500048, 0.514679
8, 8.000172, 10.999981, 0.499964
8, 8.499850, 11.499925, 0.473563
8, 7.999846, 10.999924, 0.440808
8, 8.500324, 10.499861, 0.470809
8, 8.000168, 10.000242, 0.439156
8, 7.500053, 10.500452, 0.469683
8, 6.999928, 10.000719, 0.438316
8, 6.500016, 10.500495, 0.469158
8, 7.000064, 11.000692, 0.437873
8, 6.500233, 10.500442, 0.406395
8, 7.000093, 10.000504, 0.437594
8, 7.500156, 9.500443, 0.468773
8, 7.999961, 9.000507, 0.499910
8, 8.499774, 8.500359, 0.530931
8, 8.000032, 8.000368, 0.499883
9, 12.000000, 6.000000, 0.500000
9, 11.500048, 6.499938, 0.514719
9, 10.999981, 5.999882, 0.500024
9, 11.499925, 5.500045, 0.524736
9, 10.999924, 6.000345, 0.555192
9, 10.499861, 5.500799, 0.528095
9, 10.000242, 6.000814, 0.558368
9, 10.500452, 6.500943, 0.529616
9, 10.000719, 7.001150, 0.560064
9, 10.500495, 7.500712, 0.530338
9, 11.000692, 8.000806, 0.500036
9, 10.500442, 7.501179, 0.469009
9, 10.000504, 7.001640, 0.437732
9, 9.500443, 6.501856, 0.406362
9, 9.000507, 7.001665, 0.437640
9, 8.500359, 7.501946, 0.468862
9, 8.000368, 8.001758, 0.500014
10, 6.000000, 11.000000, 0.464286
10, 6.499938, 10.500090, 0.483303
10, 5.999882, 9.999970, 0.444208
10, 5.500045, 10.499895, 0.473589
10, 6.000345, 9.999722, 0.499947
10, 5.500799, 9.499241, 0.470798
10, 6.000814, 9.999635, 0.439121
10, 6.500943, 9.499441, 0.469669
10, 7.001150, 8.999364, 0.499929
10, 7.500712, 9.499198, 0.469162
10, 8.000806, 8.999107, 0.499958
10, 7.501179, 9.499149, 0.530682
10, 7.001640, 8.999210, 0.499954
10, 6.501856, 8.499372, 0.468817
10, 7.001665, 7.999672, 0.499943
10, 7.501946, 7.499573, 0.530971
10, 8.001758, 7.999548, 0.499901
