Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 7.933548, 7.936198, 0.916670
1, 7.196648, 7.197433, 0.947178
1, 6.331867, 6.332576, 0.976010
1, 6.752618, 6.753192, 0.988270
1, 7.254702, 7.255059, 0.994052
1, 7.247625, 7.247122, 0.997007
1, 7.249004, 7.247601, 0.998395
1, 7.716681, 7.715686, 0.999236
1, 8.172873, 8.171789, 0.999528
1, 7.375685, 7.374648, 0.999737
1, 6.667435, 6.666485, 0.999858
1, 6.177166, 6.175085, 0.999847
1, 5.450059, 5.448804, 0.999891
1, 3.249762, 3.249557, 0.999985
1, 4.000279, 4.000270, 0.999999
2, 7.936198, 7.934508, 0.891538
2, 7.197433, 7.195409, 0.920956
2, 6.332576, 6.330636, 0.958595
2, 6.753192, 6.752171, 0.979764
2, 7.255059, 7.254275, 0.989850
2, 7.247122, 7.248059, 0.994911
2, 7.247601, 7.248927, 0.997394
2, 7.715686, 7.717635, 0.998596
2, 8.171789, 8.173623, 0.999239
2, 7.374648, 7.377025, 0.999576
2, 6.666485, 6.669498, 0.999608
2, 6.175085, 6.177100, 0.999798
2, 5.448804, 5.451000, 0.999826
2, 3.249557, 3.250250, 0.999949
2, 4.000270, 4.000302, 0.999998
3, 7.934508, 7.934941, 0.891750
3, 7.195409, 7.196368, 0.924386
3, 6.330636, 6.331418, 0.954287
3, 6.752171, 6.752688, 0.976688
3, 7.254275, 7.254103, 0.988233
3, 7.248059, 7.246608, 0.994110
3, 7.248927, 7.247703, 0.996998
3, 7.717635, 7.716597, 0.998459
3, 8.173623, 8.172707, 0.999204
3, 7.377025, 7.376224, 0.999575
3, 6.669498, 6.668099, 0.999702
3, 6.177100, 6.175416, 0.999809
3, 5.451000, 5.446934, 0.999689
3, 3.250250, 3.248750, 0.999889
3, 4.000302, 4.000277, 0.999998
4, 7.934941, 7.933302, 0.913041
4, 7.196368, 7.196228, 0.942286
4, 6.331418, 6.331371, 0.971726
4, 6.752688, 6.752956, 0.986026
4, 7.254103, 7.254900, 0.992943
4, 7.246608, 7.248145, 0.996552
4, 7.247703, 7.248981, 0.998328
4, 7.716597, 7.715998, 0.999090
4, 8.172707, 8.171805, 0.999461
4, 7.376224, 7.374107, 0.999667
4, 6.668099, 6.666796, 0.999784
4, 6.175416, 6.173495, 0.999810
4, 5.446934, 5.447593, 0.999961
4, 3.248750, 3.248431, 0.999977
4, 4.000277, 4.000300, 0.999998
5, 7.933302, 7.934261, 0.909437
5, 7.196228, 7.197375, 0.941000
5, 6.331371, 6.332100, 0.969621
5, 6.752956, 6.753478, 0.983259
5, 7.254900, 7.255181, 0.991401
5, 7.248145, 7.247651, 0.995682
5, 7.248981, 7.249333, 0.997815
5, 7.715998, 7.717175, 0.998840
5, 8.171805, 8.171756, 0.999454
5, 7.374107, 7.373929, 0.999763
5, 6.666796, 6.667154, 0.999830
5, 6.173495, 6.173921, 0.999908
5, 5.447593, 5.446532, 0.999940
5, 3.248431, 3.250332, 0.999860
5, 4.000300, 4.000273, 0.999998
6, 7.934261, 7.932969, 0.924349
6, 7.197375, 7.194817, 0.954476
6, 6.332100, 6.330350, 0.979371
6, 6.753478, 6.751027, 0.989409
6, 7.255181, 7.253645, 0.994702
6, 7.247651, 7.245584, 0.997254
6, 7.249333, 7.247197, 0.998554
6, 7.717175, 7.714510, 0.999219
6, 8.171756, 8.170242, 0.999551
6, 7.373929, 7.371268, 0.999639
6, 6.667154, 6.665297, 0.999789
6, 6.173921, 6.174729, 0.999940
6, 5.446532, 5.447403, 0.999936
6, 3.250332, 3.249636, 0.999949
6, 4.000273, 4.000316, 0.999997
7, 7.932969, 7.933913, 0.888554
7, 7.194817, 7.196566, 0.919901
7, 6.330350, 6.330517, 0.953575
7, 6.751027, 6.751472, 0.974723
7, 7.253645, 7.253770, 0.987179
7, 7.245584, 7.246910, 0.993567
7, 7.247197, 7.249341, 0.996567
7, 7.714510, 7.717246, 0.998307
7, 8.170242, 8.173391, 0.998899
7, 7.371268, 7.376341, 0.999275
7, 6.665297, 6.667940, 0.999635
7, 6.174729, 6.176541, 0.999823
7, 5.447403, 5.451272, 0.999715
7, 3.249636, 3.250419, 0.999942
7, 4.000316, 4.000311, 1.000000
8, 7.933913, 7.932661, 0.903433
8, 7.196566, 7.195803, 0.936253
8, 6.330517, 6.331105, 0.964058
8, 6.751472, 6.752965, 0.978730
8, 7.253770, 7.254986, 0.989388
8, 7.246910, 7.248592, 0.994777
8, 7.249341, 7.249690, 0.997285
8, 7.717246, 7.716472, 0.998640
8, 8.173391, 8.172599, 0.999259
8, 7.376341, 7.375968, 0.999638
8, 6.667940, 6.667710, 0.999803
8, 6.176541, 6.175991, 0.999892
8, 5.451272, 5.448592, 0.999781
8, 3.250419, 3.249369, 0.999922
8, 4.000311, 4.000268, 0.999997
9, 7.932661, 7.934772, 0.903243
9, 7.195803, 7.197336, 0.933848
