Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 8.175285, 8.177925, 0.539385
1, 8.175285, 8.177925, 0.603729
1, 8.175285, 8.177925, 0.662856
1, 8.175285, 8.177925, 0.714065
1, 8.175285, 8.177925, 0.765430
1, 8.175285, 8.177925, 0.815875
1, 8.175285, 8.177925, 0.838227
1, 8.175285, 8.177925, 0.866891
1, 8.175285, 8.177925, 0.878903
1, 8.175285, 8.177925, 0.884718
1, 8.175285, 8.177925, 0.887483
2, 8.177925, 8.179201, 0.539335
2, 8.177925, 8.179201, 0.597285
2, 8.177925, 8.179201, 0.658286
2, 8.177925, 8.179201, 0.705201
2, 8.177925, 8.179201, 0.745065
2, 8.177925, 8.179201, 0.783576
2, 8.177925, 8.179201, 0.809236
2, 8.177925, 8.179201, 0.832083
2, 8.177925, 8.179201, 0.840300
2, 8.177925, 8.179201, 0.846978
2, 8.177925, 8.179201, 0.850500
3, 8.179201, 8.178298, 0.539393
3, 8.179201, 8.178298, 0.598933
3, 8.179201, 8.178298, 0.652512
3, 8.179201, 8.178298, 0.700872
3, 8.179201, 8.178298, 0.744231
3, 8.179201, 8.178298, 0.785366
3, 8.179201, 8.178298, 0.812430
3, 8.179201, 8.178298, 0.832699
3, 8.179201, 8.178298, 0.842100
3, 8.179201, 8.178298, 0.853088
3, 8.179201, 8.178298, 0.856533
4, 8.178298, 8.175797, 0.539411
4, 8.178298, 8.175797, 0.602861
4, 8.178298, 8.175797, 0.664550
4, 8.178298, 8.175797, 0.720267
4, 8.178298, 8.175797, 0.763140
4, 8.178298, 8.175797, 0.799351
4, 8.178298, 8.175797, 0.834005
4, 8.178298, 8.175797, 0.859360
4, 8.178298, 8.175797, 0.869868
4, 8.178298, 8.175797, 0.878439
4, 8.178298, 8.175797, 0.881529
5, 8.175797, 8.176878, 0.539368
5, 8.175797, 8.176878, 0.600776
5, 8.175797, 8.176878, 0.660374
5, 8.175797, 8.176878, 0.711115
5, 8.175797, 8.176878, 0.756897
5, 8.175797, 8.176878, 0.795923
5, 8.175797, 8.176878, 0.825368
5, 8.175797, 8.176878, 0.849382
5, 8.175797, 8.176878, 0.858996
5, 8.175797, 8.176878, 0.868294
5, 8.175797, 8.176878, 0.870119
6, 8.176878, 8.176472, 0.539455
6, 8.176878, 8.176472, 0.604475
6, 8.176878, 8.176472, 0.670319
6, 8.176878, 8.176472, 0.722032
6, 8.176878, 8.176472, 0.770013
6, 8.176878, 8.176472, 0.806837
6, 8.176878, 8.176472, 0.836498
6, 8.176878, 8.176472, 0.868263
6, 8.176878, 8.176472, 0.882993
6, 8.176878, 8.176472, 0.895672
6, 8.176878, 8.176472, 0.897418
7, 8.176472, 8.178040, 0.539360
7, 8.176472, 8.178040, 0.598222
7, 8.176472, 8.178040, 0.649380
7, 8.176472, 8.178040, 0.697354
7, 8.176472, 8.178040, 0.740918
7, 8.176472, 8.178040, 0.772841
7, 8.176472, 8.178040, 0.799856
7, 8.176472, 8.178040, 0.833637
7, 8.176472, 8.178040, 0.846422
7, 8.176472, 8.178040, 0.853976
7, 8.176472, 8.178040, 0.856804
8, 8.178040, 8.175616, 0.539431
8, 8.178040, 8.175616, 0.595457
8, 8.178040, 8.175616, 0.656651
8, 8.178040, 8.175616, 0.707130
8, 8.178040, 8.175616, 0.754334
8, 8.178040, 8.175616, 0.792821
8, 8.178040, 8.175616, 0.821894
8, 8.178040, 8.175616, 0.846213
8, 8.178040, 8.175616, 0.860194
8, 8.178040, 8.175616, 0.870544
8, 8.178040, 8.175616, 0.875034
9, 8.175616, 8.175722, 0.539319
9, 8.175616, 8.175722, 0.596588
9, 8.175616, 8.175722, 0.651122
9, 8.175616, 8.175722, 0.705150
9, 8.175616, 8.175722, 0.750289
9, 8.175616, 8.175722, 0.788723
9, 8.175616, 8.175722, 0.820881
9, 8.175616, 8.175722, 0.851247
9, 8.175616, 8.175722, 0.863681
9, 8.175616, 8.175722, 0.873455
9, 8.175616, 8.175722, 0.875399
10, 8.175722, 8.176723, 0.539311
10, 8.175722, 8.176723, 0.602941
10, 8.175722, 8.176723, 0.666454
10, 8.175722, 8.176723, 0.725782
10, 8.175722, 8.176723, 0.780357
10, 8.175722, 8.176723, 0.828029
10, 8.175722, 8.176723, 0.865201
10, 8.175722, 8.176723, 0.891063
10, 8.175722, 8.176723, 0.900585
10, 8.175722, 8.176723, 0.908630
10, 8.175722, 8.176723, 0.912021
