Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 16.762913, 16.765537, 0.573595
1, 17.040459, 17.041210, 0.581022
1, 17.141577, 17.142849, 0.575366
1, 17.314037, 17.315075, 0.578228
1, 17.578598, 17.579723, 0.582328
1, 17.719324, 17.719315, 0.573103
1, 16.507132, 16.509418, 0.512158
1, 15.204543, 15.206430, 0.507643
1, 14.554747, 14.555382, 0.535205
1, 14.438298, 14.438740, 0.559501
1, 14.340772, 14.341855, 0.564046
1, 14.413891, 14.414685, 0.572426
1, 14.628686, 14.629920, 0.579415
1, 14.925790, 14.926655, 0.582031
1, 14.789519, 14.790935, 0.564449
1, 14.679594, 14.680736, 0.565147
2, 16.765537, 16.766651, 0.573482
2, 17.041210, 17.040239, 0.580984
2, 17.142849, 17.141766, 0.575260
2, 17.315075, 17.314390, 0.578136
2, 17.579723, 17.578812, 0.582263
2, 17.719315, 17.718597, 0.573011
2, 16.509418, 16.507919, 0.512030
2, 15.206430, 15.206710, 0.507563
2, 14.555382, 14.554380, 0.535112
2, 14.438740, 14.437287, 0.559475
2, 14.341855, 14.340647, 0.563948
2, 14.414685, 14.413773, 0.572357
2, 14.629920, 14.629084, 0.579351
2, 14.926655, 14.925926, 0.581955
2, 14.790935, 14.789829, 0.564342
2, 14.680736, 14.680273, 0.565123
3, 16.766651, 16.764923, 0.573548
3, 17.040239, 17.040274, 0.581032
3, 17.141766, 17.141891, 0.575380
3, 17.314390, 17.314117, 0.578230
3, 17.578812, 17.578363, 0.582411
3, 17.718597, 17.719603, 0.573145
3, 16.507919, 16.509342, 0.512225
3, 15.206710, 15.205280, 0.507698
3, 14.554380, 14.553053, 0.535298
3, 14.437287, 14.437428, 0.559617
3, 14.340647, 14.340849, 0.564057
3, 14.413773, 14.413780, 0.572442
3, 14.629084, 14.628551, 0.579493
3, 14.925926, 14.925921, 0.582077
3, 14.789829, 14.790159, 0.564485
3, 14.680273, 14.679718, 0.565168
4, 16.764923, 16.766096, 0.573537
4, 17.040274, 17.038794, 0.581055
4, 17.141891, 17.140659, 0.575444
4, 17.314117, 17.312714, 0.578264
4, 17.578363, 17.577549, 0.582414
4, 17.719603, 17.717333, 0.573166
4, 16.509342, 16.506454, 0.512289
4, 15.205280, 15.203376, 0.507705
4, 14.553053, 14.553136, 0.535283
4, 14.437428, 14.436242, 0.559572
4, 14.340849, 14.340317, 0.564094
4, 14.413780, 14.412813, 0.572444
4, 14.628551, 14.628173, 0.579500
4, 14.925921, 14.924391, 0.582091
4, 14.790159, 14.788626, 0.564541
4, 14.679718, 14.678188, 0.565201
5, 16.766096, 16.765051, 0.573523
5, 17.038794, 17.039646, 0.581049
5, 17.140659, 17.141098, 0.575315
5, 17.312714, 17.313066, 0.578175
5, 17.577549, 17.577457, 0.582346
5, 17.717333, 17.718424, 0.573139
5, 16.506454, 16.508915, 0.512092
5, 15.203376, 15.205962, 0.507623
