Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 14.679594, 14.680736, 0.565147
1, 14.679594, 14.680736, 0.579857
1, 14.679594, 14.680736, 0.594416
1, 14.679594, 14.680736, 0.608482
1, 14.679594, 14.680736, 0.620243
1, 14.679594, 14.680736, 0.630182
1, 14.679594, 14.680736, 0.637028
1, 14.679594, 14.680736, 0.644218
1, 14.679594, 14.680736, 0.646578
1, 14.679594, 14.680736, 0.648103
1, 14.679594, 14.680736, 0.648644
2, 14.680736, 14.680273, 0.565123
2, 14.680736, 14.680273, 0.579807
2, 14.680736, 14.680273, 0.594421
2, 14.680736, 14.680273, 0.608569
2, 14.680736, 14.680273, 0.620208
2, 14.680736, 14.680273, 0.630103
2, 14.680736, 14.680273, 0.636978
2, 14.680736, 14.680273, 0.644221
2, 14.680736, 14.680273, 0.646519
2, 14.680736, 14.680273, 0.648052
2, 14.680736, 14.680273, 0.648573
3, 14.680273, 14.679718, 0.565168
3, 14.680273, 14.679718, 0.579949
3, 14.680273, 14.679718, 0.594655
3, 14.680273, 14.679718, 0.608724
3, 14.680273, 14.679718, 0.620668
3, 14.680273, 14.679718, 0.630401
3, 14.680273, 14.679718, 0.637224
3, 14.680273, 14.679718, 0.644543
3, 14.680273, 14.679718, 0.646938
3, 14.680273, 14.679718, 0.648440
3, 14.680273, 14.679718, 0.648964
4, 14.679718, 14.678188, 0.565201
4, 14.679718, 14.678188, 0.580076
4, 14.679718, 14.678188, 0.594741
4, 14.679718, 14.678188, 0.608756
4, 14.679718, 14.678188, 0.620480
4, 14.679718, 14.678188, 0.630395
4, 14.679718, 14.678188, 0.637199
4, 14.679718, 14.678188, 0.644521
4, 14.679718, 14.678188, 0.646822
4, 14.679718, 14.678188, 0.648316
4, 14.679718, 14.678188, 0.648827
5, 14.678188, 14.679006, 0.565169
5, 14.678188, 14.679006, 0.579808
5, 14.678188, 14.679006, 0.594545
5, 14.678188, 14.679006, 0.608594
5, 14.678188, 14.679006, 0.620291
5, 14.678188, 14.679006, 0.630119
5, 14.678188, 14.679006, 0.636882
5, 14.678188, 14.679006, 0.644125
5, 14.678188, 14.679006, 0.646504
5, 14.678188, 14.679006, 0.647962
5, 14.678188, 14.679006, 0.648488
6, 14.679006, 14.679905, 0.565155
6, 14.679006, 14.679905, 0.579820
6, 14.679006, 14.679905, 0.594436
6, 14.679006, 14.679905, 0.608503
6, 14.679006, 14.679905, 0.620207
6, 14.679006, 14.679905, 0.630098
6, 14.679006, 14.679905, 0.637009
6, 14.679006, 14.679905, 0.644283
6, 14.679006, 14.679905, 0.646602
6, 14.679006, 14.679905, 0.648217
6, 14.679006, 14.679905, 0.648762
7, 14.679905, 14.680844, 0.565108
7, 14.679905, 14.680844, 0.579868
7, 14.679905, 14.680844, 0.594685
7, 14.679905, 14.680844, 0.608736
7, 14.679905, 14.680844, 0.620413
7, 14.679905, 14.680844, 0.630367
7, 14.679905, 14.680844, 0.637158
7, 14.679905, 14.680844, 0.644358
7, 14.679905, 14.680844, 0.646740
7, 14.679905, 14.680844, 0.648227
7, 14.679905, 14.680844, 0.648818
8, 14.680844, 14.678340, 0.565163
8, 14.680844, 14.678340, 0.579864
8, 14.680844, 14.678340, 0.594488
8, 14.680844, 14.678340, 0.608622
8, 14.680844, 14.678340, 0.620409
8, 14.680844, 14.678340, 0.630268
8, 14.680844, 14.678340, 0.637124
8, 14.680844, 14.678340, 0.644374
8, 14.680844, 14.678340, 0.646696
8, 14.680844, 14.678340, 0.648173
8, 14.680844, 14.678340, 0.648725
9, 14.678340, 14.678374, 0.565118
9, 14.678340, 14.678374, 0.579928
9, 14.678340, 14.678374, 0.594516
9, 14.678340, 14.678374, 0.608433
9, 14.678340, 14.678374, 0.620274
9, 14.678340, 14.678374, 0.630219
9, 14.678340, 14.678374, 0.637080
9, 14.678340, 14.678374, 0.644412
9, 14.678340, 14.678374, 0.646719
9, 14.678340, 14.678374, 0.648211
9, 14.678340, 14.678374, 0.648764
10, 14.678374, 14.680233, 0.565158
10, 14.678374, 14.680233, 0.579902
10, 14.678374, 14.680233, 0.594661
10, 14.678374, 14.680233, 0.608854
10, 14.678374, 14.680233, 0.620746
10, 14.678374, 14.680233, 0.630620
10, 14.678374, 14.680233, 0.637498
10, 14.678374, 14.680233, 0.644877
10, 14.678374, 14.680233, 0.647278
10, 14.678374, 14.680233, 0.648768
10, 14.678374, 14.680233, 0.649344
