Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 14.679594, 14.680736, 0.565147
1, 14.179132, 14.181027, 0.580636
1, 13.679129, 13.680959, 0.596354
1, 13.178914, 13.181131, 0.612375
1, 12.679144, 12.681224, 0.628619
1, 12.178999, 12.181366, 0.645052
1, 11.678998, 11.681274, 0.661550
1, 11.179096, 11.181431, 0.677957
1, 10.679387, 10.681098, 0.694095
1, 10.179268, 10.180970, 0.709813
1, 9.678790, 9.681157, 0.724853
1, 9.178748, 9.181218, 0.739238
1, 8.678691, 8.681233, 0.753071
1, 8.178715, 8.181205, 0.766552
1, 7.678857, 7.681266, 0.780150
1, 7.179279, 7.182115, 0.794196
1, 6.679836, 6.682811, 0.809230
2, 14.680736, 14.680273, 0.565123
2, 14.181027, 14.180651, 0.580592
2, 13.680959, 13.680419, 0.596297
2, 13.181131, 13.180783, 0.612248
2, 12.681224, 12.681066, 0.628515
2, 12.181366, 12.180959, 0.644947
2, 11.681274, 11.681094, 0.661461
2, 11.181431, 11.181660, 0.677905
2, 10.681098, 10.681278, 0.694052
2, 10.180970, 10.181410, 0.709694
2, 9.681157, 9.681437, 0.724769
2, 9.181218, 9.181580, 0.739162
2, 8.681233, 8.681690, 0.752985
2, 8.181205, 8.181751, 0.766512
2, 7.681266, 7.682069, 0.780117
2, 7.182115, 7.182302, 0.794189
2, 6.682811, 6.683474, 0.809221
3, 14.680273, 14.679718, 0.565168
3, 14.180651, 14.179753, 0.580708
3, 13.680419, 13.679567, 0.596426
3, 13.180783, 13.179316, 0.612427
3, 12.681066, 12.679584, 0.628635
3, 12.180959, 12.180200, 0.645047
3, 11.681094, 11.680346, 0.661604
3, 11.181660, 11.180510, 0.678012
3, 10.681278, 10.680480, 0.694179
3, 10.181410, 10.180769, 0.709823
3, 9.681437, 9.681086, 0.724859
3, 9.181580, 9.180975, 0.739269
3, 8.681690, 8.681219, 0.753125
3, 8.181751, 8.181310, 0.766593
3, 7.682069, 7.681529, 0.780175
3, 7.182302, 7.181643, 0.794260
3, 6.683474, 6.682220, 0.809294
4, 14.679718, 14.678188, 0.565201
4, 14.179753, 14.178085, 0.580713
4, 13.679567, 13.678028, 0.596384
4, 13.179316, 13.177788, 0.612383
4, 12.679584, 12.677845, 0.628596
4, 12.180200, 12.177817, 0.645032
4, 11.680346, 11.677663, 0.661558
4, 11.180510, 11.177925, 0.678053
4, 10.680480, 10.678004, 0.694150
4, 10.180769, 10.178321, 0.709829
4, 9.681086, 9.678374, 0.724870
4, 9.180975, 9.178593, 0.739234
4, 8.681219, 8.678220, 0.753074
4, 8.181310, 8.178587, 0.766567
4, 7.681529, 7.678961, 0.780160
4, 7.181643, 7.180015, 0.794262
4, 6.682220, 6.680549, 0.809294
5, 14.678188, 14.679006, 0.565169
5, 14.178085, 14.179013, 0.580672
5, 13.678028, 13.678826, 0.596298
5, 13.177788, 13.178911, 0.612297
5, 12.677845, 12.679131, 0.628527
5, 12.177817, 12.179394, 0.644953
5, 11.677663, 11.679041, 0.661523
5, 11.177925, 11.178755, 0.677950
5, 10.678004, 10.679422, 0.694099
5, 10.178321, 10.179752, 0.709817
5, 9.678374, 9.680057, 0.724869
5, 9.178593, 9.180011, 0.739240
5, 8.678220, 8.680140, 0.753027
5, 8.178587, 8.180201, 0.766573
5, 7.678961, 7.680106, 0.780144
5, 7.180015, 7.180474, 0.794199
5, 6.680549, 6.681260, 0.809248
6, 14.679006, 14.679905, 0.565155
6, 14.179013, 14.179714, 0.580623
6, 13.678826, 13.679454, 0.596344
6, 13.178911, 13.179507, 0.612339
6, 12.679131, 12.679453, 0.628559
6, 12.179394, 12.179556, 0.645009
6, 11.679041, 11.679840, 0.661527
6, 11.178755, 11.180063, 0.677979
6, 10.679422, 10.679777, 0.694096
6, 10.179752, 10.179672, 0.709794
6, 9.680057, 9.679471, 0.724820
6, 9.180011, 9.179334, 0.739208
6, 8.680140, 8.679488, 0.753023
6, 8.180201, 8.179548, 0.766519
6, 7.680106, 7.679601, 0.780147
6, 7.180474, 7.179873, 0.794218
6, 6.681260, 6.680470, 0.809288
7, 14.679905, 14.680844, 0.565108
7, 14.179714, 14.180937, 0.580612
7, 13.679454, 13.681540, 0.596328
7, 13.179507, 13.181803, 0.612316
7, 12.679453, 12.681242, 0.628535
7, 12.179556, 12.181276, 0.644991
7, 11.679840, 11.681156, 0.661503
7, 11.180063, 11.181253, 0.677876
7, 10.679777, 10.681406, 0.694058
7, 10.179672, 10.181392, 0.709726
7, 9.679471, 9.681398, 0.724822
7, 9.179334, 9.181112, 0.739208
7, 8.679488, 8.681090, 0.753009
7, 8.179548, 8.181130, 0.766498
7, 7.679601, 7.681082, 0.780109
7, 7.179873, 7.181265, 0.794200
7, 6.680470, 6.681924, 0.809269
8, 14.680844, 14.678340, 0.565163
8, 14.180937, 14.177923, 0.580633
8, 13.681540, 13.677357, 0.596350
8, 13.181803, 13.176958, 0.612324
8, 12.681242, 12.677265, 0.628582
8, 12.181276, 12.177506, 0.645010
8, 11.681156, 11.677715, 0.661516
8, 11.181253, 11.177461, 0.677973
8, 10.681406, 10.677485, 0.694140
8, 10.181392, 10.177337, 0.709788
8, 9.681398, 9.677380, 0.724857
8, 9.181112, 9.177544, 0.739226
8, 8.681090, 8.677761, 0.753058
8, 8.181130, 8.178458, 0.766535
8, 7.681082, 7.678636, 0.780088
8, 7.181265, 7.179021, 0.794183
8, 6.681924, 6.679709, 0.809209
9, 14.678340, 14.678374, 0.565118
9, 14.177923, 14.178246, 0.580598
9, 13.677357, 13.678480, 0.596261
9, 13.176958, 13.178391, 0.612268
9, 12.677265, 12.678219, 0.628483
9, 12.177506, 12.178126, 0.644973
9, 11.677715, 11.678109, 0.661455
9, 11.177461, 11.178063, 0.677885
9, 10.677485, 10.678423, 0.694041
9, 10.177337, 10.178452, 0.709724
9, 9.677380, 9.678314, 0.724825
9, 9.177544, 9.178482, 0.739192
9, 8.677761, 8.678650, 0.753014
9, 8.178458, 8.178551, 0.766541
9, 7.678636, 7.679073, 0.780116
9, 7.179021, 7.179509, 0.794185
9, 6.679709, 6.680486, 0.809221
10, 14.678374, 14.680233, 0.565158
10, 14.178246, 14.180672, 0.580639
10, 13.678480, 13.680940, 0.596392
10, 13.178391, 13.180452, 0.612338
10, 12.678219, 12.680259, 0.628586
10, 12.178126, 12.180113, 0.644976
10, 11.678109, 11.679889, 0.661537
10, 11.178063, 11.179977, 0.677905
10, 10.678423, 10.679667, 0.694082
10, 10.178452, 10.179770, 0.709761
10, 9.678314, 9.680099, 0.724805
10, 9.178482, 9.180065, 0.739184
10, 8.678650, 8.680131, 0.752965
10, 8.178551, 8.179854, 0.766491
10, 7.679073, 7.679879, 0.780066
10, 7.179509, 7.180095, 0.794180
10, 6.680486, 6.680840, 0.809266
