Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 16.512495, 16.516306, 0.555278
1, 14.927721, 14.929132, 0.518438
1, 12.787737, 12.789562, 0.616841
1, 13.195151, 13.196843, 0.609996
1, 13.722244, 13.723795, 0.625724
1, 13.735826, 13.737257, 0.596712
1, 13.742661, 13.743898, 0.625869
1, 14.246028, 14.246475, 0.611972
1, 14.747875, 14.748236, 0.625882
1, 14.248857, 14.249002, 0.579989
1, 13.749189, 13.749820, 0.626032
1, 14.249644, 14.248729, 0.611072
1, 14.749226, 14.748180, 0.626399
1, 14.748559, 14.747674, 0.592203
1, 14.748769, 14.747477, 0.627151
2, 16.516306, 16.514036, 0.555351
2, 14.929132, 14.926614, 0.518563
2, 12.789562, 12.786773, 0.616913
2, 13.196843, 13.195085, 0.610117
2, 13.723795, 13.721828, 0.625818
2, 13.737257, 13.735394, 0.596737
2, 13.743898, 13.742186, 0.625923
2, 14.246475, 14.245706, 0.612046
2, 14.748236, 14.748092, 0.625977
2, 14.249002, 14.248768, 0.580075
2, 13.749820, 13.749421, 0.626081
2, 14.248729, 14.249638, 0.611096
2, 14.748180, 14.749311, 0.626446
2, 14.747674, 14.749455, 0.592223
2, 14.747477, 14.748325, 0.627178
3, 16.514036, 16.514301, 0.555339
3, 14.926614, 14.927793, 0.518496
3, 12.786773, 12.786943, 0.617037
3, 13.195085, 13.195021, 0.610069
3, 13.721828, 13.722607, 0.625739
3, 13.735394, 13.734879, 0.596718
3, 13.742186, 13.741982, 0.625895
3, 14.245706, 14.244820, 0.612101
3, 14.748092, 14.746552, 0.625960
3, 14.248768, 14.246531, 0.580111
3, 13.749421, 13.748051, 0.626104
3, 14.249638, 14.248166, 0.611115
3, 14.749311, 14.747881, 0.626437
3, 14.749455, 14.747471, 0.592293
3, 14.748325, 14.746799, 0.627223
4, 16.514301, 16.513821, 0.555295
4, 14.927793, 14.928699, 0.518430
4, 12.786943, 12.788227, 0.616933
4, 13.195021, 13.196835, 0.610032
4, 13.722607, 13.723298, 0.625697
4, 13.734879, 13.736588, 0.596704
4, 13.741982, 13.743610, 0.625855
4, 14.244820, 14.245998, 0.612023
4, 14.746552, 14.748011, 0.625920
4, 14.246531, 14.248350, 0.579988
4, 13.748051, 13.749424, 0.626060
4, 14.248166, 14.249057, 0.611057
4, 14.747881, 14.748341, 0.626432
4, 14.747471, 14.747237, 0.592194
4, 14.746799, 14.746951, 0.627173
5, 16.513821, 16.515024, 0.555113
5, 14.928699, 14.931394, 0.518488
5, 12.788227, 12.790510, 0.616943
5, 13.196835, 13.198155, 0.610063
5, 13.723298, 13.724804, 0.625783
5, 13.736588, 13.738281, 0.596762
5, 13.743610, 13.745004, 0.625921
5, 14.245998, 14.247906, 0.612095
5, 14.748011, 14.749653, 0.626019
5, 14.248350, 14.250513, 0.580117
5, 13.749424, 13.750557, 0.626131
5, 14.249057, 14.250340, 0.611172
5, 14.748341, 14.750525, 0.626491
5, 14.747237, 14.749263, 0.592284
5, 14.746951, 14.748684, 0.627266
6, 16.515024, 16.511683, 0.555189
6, 14.931394, 14.924240, 0.518420
6, 12.790510, 12.787464, 0.616937
6, 13.198155, 13.194963, 0.610075
6, 13.724804, 13.722134, 0.625766
6, 13.738281, 13.734049, 0.596694
6, 13.745004, 13.741060, 0.625858
6, 14.247906, 14.243355, 0.612035
6, 14.749653, 14.744637, 0.625967
6, 14.250513, 14.244084, 0.580063
6, 13.750557, 13.745377, 0.626104
6, 14.250340, 14.244921, 0.611153
6, 14.750525, 14.745054, 0.626480
6, 14.749263, 14.743029, 0.592266
6, 14.748684, 14.742859, 0.627259
7, 16.511683, 16.514032, 0.555286
7, 14.924240, 14.928371, 0.518574
7, 12.787464, 12.788649, 0.617008
7, 13.194963, 13.196612, 0.610147
7, 13.722134, 13.723175, 0.625881
7, 13.734049, 13.736821, 0.596845
7, 13.741060, 13.744394, 0.625957
7, 14.243355, 14.247953, 0.612082
7, 14.744637, 14.749561, 0.626027
7, 14.244084, 14.250210, 0.580076
7, 13.745377, 13.750397, 0.626135
7, 14.244921, 14.250701, 0.611170
7, 14.745054, 14.749722, 0.626489
7, 14.743029, 14.749462, 0.592259
7, 14.742859, 14.749012, 0.627271
8, 16.514032, 16.509634, 0.555285
8, 14.928371, 14.926592, 0.518493
8, 12.788649, 12.786663, 0.616999
8, 13.196612, 13.194197, 0.610124
8, 13.723175, 13.721220, 0.625801
8, 13.736821, 13.734321, 0.596763
8, 13.744394, 13.741436, 0.625908
8, 14.247953, 14.244823, 0.612072
8, 14.749561, 14.747107, 0.625961
8, 14.250210, 14.248454, 0.580053
8, 13.750397, 13.749458, 0.626056
8, 14.250701, 14.249625, 0.611086
8, 14.749722, 14.749253, 0.626427
8, 14.749462, 14.748574, 0.592194
8, 14.749012, 14.747602, 0.627134
9, 16.509634, 16.512293, 0.555175
9, 14.926592, 14.929422, 0.518508
9, 12.786663, 12.789138, 0.616851
9, 13.194197, 13.196127, 0.610038
9, 13.721220, 13.723158, 0.625759
9, 13.734321, 13.737342, 0.596706
9, 13.741436, 13.744021, 0.625847
9, 14.244823, 14.246624, 0.612011
9, 14.747107, 14.748047, 0.625961
9, 14.248454, 14.249473, 0.579987
9, 13.749458, 13.749786, 0.626070
9, 14.249625, 14.250635, 0.611064
9, 14.749253, 14.751225, 0.626395
9, 14.748574, 14.750624, 0.592176
9, 14.747602, 14.750468, 0.627177
10, 16.512293, 16.514406, 0.555290
10, 14.929422, 14.929269, 0.518511
10, 12.789138, 12.788042, 0.616939
10, 13.196127, 13.195322, 0.610137
10, 13.723158, 13.723374, 0.625837
10, 13.737342, 13.737322, 0.596716
10, 13.744021, 13.744850, 0.625922
10, 14.246624, 14.248034, 0.612069
10, 14.748047, 14.749542, 0.625992
10, 14.249473, 14.250712, 0.580107
10, 13.749786, 13.751351, 0.626125
10, 14.250635, 14.251675, 0.611136
10, 14.751225, 14.751953, 0.626459
10, 14.750624, 14.751534, 0.592279
10, 14.750468, 14.750759, 0.627190
