Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 17.000000, 15.000000, 0.375000
1, 16.937464, 15.062098, 0.391977
1, 16.875658, 15.124927, 0.406800
1, 16.812635, 15.187449, 0.420054
1, 16.749699, 15.250788, 0.432018
1, 16.686737, 15.313070, 0.442913
1, 16.623665, 15.375868, 0.452849
1, 16.561775, 15.437758, 0.461813
1, 16.498230, 15.501098, 0.469899
1, 16.434982, 15.563913, 0.476938
1, 16.372452, 15.626836, 0.483076
1, 16.309574, 15.689806, 0.488258
1, 16.248394, 15.751690, 0.492494
1, 16.185402, 15.814823, 0.495786
1, 16.122805, 15.877062, 0.498113
1, 16.060392, 15.938826, 0.499539
1, 15.997241, 16.001133, 0.500004
2, 15.000000, 9.000000, 0.727273
2, 15.062098, 9.437859, 0.671596
2, 15.124927, 9.876154, 0.642073
2, 15.187449, 10.313679, 0.619146
2, 15.250788, 10.751529, 0.599967
2, 15.313070, 11.189159, 0.583347
2, 15.375868, 11.626597, 0.568707
2, 15.437758, 12.064480, 0.555673
2, 15.501098, 12.502276, 0.544085
2, 15.563913, 12.939299, 0.533896
2, 15.626836, 13.376359, 0.525002
2, 15.689806, 13.814199, 0.517470
2, 15.751690, 14.251742, 0.511206
2, 15.814823, 14.688933, 0.506308
2, 15.877062, 15.126877, 0.502765
2, 15.938826, 15.564463, 0.500671
2, 16.001133, 16.001930, 0.499964
3, 9.000000, 13.000000, 0.600000
3, 9.437859, 13.187906, 0.597768
3, 9.876154, 13.374580, 0.586320
3, 10.313679, 13.561332, 0.575160
3, 10.751529, 13.749319, 0.564626
3, 11.189159, 13.936820, 0.554718
3, 11.626597, 14.123533, 0.545542
3, 12.064480, 14.311597, 0.537120
3, 12.502276, 14.499237, 0.529525
3, 12.939299, 14.686865, 0.522738
3, 13.376359, 14.874095, 0.516769
3, 13.814199, 15.062405, 0.511709
3, 14.251742, 15.250000, 0.507515
3, 14.688933, 15.438564, 0.504238
3, 15.126877, 15.625060, 0.501866
3, 15.564463, 15.811981, 0.500483
3, 16.001930, 15.999559, 0.500003
4, 13.000000, 11.000000, 0.727273
4, 13.187906, 11.312744, 0.671618
4, 13.374580, 11.625065, 0.642080
4, 13.561332, 11.937675, 0.619227
4, 13.749319, 12.250409, 0.600080
4, 13.936820, 12.562932, 0.583456
4, 14.123533, 12.874674, 0.568734
4, 14.311597, 13.186487, 0.555684
4, 14.499237, 13.499399, 0.544120
4, 14.686865, 13.811600, 0.533900
4, 14.874095, 14.123546, 0.525008
4, 15.062405, 14.435249, 0.517411
4, 15.250000, 14.747902, 0.511181
4, 15.438564, 15.060905, 0.506289
4, 15.625060, 15.373627, 0.502856
4, 15.811981, 15.684834, 0.500777
4, 15.999559, 15.996984, 0.500057
5, 11.000000, 16.000000, 0.491667
5, 11.312744, 16.000107, 0.473893
5, 11.625065, 15.999451, 0.476230
5, 11.937675, 15.999420, 0.479389
5, 12.250409, 15.999452, 0.482431
5, 12.562932, 15.999567, 0.485241
5, 12.874674, 16.000294, 0.487802
5, 13.186487, 16.000498, 0.490127
5, 13.499399, 16.000160, 0.492184
5, 13.811600, 16.001116, 0.494019
5, 14.123546, 16.001593, 0.495608
5, 14.435249, 16.001814, 0.496958
5, 14.747902, 16.001661, 0.498070
5, 15.060905, 16.001511, 0.498919
5, 15.373627, 16.001436, 0.499490
5, 15.684834, 16.001461, 0.499855
5, 15.996984, 16.001150, 0.499932
6, 16.000000, 16.000000, 0.500000
6, 16.000107, 16.000616, 0.500006
6, 15.999451, 16.000305, 0.500006
6, 15.999420, 16.000568, 0.499957
6, 15.999452, 16.000595, 0.499924
6, 15.999567, 16.000631, 0.499943
6, 16.000294, 15.999999, 0.499963
6, 16.000498, 16.000141, 0.499982
6, 16.000160, 15.999922, 0.499983
6, 16.001116, 15.999687, 0.500032
6, 16.001593, 16.000462, 0.499996
6, 16.001814, 16.000015, 0.500001
6, 16.001661, 16.000080, 0.500038
6, 16.001511, 15.999542, 0.500058
6, 16.001436, 15.999647, 0.500039
6, 16.001461, 15.999367, 0.500013
6, 16.001150, 15.999400, 0.500041
7, 16.000000, 13.000000, 0.491667
7, 16.000616, 13.187403, 0.473863
7, 16.000305, 13.375317, 0.476220
7, 16.000568, 13.562889, 0.479395
7, 16.000595, 13.750374, 0.482443
7, 16.000631, 13.938501, 0.485239
7, 15.999999, 14.126661, 0.487814
7, 16.000141, 14.313936, 0.490083
7, 15.999922, 14.501490, 0.492195
7, 15.999687, 14.689007, 0.494036
7, 16.000462, 14.875549, 0.495597
7, 16.000015, 15.062860, 0.496942
7, 16.000080, 15.251822, 0.498027
7, 15.999542, 15.439124, 0.498866
7, 15.999647, 15.626713, 0.499474
7, 15.999367, 15.814035, 0.499786
7, 15.999400, 16.002146, 0.499904
8, 13.000000, 20.000000, 0.507353
8, 13.187403, 19.750212, 0.524780
8, 13.375317, 19.500198, 0.523071
8, 13.562889, 19.249571, 0.520250
8, 13.750374, 18.999233, 0.517388
8, 13.938501, 18.749769, 0.514665
8, 14.126661, 18.499548, 0.512155
8, 14.313936, 18.249939, 0.509831
8, 14.501490, 18.000023, 0.507768
8, 14.689007, 17.749470, 0.505913
8, 14.875549, 17.499561, 0.504311
8, 15.062860, 17.249199, 0.503001
8, 15.251822, 16.998844, 0.501917
8, 15.439124, 16.748474, 0.501107
8, 15.626713, 16.498646, 0.500470
8, 15.814035, 16.248798, 0.500146
8, 16.002146, 15.998584, 0.500016
9, 20.000000, 14.000000, 0.527778
9, 19.750212, 14.125233, 0.541307
9, 19.500198, 14.249859, 0.539792
9, 19.249571, 14.374305, 0.536174
9, 18.999233, 14.498543, 0.531820
9, 18.749769, 14.623285, 0.527261
9, 18.499548, 14.748346, 0.522818
9, 18.249939, 14.873430, 0.518614
9, 18.000023, 14.997888, 0.514778
9, 17.749470, 15.123492, 0.511348
9, 17.499561, 15.249262, 0.508389
9, 17.249199, 15.375222, 0.505837
9, 16.998844, 15.501000, 0.503756
9, 16.748474, 15.625249, 0.502095
9, 16.498646, 15.750109, 0.500930
9, 16.248798, 15.875527, 0.500212
9, 15.998584, 16.000980, 0.499973
10, 14.000000, 18.000000, 0.500000
10, 14.125233, 17.875355, 0.499988
10, 14.249859, 17.749876, 0.499994
10, 14.374305, 17.624432, 0.499957
10, 14.498543, 17.498796, 0.500012
10, 14.623285, 17.374783, 0.499995
10, 14.748346, 17.250822, 0.500015
10, 14.873430, 17.125797, 0.499995
10, 14.997888, 17.001688, 0.499946
10, 15.123492, 16.876352, 0.499974
10, 15.249262, 16.751434, 0.499984
10, 15.375222, 16.625713, 0.499992
10, 15.501000, 16.499952, 0.500020
