Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 17.000000, 15.000000, 0.375000
1, 16.500170, 14.500381, 0.369565
1, 16.999996, 14.000165, 0.374992
1, 16.500166, 13.500182, 0.363428
1, 15.999715, 12.999880, 0.346671
1, 15.499584, 13.499761, 0.361101
1, 15.999608, 12.999915, 0.374992
1, 15.499531, 13.499956, 0.389912
1, 14.999831, 14.000272, 0.405980
1, 14.500080, 13.500422, 0.390458
1, 13.999919, 14.000355, 0.406438
1, 13.499903, 14.500338, 0.422702
1, 13.999900, 14.000481, 0.438857
1, 14.499881, 14.500360, 0.422683
1, 14.000561, 14.000689, 0.406692
1, 14.500504, 13.501025, 0.422607
1, 14.000300, 14.001092, 0.438448
2, 15.000000, 9.000000, 0.727273
2, 14.500381, 9.499986, 0.734314
2, 14.000165, 9.999756, 0.740528
2, 13.500182, 9.499783, 0.725295
2, 12.999880, 9.999243, 0.735411
2, 13.499761, 10.499017, 0.720557
2, 12.999915, 9.998804, 0.702431
2, 13.499956, 10.498830, 0.682596
2, 14.000272, 10.998928, 0.662300
2, 13.500422, 10.499113, 0.642418
2, 14.000355, 10.998856, 0.623412
2, 14.500338, 11.498419, 0.605480
2, 14.000481, 10.998317, 0.588704
2, 14.500360, 10.497887, 0.606000
2, 14.000689, 10.998136, 0.623832
2, 13.501025, 11.497869, 0.641864
2, 14.001092, 11.998146, 0.623986
3, 9.000000, 13.000000, 0.600000
3, 9.499986, 12.500275, 0.636670
3, 9.999756, 12.000646, 0.662763
3, 9.499783, 11.500675, 0.640670
3, 9.999243, 12.000210, 0.621465
3, 10.499017, 11.500422, 0.642062
3, 9.998804, 11.000332, 0.622556
3, 10.498830, 11.500436, 0.604327
3, 10.998928, 11.000390, 0.623157
3, 10.499113, 11.499967, 0.642483
3, 10.998856, 11.999960, 0.623499
3, 11.498419, 12.500280, 0.605597
3, 10.998317, 13.000835, 0.623743
3, 10.497887, 12.501040, 0.606089
3, 10.998136, 12.001084, 0.623919
3, 11.497869, 12.501205, 0.606501
3, 11.998146, 13.001206, 0.589952
4, 13.000000, 11.000000, 0.727273
4, 12.500275, 11.499989, 0.734304
4, 12.000646, 12.000006, 0.740525
4, 11.500675, 11.499907, 0.725314
4, 12.000210, 11.999876, 0.705764
4, 11.500422, 12.500024, 0.720606
4, 11.000332, 12.999660, 0.732002
4, 11.500436, 13.499818, 0.717351
4, 11.000390, 12.999813, 0.699997
4, 11.499967, 12.499944, 0.714862
4, 11.999960, 13.000181, 0.698016
4, 12.500280, 13.499970, 0.679753
4, 13.000835, 13.000160, 0.696332
4, 12.501040, 13.500348, 0.711351
4, 12.001084, 14.000889, 0.724972
4, 12.501205, 14.500937, 0.710075
4, 13.001206, 15.000829, 0.693823
5, 11.000000, 16.000000, 0.491667
5, 11.499989, 16.499853, 0.475681
5, 12.000006, 15.999949, 0.485512
5, 11.499907, 15.500069, 0.463855
5, 11.999876, 15.000249, 0.478336
5, 12.500024, 15.500152, 0.459326
5, 12.999660, 15.000119, 0.474476
5, 13.499818, 14.499976, 0.487592
5, 12.999813, 15.000189, 0.499992
5, 12.499944, 15.500404, 0.513133
5, 13.000181, 15.000393, 0.527259
5, 13.499970, 14.500129, 0.541997
5, 13.000160, 13.999838, 0.528109
5, 13.500348, 13.499487, 0.542831
5, 14.000889, 12.999856, 0.557891
5, 14.500937, 13.499951, 0.543415
5, 15.000829, 12.999951, 0.558550
6, 16.000000, 16.000000, 0.500000
6, 16.499853, 16.500132, 0.495972
6, 15.999949, 16.000031, 0.485527
6, 15.500069, 16.500004, 0.493317
6, 15.000249, 17.000490, 0.499999
6, 15.500152, 17.500526, 0.489678
6, 15.000119, 17.000174, 0.474497
6, 14.499976, 17.499702, 0.487612
6, 15.000189, 16.999361, 0.499985
6, 15.500404, 16.499382, 0.513163
6, 15.000393, 16.999163, 0.527312
6, 14.500129, 16.499260, 0.513848
6, 13.999838, 15.999561, 0.500013
6, 13.499487, 16.499794, 0.514290
6, 12.999856, 16.000259, 0.499991
6, 13.499951, 16.500601, 0.485130
6, 12.999951, 17.000996, 0.500026
7, 16.000000, 13.000000, 0.491667
7, 16.500132, 12.500002, 0.495962
7, 16.000031, 13.000172, 0.499994
7, 16.500004, 13.499850, 0.493308
7, 17.000490, 13.999846, 0.478347
7, 17.500526, 13.500324, 0.489695
7, 17.000174, 14.000168, 0.500002
7, 17.499702, 13.500053, 0.512002
