Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment 
1, 17.000000, 15.000000, 0.375000
1, 16.500170, 15.500381, 0.380000
1, 15.999997, 15.000165, 0.374992
1, 16.500166, 15.500182, 0.363428
1, 16.999714, 15.999880, 0.346671
1, 17.499584, 16.499760, 0.328610
1, 17.999609, 15.999915, 0.344948
1, 17.499531, 16.499956, 0.360055
1, 16.999832, 17.000271, 0.375015
1, 16.500080, 17.500422, 0.390458
1, 16.999920, 17.000355, 0.406438
1, 17.499903, 17.500338, 0.390689
1, 17.999901, 17.000481, 0.406628
1, 18.499882, 16.500360, 0.422683
1, 18.000561, 17.000689, 0.438653
1, 18.500505, 17.501024, 0.422607
1, 19.000299, 17.001091, 0.438448
2, 15.000000, 9.000000, 0.727273
2, 15.500381, 8.499986, 0.734314
2, 15.000165, 7.999756, 0.710610
2, 15.500182, 8.499783, 0.686414
2, 15.999880, 8.999243, 0.663209
2, 16.499760, 9.499017, 0.642019
2, 15.999915, 8.998804, 0.622554
2, 16.499956, 9.498830, 0.604356
2, 17.000271, 9.998928, 0.587242
2, 17.500422, 10.499113, 0.571277
2, 17.000355, 9.998856, 0.556245
2, 17.500338, 10.498419, 0.541951
2, 17.000481, 10.998317, 0.557118
2, 16.500360, 11.497887, 0.572921
2, 17.000689, 11.998136, 0.557883
2, 17.501024, 12.497869, 0.543402
2, 17.001091, 12.998146, 0.558502
3, 9.000000, 13.000000, 0.600000
3, 8.499986, 13.500275, 0.636670
3, 7.999756, 13.000646, 0.618733
3, 8.499783, 13.500675, 0.602321
3, 8.999243, 14.000210, 0.585788
3, 9.499017, 14.500422, 0.569406
3, 8.998804, 14.000332, 0.553853
3, 9.498830, 14.500436, 0.539410
3, 9.998928, 15.000390, 0.526001
3, 10.499113, 15.499967, 0.513161
3, 9.998856, 15.999960, 0.527303
3, 10.498419, 16.500280, 0.513879
3, 10.998317, 16.000835, 0.528159
3, 11.497887, 15.501040, 0.542859
3, 11.998136, 16.001085, 0.528742
3, 12.497869, 16.501205, 0.514578
3, 12.998146, 16.001207, 0.529189
4, 13.000000, 11.000000, 0.727273
4, 13.500275, 10.499989, 0.734304
4, 13.000646, 10.000006, 0.710619
4, 13.500675, 10.499907, 0.686337
4, 14.000210, 10.999876, 0.663235
4, 14.500422, 11.500024, 0.642064
4, 14.000332, 10.999660, 0.622588
4, 14.500436, 11.499818, 0.604358
4, 15.000390, 11.999813, 0.587251
4, 15.499967, 12.499944, 0.571287
4, 15.999960, 13.000181, 0.556283
4, 16.500280, 12.499970, 0.572123
4, 16.000835, 12.000160, 0.557172
4, 15.501040, 11.500348, 0.542797
4, 16.001085, 12.000889, 0.528714
4, 16.501205, 12.500937, 0.514602
4, 16.001207, 12.000829, 0.499967
5, 11.000000, 16.000000, 0.491667
5, 10.499989, 16.499853, 0.495970
5, 10.000006, 15.999949, 0.485512
5, 10.499907, 16.500069, 0.463855
5, 10.999876, 17.000250, 0.441252
5, 11.500024, 17.500153, 0.421629
5, 10.999660, 17.000118, 0.404999
5, 11.499818, 17.499977, 0.389903
5, 11.999813, 18.000189, 0.374966
5, 12.499944, 17.500404, 0.390403
5, 13.000181, 17.000393, 0.406416
5, 12.499970, 17.500130, 0.422648
5, 12.000160, 16.999838, 0.406587
5, 11.500348, 17.499487, 0.422615
5, 12.000889, 17.999855, 0.406639
5, 12.500937, 18.499950, 0.390759
5, 12.000829, 18.999950, 0.406624
6, 16.000000, 16.000000, 0.500000
6, 16.499853, 15.500133, 0.503791
6, 15.999949, 15.000031, 0.499998
6, 16.500069, 15.500003, 0.493317
6, 17.000250, 16.000490, 0.478296
6, 17.500153, 16.500526, 0.459355
6, 17.000118, 16.000174, 0.440098
6, 17.499977, 16.499702, 0.422309
6, 18.000189, 16.999361, 0.405982
6, 17.500404, 17.499382, 0.422593
6, 17.000393, 16.999163, 0.406431
6, 17.500130, 16.499260, 0.422680
6, 16.999838, 16.999561, 0.438830
