Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 14.679594, 14.680736, 0.565147
1, 14.679594, 14.680736, 0.596665
1, 14.679594, 14.680736, 0.625574
1, 14.679594, 14.680736, 0.650489
1, 14.679594, 14.680736, 0.674990
1, 14.679594, 14.680736, 0.699111
1, 14.679594, 14.680736, 0.711039
1, 14.679594, 14.680736, 0.724805
1, 14.679594, 14.680736, 0.730797
1, 14.679594, 14.680736, 0.734050
1, 14.679594, 14.680736, 0.735293
2, 14.680736, 14.680273, 0.565123
2, 14.680736, 14.680273, 0.592993
2, 14.680736, 14.680273, 0.622690
2, 14.680736, 14.680273, 0.645986
2, 14.680736, 14.680273, 0.665870
2, 14.680736, 14.680273, 0.685246
2, 14.680736, 14.680273, 0.698662
2, 14.680736, 14.680273, 0.709547
2, 14.680736, 14.680273, 0.714300
2, 14.680736, 14.680273, 0.717569
2, 14.680736, 14.680273, 0.719369
3, 14.680273, 14.679718, 0.565168
3, 14.680273, 14.679718, 0.594155
3, 14.680273, 14.679718, 0.620062
3, 14.680273, 14.679718, 0.643838
3, 14.680273, 14.679718, 0.665331
3, 14.680273, 14.679718, 0.686195
3, 14.680273, 14.679718, 0.699635
3, 14.680273, 14.679718, 0.710210
3, 14.680273, 14.679718, 0.715128
3, 14.680273, 14.679718, 0.719494
3, 14.680273, 14.679718, 0.720933
4, 14.679718, 14.678188, 0.565201
4, 14.679718, 14.678188, 0.595976
4, 14.679718, 14.678188, 0.625828
4, 14.679718, 14.678188, 0.653503
4, 14.679718, 14.678188, 0.674858
4, 14.679718, 14.678188, 0.693374
4, 14.679718, 14.678188, 0.710736
4, 14.679718, 14.678188, 0.724262
4, 14.679718, 14.678188, 0.729488
4, 14.679718, 14.678188, 0.733011
4, 14.679718, 14.678188, 0.734506
5, 14.678188, 14.679006, 0.565169
5, 14.678188, 14.679006, 0.594845
5, 14.678188, 14.679006, 0.624014
5, 14.678188, 14.679006, 0.649867
5, 14.678188, 14.679006, 0.672463
5, 14.678188, 14.679006, 0.693168
5, 14.678188, 14.679006, 0.708252
5, 14.678188, 14.679006, 0.720996
5, 14.678188, 14.679006, 0.726459
5, 14.678188, 14.679006, 0.730434
5, 14.678188, 14.679006, 0.731566
6, 14.679006, 14.679905, 0.565155
6, 14.679006, 14.679905, 0.596694
6, 14.679006, 14.679905, 0.628965
6, 14.679006, 14.679905, 0.654505
6, 14.679006, 14.679905, 0.677659
6, 14.679006, 14.679905, 0.697202
6, 14.679006, 14.679905, 0.711628
6, 14.679006, 14.679905, 0.726204
6, 14.679006, 14.679905, 0.733092
6, 14.679006, 14.679905, 0.738586
6, 14.679006, 14.679905, 0.739373
7, 14.679905, 14.680844, 0.565108
7, 14.679905, 14.680844, 0.593930
7, 14.679905, 14.680844, 0.619250
7, 14.679905, 14.680844, 0.644018
7, 14.679905, 14.680844, 0.665394
7, 14.679905, 14.680844, 0.681872
7, 14.679905, 14.680844, 0.695547
7, 14.679905, 14.680844, 0.711124
7, 14.679905, 14.680844, 0.717461
7, 14.679905, 14.680844, 0.720585
7, 14.679905, 14.680844, 0.721878
8, 14.680844, 14.678340, 0.565163
8, 14.680844, 14.678340, 0.592824
8, 14.680844, 14.678340, 0.622532
8, 14.680844, 14.678340, 0.647089
8, 14.680844, 14.678340, 0.670006
8, 14.680844, 14.678340, 0.689915
8, 14.680844, 14.678340, 0.703888
8, 14.680844, 14.678340, 0.715487
8, 14.680844, 14.678340, 0.722562
8, 14.680844, 14.678340, 0.726683
8, 14.680844, 14.678340, 0.728851
9, 14.678340, 14.678374, 0.565118
9, 14.678340, 14.678374, 0.592959
9, 14.678340, 14.678374, 0.619493
9, 14.678340, 14.678374, 0.646036
9, 14.678340, 14.678374, 0.667712
9, 14.678340, 14.678374, 0.687173
9, 14.678340, 14.678374, 0.703227
9, 14.678340, 14.678374, 0.717163
9, 14.678340, 14.678374, 0.723058
9, 14.678340, 14.678374, 0.727530
9, 14.678340, 14.678374, 0.728423
10, 14.678374, 14.680233, 0.565158
10, 14.678374, 14.680233, 0.595931
10, 14.678374, 14.680233, 0.626389
10, 14.678374, 14.680233, 0.655933
10, 14.678374, 14.680233, 0.682226
10, 14.678374, 14.680233, 0.705659
10, 14.678374, 14.680233, 0.723202
10, 14.678374, 14.680233, 0.736259
10, 14.678374, 14.680233, 0.740835
10, 14.678374, 14.680233, 0.744215
10, 14.678374, 14.680233, 0.745678
