Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 2.716188, 2.714573, 0.560161
1, 3.431188, 3.430608, 0.513457
1, 3.762671, 3.761820, 0.502786
1, 3.906035, 3.905185, 0.500598
1, 3.964841, 3.964776, 0.500033
1, 3.988968, 3.988338, 0.499835
1, 4.000029, 4.001588, 0.499871
2, 2.714573, 2.715816, 0.560220
2, 3.430608, 3.433229, 0.513600
2, 3.761820, 3.763520, 0.502713
2, 3.905185, 3.906418, 0.500577
2, 3.964776, 3.965739, 0.500148
2, 3.988338, 3.989084, 0.500100
2, 4.001588, 3.999932, 0.500094
3, 2.715816, 2.714871, 0.560045
3, 3.433229, 3.432280, 0.513586
3, 3.763520, 3.762998, 0.502838
3, 3.906418, 3.905707, 0.500746
3, 3.965739, 3.965219, 0.500293
3, 3.989084, 3.987716, 0.500140
3, 3.999932, 4.000660, 0.500118
4, 2.714871, 2.713470, 0.560128
4, 3.432280, 3.430908, 0.513547
4, 3.762998, 3.762384, 0.502722
4, 3.905707, 3.905087, 0.500448
4, 3.965219, 3.964960, 0.500244
4, 3.987716, 3.989003, 0.500060
4, 4.000660, 4.002471, 0.500121
5, 2.713470, 2.713454, 0.560237
5, 3.430908, 3.431466, 0.513488
5, 3.762384, 3.761398, 0.502683
5, 3.905087, 3.904915, 0.500626
5, 3.964960, 3.965321, 0.500225
5, 3.989003, 3.989409, 0.500108
5, 4.002471, 4.000927, 0.500159
6, 2.713454, 2.714326, 0.560028
6, 3.431466, 3.429609, 0.513548
6, 3.761398, 3.760232, 0.502952
6, 3.904915, 3.903626, 0.500533
6, 3.965321, 3.964129, 0.499993
6, 3.989409, 3.987555, 0.500032
6, 4.000927, 3.999631, 0.500103
7, 2.714326, 2.715647, 0.559928
7, 3.429609, 3.431758, 0.513509
7, 3.760232, 3.762779, 0.503063
7, 3.903626, 3.906287, 0.500544
7, 3.964129, 3.965513, 0.500171
7, 3.987555, 3.988586, 0.500184
7, 3.999631, 3.999254, 0.500061
8, 2.715647, 2.715523, 0.560102
8, 3.431758, 3.431818, 0.513613
8, 3.762779, 3.762632, 0.502921
8, 3.906287, 3.905712, 0.500441
8, 3.965513, 3.964960, 0.500194
8, 3.988586, 3.989771, 0.500010
8, 3.999254, 4.001836, 0.500002
9, 2.715523, 2.716950, 0.560329
9, 3.431818, 3.433623, 0.513578
9, 3.762632, 3.763033, 0.502898
9, 3.905712, 3.906389, 0.500537
9, 3.964960, 3.966526, 0.500036
9, 3.989771, 3.989234, 0.500005
9, 4.001836, 4.000736, 0.499900
10, 2.716950, 2.716572, 0.559920
10, 3.433623, 3.432263, 0.513627
10, 3.763033, 3.762324, 0.503012
10, 3.906389, 3.905491, 0.500698
10, 3.966526, 3.965749, 0.500110
10, 3.989234, 3.988935, 0.499980
10, 4.000736, 4.000817, 0.499853
