Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.988968, 3.988338, 0.549432
1, 3.988968, 3.988338, 0.604341
1, 3.988968, 3.988338, 0.659774
1, 3.988968, 3.988338, 0.712266
1, 3.988968, 3.988338, 0.758829
1, 3.988968, 3.988338, 0.776921
1, 3.988968, 3.988338, 0.792523
1, 3.988968, 3.988338, 0.804242
1, 3.988968, 3.988338, 0.810573
1, 3.988968, 3.988338, 0.812618
2, 3.988338, 3.989084, 0.500100
2, 3.988338, 3.989084, 0.549475
2, 3.988338, 3.989084, 0.604265
2, 3.988338, 3.989084, 0.659830
2, 3.988338, 3.989084, 0.711915
2, 3.988338, 3.989084, 0.758713
2, 3.988338, 3.989084, 0.776684
2, 3.988338, 3.989084, 0.792230
2, 3.988338, 3.989084, 0.803947
2, 3.988338, 3.989084, 0.810386
2, 3.988338, 3.989084, 0.812433
3, 3.989084, 3.987716, 0.500140
3, 3.989084, 3.987716, 0.550003
3, 3.989084, 3.987716, 0.605065
3, 3.989084, 3.987716, 0.660896
3, 3.989084, 3.987716, 0.713757
3, 3.989084, 3.987716, 0.760335
3, 3.989084, 3.987716, 0.778347
3, 3.989084, 3.987716, 0.794189
3, 3.989084, 3.987716, 0.806256
3, 3.989084, 3.987716, 0.812562
3, 3.989084, 3.987716, 0.814593
4, 3.987716, 3.989003, 0.500060
4, 3.987716, 3.989003, 0.550014
4, 3.987716, 3.989003, 0.605278
4, 3.987716, 3.989003, 0.660635
4, 3.987716, 3.989003, 0.713243
4, 3.987716, 3.989003, 0.759857
4, 3.987716, 3.989003, 0.777664
4, 3.987716, 3.989003, 0.793558
4, 3.987716, 3.989003, 0.805326
4, 3.987716, 3.989003, 0.811749
4, 3.987716, 3.989003, 0.813800
5, 3.989003, 3.989409, 0.500108
5, 3.989003, 3.989409, 0.549643
5, 3.989003, 3.989409, 0.604590
5, 3.989003, 3.989409, 0.660162
5, 3.989003, 3.989409, 0.712182
5, 3.989003, 3.989409, 0.758563
5, 3.989003, 3.989409, 0.776444
5, 3.989003, 3.989409, 0.792187
5, 3.989003, 3.989409, 0.803975
5, 3.989003, 3.989409, 0.810325
5, 3.989003, 3.989409, 0.812403
6, 3.989409, 3.987555, 0.500032
6, 3.989409, 3.987555, 0.549566
6, 3.989409, 3.987555, 0.604432
6, 3.989409, 3.987555, 0.659927
6, 3.989409, 3.987555, 0.712297
6, 3.989409, 3.987555, 0.758955
6, 3.989409, 3.987555, 0.777052
6, 3.989409, 3.987555, 0.792720
6, 3.989409, 3.987555, 0.804446
6, 3.989409, 3.987555, 0.811036
6, 3.989409, 3.987555, 0.813131
7, 3.987555, 3.988586, 0.500184
7, 3.987555, 3.988586, 0.549678
7, 3.987555, 3.988586, 0.604728
7, 3.987555, 3.988586, 0.660465
7, 3.987555, 3.988586, 0.712866
7, 3.987555, 3.988586, 0.759608
7, 3.987555, 3.988586, 0.777633
7, 3.987555, 3.988586, 0.793079
7, 3.987555, 3.988586, 0.804777
7, 3.987555, 3.988586, 0.811253
7, 3.987555, 3.988586, 0.813345
8, 3.988586, 3.989771, 0.500010
8, 3.988586, 3.989771, 0.549765
8, 3.988586, 3.989771, 0.604496
8, 3.988586, 3.989771, 0.660359
8, 3.988586, 3.989771, 0.712652
8, 3.988586, 3.989771, 0.759326
8, 3.988586, 3.989771, 0.777444
8, 3.988586, 3.989771, 0.793162
8, 3.988586, 3.989771, 0.804856
8, 3.988586, 3.989771, 0.811194
8, 3.988586, 3.989771, 0.813244
9, 3.989771, 3.989234, 0.500005
9, 3.989771, 3.989234, 0.549790
9, 3.989771, 3.989234, 0.604617
9, 3.989771, 3.989234, 0.659927
9, 3.989771, 3.989234, 0.712285
9, 3.989771, 3.989234, 0.759305
9, 3.989771, 3.989234, 0.777406
9, 3.989771, 3.989234, 0.793296
9, 3.989771, 3.989234, 0.805071
9, 3.989771, 3.989234, 0.811489
9, 3.989771, 3.989234, 0.813608
10, 3.989234, 3.988935, 0.499980
10, 3.989234, 3.988935, 0.549697
10, 3.989234, 3.988935, 0.605092
10, 3.989234, 3.988935, 0.660961
10, 3.989234, 3.988935, 0.713762
10, 3.989234, 3.988935, 0.760739
10, 3.989234, 3.988935, 0.778927
10, 3.989234, 3.988935, 0.794943
10, 3.989234, 3.988935, 0.807016
10, 3.989234, 3.988935, 0.813536
10, 3.989234, 3.988935, 0.815660
