Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.590182, 3.589839, 0.505267
1, 3.191347, 3.190965, 0.520393
1, 2.792173, 2.791857, 0.545600
1, 2.392844, 2.393041, 0.580636
1, 1.994181, 1.994335, 0.625609
1, 1.595508, 1.595444, 0.680667
1, 1.196663, 1.197028, 0.745528
1, 0.797683, 0.798105, 0.820468
1, 0.398856, 0.398872, 0.905258
1, 0.000000, 0.000000, 1.000000
2, 3.988338, 3.989084, 0.500100
2, 3.589839, 3.589897, 0.505330
2, 3.190965, 3.191246, 0.520429
2, 2.791857, 2.792551, 0.545541
2, 2.393041, 2.393385, 0.580632
2, 1.994335, 1.994784, 0.625564
2, 1.595444, 1.595687, 0.680558
2, 1.197028, 1.196786, 0.745529
2, 0.798105, 0.798001, 0.820442
2, 0.398872, 0.398802, 0.905275
2, 0.000000, 0.000000, 1.000000
3, 3.989084, 3.987716, 0.500140
3, 3.589897, 3.589238, 0.505352
3, 3.191246, 3.190318, 0.520663
3, 2.792551, 2.792102, 0.545692
3, 2.393385, 2.392914, 0.580777
3, 1.994784, 1.994434, 0.625736
3, 1.595687, 1.595598, 0.680761
3, 1.196786, 1.196947, 0.745654
3, 0.798001, 0.798080, 0.820467
3, 0.398802, 0.398922, 0.905263
3, 0.000000, 0.000000, 1.000000
4, 3.987716, 3.989003, 0.500060
4, 3.589238, 3.590005, 0.505396
4, 3.190318, 3.191336, 0.520565
4, 2.792102, 2.792158, 0.545726
4, 2.392914, 2.393027, 0.580814
4, 1.994434, 1.994153, 0.625876
4, 1.595598, 1.595753, 0.680803
4, 1.196947, 1.197250, 0.745521
4, 0.798080, 0.797761, 0.820354
4, 0.398922, 0.398706, 0.905253
4, 0.000000, 0.000000, 1.000000
5, 3.989003, 3.989409, 0.500108
5, 3.590005, 3.590097, 0.505387
5, 3.191336, 3.191402, 0.520459
5, 2.792158, 2.792424, 0.545612
5, 2.393027, 2.393117, 0.580673
5, 1.994153, 1.994264, 0.625689
5, 1.595753, 1.595464, 0.680481
5, 1.197250, 1.196777, 0.745427
5, 0.797761, 0.797452, 0.820362
5, 0.398706, 0.398480, 0.905279
5, 0.000000, 0.000000, 1.000000
6, 3.989409, 3.987555, 0.500032
6, 3.590097, 3.588618, 0.505272
6, 3.191402, 3.189861, 0.520363
6, 2.792424, 2.791233, 0.545571
6, 2.393117, 2.392771, 0.580542
6, 1.994264, 1.993953, 0.625595
6, 1.595464, 1.594979, 0.680613
6, 1.196777, 1.196522, 0.745552
6, 0.797452, 0.797645, 0.820452
6, 0.398480, 0.398812, 0.905274
6, 0.000000, 0.000000, 1.000000
7, 3.987555, 3.988586, 0.500184
7, 3.588618, 3.589594, 0.505492
7, 3.189861, 3.190950, 0.520577
7, 2.791233, 2.792396, 0.545693
7, 2.392771, 2.393708, 0.580648
7, 1.993953, 1.994654, 0.625676
7, 1.594979, 1.595379, 0.680676
7, 1.196522, 1.196253, 0.745546
7, 0.797645, 0.797043, 0.820578
7, 0.398812, 0.398146, 0.905353
7, 0.000000, 0.000000, 1.000000
8, 3.988586, 3.989771, 0.500010
8, 3.589594, 3.590788, 0.505262
8, 3.190950, 3.191855, 0.520485
8, 2.792396, 2.792811, 0.545524
8, 2.393708, 2.394313, 0.580572
8, 1.994654, 1.995106, 0.625548
8, 1.595379, 1.595902, 0.680569
8, 1.196253, 1.196974, 0.745508
8, 0.797043, 0.798447, 0.820446
8, 0.398146, 0.399094, 0.905262
8, 0.000000, 0.000000, 1.000000
9, 3.989771, 3.989234, 0.500005
9, 3.590788, 3.590002, 0.505206
9, 3.191855, 3.191024, 0.520335
9, 2.792811, 2.792490, 0.545523
9, 2.394313, 2.393709, 0.580551
9, 1.995106, 1.994419, 0.625659
9, 1.595902, 1.595656, 0.680701
9, 1.196974, 1.197035, 0.745647
9, 0.798447, 0.797963, 0.820330
9, 0.399094, 0.398781, 0.905205
9, 0.000000, 0.000000, 1.000000
10, 3.989234, 3.988935, 0.499980
10, 3.590002, 3.590350, 0.505316
10, 3.191024, 3.191500, 0.520524
10, 2.792490, 2.791923, 0.545690
10, 2.393709, 2.393282, 0.580815
10, 1.994419, 1.994813, 0.625732
10, 1.595656, 1.596275, 0.680686
10, 1.197035, 1.196989, 0.745656
10, 0.797963, 0.798051, 0.820433
10, 0.398781, 0.398728, 0.905323
10, 0.000000, 0.000000, 1.000000
