Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.994932
1, 3.589715, 3.589089, 0.903893
1, 3.190733, 3.189417, 0.832947
1, 2.792163, 2.790335, 0.783381
1, 2.393389, 2.391692, 0.754533
1, 1.994361, 1.992579, 0.744600
1, 1.595268, 1.593833, 0.755678
1, 1.196660, 1.195599, 0.785394
1, 0.797736, 0.797164, 0.836191
1, 0.398760, 0.398642, 0.907881
1, 0.000000, 0.000000, 1.000000
2, 3.988338, 3.989084, 0.992442
2, 3.589089, 3.589779, 0.901685
2, 3.189417, 3.190743, 0.831210
2, 2.790335, 2.792052, 0.782086
2, 2.391692, 2.393431, 0.753532
2, 1.992579, 1.994525, 0.744081
2, 1.593833, 1.595526, 0.755177
2, 1.195599, 1.196537, 0.785201
2, 0.797164, 0.797312, 0.836158
2, 0.398642, 0.398405, 0.907936
2, 0.000000, 0.000000, 1.000000
3, 3.989084, 3.987716, 0.991879
3, 3.589779, 3.589301, 0.901289
3, 3.190743, 3.190406, 0.831153
3, 2.792052, 2.791196, 0.782057
3, 2.393431, 2.392107, 0.753640
3, 1.994525, 1.992939, 0.744004
3, 1.595526, 1.594036, 0.755320
3, 1.196537, 1.195864, 0.785261
3, 0.797312, 0.797281, 0.836137
3, 0.398405, 0.398630, 0.907919
3, 0.000000, 0.000000, 1.000000
4, 3.987716, 3.989003, 0.994386
4, 3.589301, 3.590336, 0.903504
4, 3.190406, 3.191243, 0.832753
4, 2.791196, 2.792297, 0.783389
4, 2.392107, 2.393661, 0.754536
4, 1.992939, 1.994867, 0.744762
4, 1.594036, 1.596301, 0.755635
4, 1.195864, 1.197410, 0.785248
4, 0.797281, 0.798263, 0.836003
4, 0.398630, 0.398995, 0.907787
4, 0.000000, 0.000000, 1.000000
5, 3.989003, 3.989409, 0.992440
5, 3.590336, 3.590443, 0.901738
5, 3.191243, 3.191640, 0.831335
5, 2.792297, 2.792837, 0.782077
5, 2.393661, 2.393322, 0.753700
5, 1.994867, 1.994625, 0.743947
5, 1.596301, 1.595512, 0.754972
5, 1.197410, 1.196860, 0.785048
5, 0.798263, 0.797584, 0.835925
5, 0.398995, 0.398469, 0.907854
5, 0.000000, 0.000000, 1.000000
6, 3.989409, 3.987555, 0.995589
6, 3.590443, 3.588806, 0.904245
6, 3.191640, 3.189888, 0.833263
6, 2.792837, 2.790789, 0.783640
6, 2.393322, 2.392334, 0.754788
6, 1.994625, 1.993193, 0.744856
6, 1.595512, 1.594616, 0.755749
6, 1.196860, 1.195529, 0.785573
6, 0.797584, 0.797075, 0.836240
6, 0.398469, 0.398576, 0.907992
6, 0.000000, 0.000000, 1.000000
7, 3.987555, 3.988586, 0.991259
7, 3.588806, 3.590236, 0.900800
7, 3.189888, 3.191592, 0.830524
7, 2.790789, 2.792723, 0.781487
7, 2.392334, 2.394030, 0.753062
7, 1.993193, 1.995475, 0.743608
7, 1.594616, 1.596574, 0.754899
7, 1.195529, 1.197446, 0.785039
7, 0.797075, 0.798578, 0.835963
7, 0.398576, 0.399333, 0.907815
7, 0.000000, 0.000000, 1.000000
8, 3.988586, 3.989771, 0.993190
8, 3.590236, 3.590955, 0.902381
8, 3.191592, 3.192316, 0.831883
8, 2.792723, 2.792759, 0.782543
8, 2.394030, 2.393528, 0.753755
8, 1.995475, 1.995048, 0.743870
8, 1.596574, 1.595969, 0.755130
8, 1.197446, 1.196837, 0.785048
8, 0.798578, 0.798324, 0.835870
8, 0.399333, 0.399021, 0.907761
8, 0.000000, 0.000000, 1.000000
9, 3.989771, 3.989234, 0.993145
9, 3.590955, 3.590616, 0.902245
9, 3.192316, 3.191417, 0.831820
9, 2.792759, 2.792148, 0.782485
9, 2.393528, 2.393403, 0.753832
9, 1.995048, 1.994818, 0.744175
9, 1.595969, 1.595556, 0.755335
9, 1.196837, 1.196808, 0.785248
9, 0.798324, 0.797606, 0.835980
9, 0.399021, 0.398978, 0.907750
9, 0.000000, 0.000000, 1.000000
10, 3.989234, 3.988935, 0.996266
10, 3.590616, 3.589816, 0.904948
10, 3.191417, 3.191147, 0.833938
10, 2.792148, 2.792264, 0.784184
10, 2.393403, 2.393192, 0.755332
10, 1.994818, 1.994286, 0.745210
10, 1.595556, 1.595470, 0.756058
10, 1.196808, 1.196341, 0.785663
10, 0.797606, 0.797632, 0.836268
10, 0.398978, 0.398977, 0.907867
10, 0.000000, 0.000000, 1.000000
