Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.500172
1, 3.988968, 3.988338, 0.500154
1, 3.988968, 3.988338, 0.500181
1, 3.988968, 3.988338, 0.500133
1, 3.988968, 3.988338, 0.500107
1, 3.988968, 3.988338, 0.500024
1, 3.988968, 3.988338, 0.500053
1, 3.988968, 3.988338, 0.500003
1, 3.988968, 3.988338, 0.500044
1, 3.988968, 3.988338, 0.500043
1, 3.988968, 3.988338, 0.500035
2, 3.988338, 3.989084, 0.500034
2, 3.988338, 3.989084, 0.499976
2, 3.988338, 3.989084, 0.500162
2, 3.988338, 3.989084, 0.500055
2, 3.988338, 3.989084, 0.500131
2, 3.988338, 3.989084, 0.500045
2, 3.988338, 3.989084, 0.500028
2, 3.988338, 3.989084, 0.500053
2, 3.988338, 3.989084, 0.500075
2, 3.988338, 3.989084, 0.500054
2, 3.988338, 3.989084, 0.500047
3, 3.989084, 3.987716, 0.499926
3, 3.989084, 3.987716, 0.499876
3, 3.989084, 3.987716, 0.499940
3, 3.989084, 3.987716, 0.499919
3, 3.989084, 3.987716, 0.499989
3, 3.989084, 3.987716, 0.500025
3, 3.989084, 3.987716, 0.499897
3, 3.989084, 3.987716, 0.499987
3, 3.989084, 3.987716, 0.499969
3, 3.989084, 3.987716, 0.499974
3, 3.989084, 3.987716, 0.499986
4, 3.987716, 3.989003, 0.499959
4, 3.987716, 3.989003, 0.499918
4, 3.987716, 3.989003, 0.499897
4, 3.987716, 3.989003, 0.499875
4, 3.987716, 3.989003, 0.500014
4, 3.987716, 3.989003, 0.500043
4, 3.987716, 3.989003, 0.499904
4, 3.987716, 3.989003, 0.499950
4, 3.987716, 3.989003, 0.499985
4, 3.987716, 3.989003, 0.500007
4, 3.987716, 3.989003, 0.500039
5, 3.989003, 3.989409, 0.500071
5, 3.989003, 3.989409, 0.500124
5, 3.989003, 3.989409, 0.499975
5, 3.989003, 3.989409, 0.499988
5, 3.989003, 3.989409, 0.499935
5, 3.989003, 3.989409, 0.500105
5, 3.989003, 3.989409, 0.499955
5, 3.989003, 3.989409, 0.499979
5, 3.989003, 3.989409, 0.499990
5, 3.989003, 3.989409, 0.499987
5, 3.989003, 3.989409, 0.500025
6, 3.989409, 3.987555, 0.500160
6, 3.989409, 3.987555, 0.500128
6, 3.989409, 3.987555, 0.500031
6, 3.989409, 3.987555, 0.499974
6, 3.989409, 3.987555, 0.499906
6, 3.989409, 3.987555, 0.500116
6, 3.989409, 3.987555, 0.499979
6, 3.989409, 3.987555, 0.500030
6, 3.989409, 3.987555, 0.499949
6, 3.989409, 3.987555, 0.499985
6, 3.989409, 3.987555, 0.499987
7, 3.987555, 3.988586, 0.500008
7, 3.987555, 3.988586, 0.500015
7, 3.987555, 3.988586, 0.500026
7, 3.987555, 3.988586, 0.499993
7, 3.987555, 3.988586, 0.500088
7, 3.987555, 3.988586, 0.500140
7, 3.987555, 3.988586, 0.500095
7, 3.987555, 3.988586, 0.500076
7, 3.987555, 3.988586, 0.500001
7, 3.987555, 3.988586, 0.500053
7, 3.987555, 3.988586, 0.500044
8, 3.988586, 3.989771, 0.499993
8, 3.988586, 3.989771, 0.500108
8, 3.988586, 3.989771, 0.500127
8, 3.988586, 3.989771, 0.500033
8, 3.988586, 3.989771, 0.500126
8, 3.988586, 3.989771, 0.500100
8, 3.988586, 3.989771, 0.500101
8, 3.988586, 3.989771, 0.500060
8, 3.988586, 3.989771, 0.499987
8, 3.988586, 3.989771, 0.500040
8, 3.988586, 3.989771, 0.500034
9, 3.989771, 3.989234, 0.500062
9, 3.989771, 3.989234, 0.500067
9, 3.989771, 3.989234, 0.500058
9, 3.989771, 3.989234, 0.499976
9, 3.989771, 3.989234, 0.500059
9, 3.989771, 3.989234, 0.500110
9, 3.989771, 3.989234, 0.500127
9, 3.989771, 3.989234, 0.500058
9, 3.989771, 3.989234, 0.499981
9, 3.989771, 3.989234, 0.500055
9, 3.989771, 3.989234, 0.500036
10, 3.989234, 3.988935, 0.500147
10, 3.989234, 3.988935, 0.499940
10, 3.989234, 3.988935, 0.500026
10, 3.989234, 3.988935, 0.499972
10, 3.989234, 3.988935, 0.500065
10, 3.989234, 3.988935, 0.500153
10, 3.989234, 3.988935, 0.500146
10, 3.989234, 3.988935, 0.500092
10, 3.989234, 3.988935, 0.500014
10, 3.989234, 3.988935, 0.500076
10, 3.989234, 3.988935, 0.500067
