Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.488639, 3.488463, 0.562432
1, 2.988574, 2.988143, 0.625258
1, 2.488622, 2.488228, 0.687931
1, 1.988700, 1.987990, 0.749915
1, 1.488647, 1.488189, 0.811430
1, 0.989025, 0.988806, 0.875403
1, 0.493682, 0.493462, 0.966667
1, 0.000000, 0.000000, 1.000000
2, 3.988338, 3.989084, 0.500100
2, 3.488463, 3.488809, 0.562726
2, 2.988143, 2.988741, 0.625499
2, 2.488228, 2.488573, 0.688077
2, 1.987990, 1.988457, 0.750041
2, 1.488189, 1.488576, 0.811547
2, 0.988806, 0.989259, 0.875442
2, 0.493462, 0.493773, 0.966668
2, 0.000000, 0.000000, 1.000000
3, 3.989084, 3.987716, 0.500140
3, 3.488809, 3.488098, 0.562769
3, 2.988741, 2.988160, 0.625567
3, 2.488573, 2.488454, 0.688171
3, 1.988457, 1.988450, 0.750152
3, 1.488576, 1.488722, 0.811564
3, 0.989259, 0.988946, 0.875430
3, 0.493773, 0.493572, 0.966663
3, 0.000000, 0.000000, 1.000000
4, 3.987716, 3.989003, 0.500060
4, 3.488098, 3.488978, 0.562657
4, 2.988160, 2.988520, 0.625442
4, 2.488454, 2.488906, 0.688107
4, 1.988450, 1.988841, 0.750020
4, 1.488722, 1.488514, 0.811413
4, 0.988946, 0.988884, 0.875369
4, 0.493572, 0.493458, 0.966640
4, 0.000000, 0.000000, 1.000000
5, 3.989003, 3.989409, 0.500108
5, 3.488978, 3.489242, 0.562690
5, 2.988520, 2.989081, 0.625471
5, 2.488906, 2.488895, 0.688126
5, 1.988841, 1.989100, 0.750020
5, 1.488514, 1.488976, 0.811482
5, 0.988884, 0.988936, 0.875445
5, 0.493458, 0.493698, 0.966684
5, 0.000000, 0.000000, 1.000000
6, 3.989409, 3.987555, 0.500032
6, 3.489242, 3.487859, 0.562662
6, 2.989081, 2.987731, 0.625397
6, 2.488895, 2.487489, 0.688085
6, 1.989100, 1.987700, 0.750048
6, 1.488976, 1.487716, 0.811434
6, 0.988936, 0.988232, 0.875427
6, 0.493698, 0.493285, 0.966655
6, 0.000000, 0.000000, 1.000000
7, 3.987555, 3.988586, 0.500184
7, 3.487859, 3.488613, 0.562785
7, 2.987731, 2.988696, 0.625542
7, 2.487489, 2.489091, 0.688116
7, 1.987700, 1.989184, 0.750093
7, 1.487716, 1.489016, 0.811549
7, 0.988232, 0.989358, 0.875464
7, 0.493285, 0.493813, 0.966678
7, 0.000000, 0.000000, 1.000000
8, 3.988586, 3.989771, 0.500010
8, 3.488613, 3.489232, 0.562599
8, 2.988696, 2.988841, 0.625420
8, 2.489091, 2.489511, 0.688022
8, 1.989184, 1.989232, 0.750054
8, 1.489016, 1.488984, 0.811548
8, 0.989358, 0.989329, 0.875426
8, 0.493813, 0.493678, 0.966681
8, 0.000000, 0.000000, 1.000000
9, 3.989771, 3.989234, 0.500005
9, 3.489232, 3.489695, 0.562620
9, 2.988841, 2.989892, 0.625354
9, 2.489511, 2.489868, 0.687960
9, 1.989232, 1.989691, 0.749928
9, 1.488984, 1.489349, 0.811444
9, 0.989329, 0.989361, 0.875410
9, 0.493678, 0.493890, 0.966645
9, 0.000000, 0.000000, 1.000000
10, 3.989234, 3.988935, 0.499980
10, 3.489695, 3.489041, 0.562558
10, 2.989892, 2.989301, 0.625345
10, 2.489868, 2.489041, 0.688061
10, 1.989691, 1.989416, 0.750056
10, 1.489349, 1.489198, 0.811556
10, 0.989361, 0.989465, 0.875475
10, 0.493890, 0.493839, 0.966648
10, 0.000000, 0.000000, 1.000000
