Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.495286, 3.494876, 0.561966
1, 2.999943, 2.999532, 0.623285
1, 2.500320, 2.500149, 0.685449
1, 2.000268, 2.000348, 0.749886
1, 1.500345, 1.500110, 0.817315
1, 1.000394, 1.000195, 0.888371
1, 0.500329, 0.499875, 0.966673
1, 0.000000, 0.000000, 1.000000
2, 3.988338, 3.989084, 0.500100
2, 3.494876, 3.495311, 0.562189
2, 2.999532, 2.999824, 0.623533
2, 2.500149, 2.500507, 0.685657
2, 2.000348, 2.000627, 0.750071
2, 1.500110, 1.500511, 0.817323
2, 1.000195, 1.000342, 0.888422
2, 0.499875, 0.500275, 0.966631
2, 0.000000, 0.000000, 1.000000
3, 3.989084, 3.987716, 0.500140
3, 3.495311, 3.494144, 0.562228
3, 2.999824, 2.998770, 0.623529
3, 2.500507, 2.498994, 0.685622
3, 2.000627, 1.999266, 0.749968
3, 1.500511, 1.499261, 0.817259
3, 1.000342, 0.999555, 0.888362
3, 0.500275, 0.499618, 0.966651
3, 0.000000, 0.000000, 1.000000
4, 3.987716, 3.989003, 0.500060
4, 3.494144, 3.495545, 0.562175
4, 2.998770, 3.000119, 0.623536
4, 2.498994, 2.500489, 0.685733
4, 1.999266, 2.000162, 0.750026
4, 1.499261, 1.500097, 0.817230
4, 0.999555, 1.000484, 0.888378
4, 0.499618, 0.500025, 0.966667
4, 0.000000, 0.000000, 1.000000
5, 3.989003, 3.989409, 0.500108
5, 3.495545, 3.495711, 0.562189
5, 3.000119, 3.000473, 0.623502
5, 2.500489, 2.500433, 0.685722
5, 2.000162, 2.000309, 0.750036
5, 1.500097, 1.500514, 0.817311
5, 1.000484, 1.000328, 0.888328
5, 0.500025, 0.500167, 0.966647
5, 0.000000, 0.000000, 1.000000
6, 3.989409, 3.987555, 0.500032
6, 3.495711, 3.494271, 0.562155
6, 3.000473, 2.999323, 0.623477
6, 2.500433, 2.499839, 0.685700
6, 2.000309, 1.999856, 0.750017
6, 1.500514, 1.500066, 0.817346
6, 1.000328, 0.999825, 0.888432
6, 0.500167, 0.499697, 0.966673
6, 0.000000, 0.000000, 1.000000
7, 3.987555, 3.988586, 0.500184
7, 3.494271, 3.494773, 0.562280
7, 2.999323, 2.999228, 0.623555
7, 2.499839, 2.499570, 0.685660
7, 1.999856, 1.999402, 0.750106
7, 1.500066, 1.499495, 0.817458
7, 0.999825, 0.999890, 0.888488
7, 0.499697, 0.499973, 0.966661
7, 0.000000, 0.000000, 1.000000
8, 3.988586, 3.989771, 0.500010
8, 3.494773, 3.496094, 0.562092
8, 2.999228, 3.000443, 0.623421
8, 2.499570, 2.500787, 0.685544
8, 1.999402, 2.000540, 0.749947
8, 1.499495, 1.500261, 0.817250
8, 0.999890, 1.000930, 0.888357
8, 0.499973, 0.500540, 0.966656
8, 0.000000, 0.000000, 1.000000
9, 3.989771, 3.989234, 0.500005
9, 3.496094, 3.495345, 0.562122
9, 3.000443, 2.999873, 0.623482
9, 2.500787, 2.499885, 0.685648
9, 2.000540, 1.999543, 0.750116
9, 1.500261, 1.499366, 0.817315
9, 1.000930, 0.999342, 0.888397
9, 0.500540, 0.499539, 0.966620
9, 0.000000, 0.000000, 1.000000
10, 3.989234, 3.988935, 0.499980
10, 3.495345, 3.495096, 0.562077
10, 2.999873, 2.999470, 0.623347
10, 2.499885, 2.499737, 0.685512
10, 1.999543, 1.999519, 0.749927
10, 1.499366, 1.499894, 0.817307
10, 0.999342, 0.999634, 0.888372
10, 0.499539, 0.499894, 0.966683
10, 0.000000, 0.000000, 1.000000
