Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.720028, 3.719801, 0.504879
1, 3.539643, 3.539273, 0.513282
1, 3.214415, 3.212707, 0.539329
1, 2.750791, 2.750226, 0.602982
1, 2.602428, 2.602015, 0.665814
1, 3.006057, 3.005733, 0.625615
1, 3.481004, 3.480551, 0.563753
2, 3.719801, 3.720444, 0.504912
2, 3.539273, 3.540478, 0.513391
2, 3.212707, 3.213909, 0.539251
2, 2.750226, 2.751919, 0.602762
2, 2.602015, 2.602169, 0.665707
2, 3.005733, 3.005903, 0.625577
2, 3.480551, 3.480975, 0.563731
3, 3.720444, 3.721043, 0.504956
3, 3.540478, 3.540645, 0.513273
3, 3.213909, 3.212306, 0.539380
3, 2.751919, 2.749000, 0.603114
3, 2.602169, 2.601772, 0.666049
3, 3.005903, 3.005809, 0.625775
3, 3.480975, 3.480744, 0.563907
4, 3.721043, 3.719765, 0.504738
4, 3.540645, 3.539151, 0.513205
4, 3.212306, 3.211379, 0.539125
4, 2.749000, 2.749799, 0.603011
4, 2.601772, 2.602322, 0.665766
4, 3.005809, 3.006276, 0.625490
4, 3.480744, 3.480932, 0.563624
5, 3.719765, 3.719133, 0.504863
5, 3.539151, 3.540239, 0.513320
5, 3.211379, 3.211611, 0.539164
5, 2.749799, 2.748591, 0.602944
5, 2.602322, 2.602612, 0.665761
5, 3.006276, 3.005563, 0.625567
5, 3.480932, 3.480353, 0.563742
6, 3.719133, 3.718358, 0.504906
6, 3.540239, 3.537990, 0.513151
6, 3.211611, 3.213397, 0.539127
6, 2.748591, 2.749007, 0.602949
6, 2.602612, 2.602069, 0.665832
6, 3.005563, 3.005379, 0.625608
6, 3.480353, 3.479889, 0.563695
7, 3.718358, 3.720090, 0.505082
7, 3.537990, 3.541935, 0.513100
7, 3.213397, 3.213588, 0.538954
7, 2.749007, 2.751478, 0.602759
7, 2.602069, 2.602375, 0.665701
7, 3.005379, 3.005907, 0.625571
7, 3.479889, 3.480949, 0.563715
8, 3.720090, 3.720832, 0.504990
8, 3.541935, 3.540038, 0.513080
8, 3.213588, 3.212025, 0.539099
8, 2.751478, 2.749553, 0.602776
8, 2.602375, 2.602203, 0.665625
8, 3.005907, 3.005958, 0.625524
8, 3.480949, 3.480859, 0.563628
9, 3.720832, 3.721366, 0.504866
9, 3.540038, 3.540602, 0.513374
9, 3.212025, 3.213207, 0.539324
9, 2.749553, 2.750340, 0.602879
9, 2.602203, 2.602979, 0.665627
9, 3.005958, 3.005962, 0.625575
9, 3.480859, 3.481025, 0.563699
10, 3.721366, 3.721174, 0.504946
10, 3.540602, 3.540808, 0.513248
10, 3.213207, 3.213492, 0.539009
10, 2.750340, 2.749935, 0.602883
10, 2.602979, 2.601866, 0.665782
10, 3.005962, 3.005502, 0.625709
10, 3.481025, 3.480464, 0.563838
