Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 5.000000, 4.000000, 0.375000
1, 4.499830, 2.498855, 0.500016
1, 3.499279, 4.250541, 0.312460
1, 3.374879, 4.626705, 0.421737
1, 3.874600, 4.249440, 0.494176
1, 3.562205, 3.748747, 0.498651
1, 3.749828, 3.700992, 0.501137
1, 3.829741, 3.812667, 0.498952
1, 4.002841, 3.886511, 0.498788
1, 4.023804, 3.969103, 0.499424
2, 4.000000, 4.000000, 0.250000
2, 2.498855, 4.499987, 0.437537
2, 4.250541, 3.750411, 0.427072
2, 4.626705, 4.374659, 0.484430
2, 4.249440, 4.062346, 0.488326
2, 3.748747, 4.156504, 0.502331
2, 3.700992, 3.875402, 0.501843
2, 3.812667, 3.906791, 0.500929
2, 3.886511, 4.032012, 0.500553
2, 3.969103, 4.042102, 0.500409
3, 4.000000, 3.000000, 0.125000
3, 4.499987, 3.500275, 0.499909
3, 3.750411, 3.749424, 0.468648
3, 4.374659, 4.000592, 0.518071
3, 4.062346, 3.873091, 0.502028
3, 4.156504, 3.936879, 0.501930
3, 3.875402, 4.062516, 0.500261
3, 3.906791, 3.820604, 0.501329
3, 4.032012, 3.796554, 0.499985
3, 4.042102, 3.886415, 0.500041
4, 3.000000, 5.000000, 0.250000
4, 3.500275, 5.000000, 0.437355
4, 3.749424, 4.250410, 0.468701
4, 4.000592, 4.374686, 0.488398
4, 3.873091, 4.562915, 0.498876
4, 3.936879, 4.344559, 0.496594
4, 4.062516, 4.234838, 0.500715
4, 3.820604, 4.092600, 0.498760
4, 3.796554, 4.175275, 0.498560
4, 3.886415, 4.159333, 0.498965
5, 5.000000, 3.000000, 0.250000
5, 5.000000, 3.000000, 0.437445
5, 4.250410, 3.499415, 0.439496
5, 4.374686, 3.998496, 0.504927
5, 4.562915, 4.311380, 0.513721
5, 4.344559, 4.188776, 0.505254
5, 4.234838, 4.078807, 0.500264
5, 4.092600, 4.046200, 0.499273
5, 4.175275, 3.924509, 0.498961
5, 4.159333, 3.923042, 0.499591
6, 3.000000, 4.000000, 0.375000
6, 3.000000, 4.500133, 0.312483
6, 3.499415, 3.249819, 0.516511
6, 3.998496, 3.499037, 0.506689
6, 4.311380, 3.750489, 0.514810
6, 4.188776, 3.999123, 0.498822
6, 4.078807, 3.985135, 0.496553
6, 4.046200, 4.046767, 0.499295
6, 3.924509, 3.925691, 0.500144
6, 3.923042, 3.933579, 0.500216
7, 4.000000, 1.000000, 0.375000
7, 4.500133, 3.500011, 0.499984
7, 3.249819, 3.749545, 0.452989
7, 3.499037, 4.251156, 0.488371
7, 3.750489, 4.312131, 0.489189
7, 3.999123, 4.374919, 0.499230
7, 3.985135, 4.234845, 0.499016
7, 4.046767, 4.180124, 0.499581
7, 3.925691, 3.975546, 0.500326
7, 3.933579, 3.974347, 0.500352
8, 1.000000, 6.000000, 0.375000
8, 3.500011, 3.499759, 0.562859
8, 3.749545, 4.251601, 0.484387
8, 4.251156, 4.873411, 0.500070
8, 4.312131, 4.563268, 0.526259
8, 4.374919, 4.187802, 0.504762
8, 4.234845, 3.922073, 0.497700
8, 4.180124, 4.165416, 0.501782
8, 3.975546, 3.988777, 0.500363
8, 3.974347, 3.993734, 0.500109
9, 6.000000, 3.000000, 0.375000
9, 3.499759, 3.000000, 0.500055
9, 4.251601, 4.749636, 0.516173
9, 4.873411, 4.875689, 0.531965
9, 4.563268, 4.624404, 0.511631
9, 4.187802, 4.217831, 0.504453
9, 3.922073, 4.015408, 0.502651
9, 4.165416, 3.835534, 0.498178
9, 3.988777, 3.883176, 0.499521
9, 3.993734, 3.855106, 0.500093
10, 3.000000, 6.000000, 0.375000
10, 3.000000, 6.500090, 0.374914
10, 4.749636, 5.499813, 0.498981
10, 4.875689, 4.875272, 0.514737
10, 4.624404, 4.500416, 0.500836
10, 4.217831, 4.063128, 0.500593
10, 4.015408, 3.874595, 0.501466
10, 3.835534, 3.671211, 0.502570
10, 3.883176, 3.731017, 0.501525
10, 3.855106, 3.844305, 0.500593
