Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 5.000000, 4.000000, 0.375000
1, 4.749089, 4.000767, 0.429687
1, 4.499275, 4.000979, 0.468690
1, 4.249545, 4.001068, 0.492121
1, 3.999147, 4.001027, 0.499951
1, 3.748870, 4.000464, 0.492233
1, 3.499190, 3.999966, 0.468795
1, 3.248782, 3.999956, 0.429834
1, 3.000000, 4.000000, 0.375000
2, 4.000000, 4.000000, 0.250000
2, 4.000767, 4.000039, 0.359352
2, 4.000979, 4.000154, 0.437419
2, 4.001068, 3.999676, 0.484290
2, 4.001027, 4.000051, 0.499908
2, 4.000464, 3.999858, 0.484281
2, 3.999966, 4.000129, 0.437484
2, 3.999956, 3.999643, 0.359430
2, 4.000000, 4.000000, 0.250000
3, 4.000000, 3.000000, 0.125000
3, 4.000039, 3.250635, 0.289171
3, 4.000154, 3.500870, 0.406230
3, 3.999676, 3.750672, 0.476607
3, 4.000051, 4.000498, 0.499993
3, 3.999858, 4.251165, 0.476596
3, 4.000129, 4.500762, 0.406303
3, 3.999643, 4.750134, 0.289129
3, 4.000000, 5.000000, 0.125000
4, 3.000000, 5.000000, 0.250000
4, 3.250635, 4.750031, 0.359371
4, 3.500870, 4.499955, 0.437465
4, 3.750672, 4.250515, 0.484289
4, 4.000498, 4.000363, 0.499997
4, 4.251165, 3.750579, 0.484454
4, 4.500762, 3.500145, 0.437474
4, 4.750134, 3.249837, 0.359297
4, 5.000000, 3.000000, 0.250000
5, 5.000000, 3.000000, 0.250000
5, 4.750031, 3.250395, 0.359354
5, 4.499955, 3.501127, 0.437622
5, 4.250515, 3.750800, 0.484413
5, 4.000363, 4.000587, 0.499972
5, 3.750579, 4.250840, 0.484350
5, 3.500145, 4.500442, 0.437381
5, 3.249837, 4.750742, 0.359331
5, 3.000000, 5.000000, 0.250000
6, 3.000000, 4.000000, 0.375000
6, 3.250395, 3.999505, 0.429717
6, 3.501127, 3.999210, 0.468674
6, 3.750800, 3.999608, 0.492015
6, 4.000587, 4.000740, 0.499897
6, 4.250840, 4.000411, 0.492048
6, 4.500442, 4.000789, 0.468698
6, 4.750742, 4.000602, 0.429697
6, 5.000000, 4.000000, 0.375000
7, 4.000000, 1.000000, 0.375000
7, 3.999505, 1.749992, 0.429614
7, 3.999210, 2.499766, 0.468608
7, 3.999608, 3.249921, 0.492086
7, 4.000740, 4.000017, 0.499965
7, 4.000411, 4.749302, 0.492209
7, 4.000789, 5.499498, 0.468742
7, 4.000602, 6.249464, 0.429702
7, 4.000000, 7.000000, 0.375000
8, 1.000000, 6.000000, 0.375000
8, 1.749992, 5.500591, 0.429615
8, 2.499766, 5.000054, 0.468659
8, 3.249921, 4.499442, 0.492170
8, 4.000017, 3.999168, 0.500038
8, 4.749302, 3.498564, 0.492309
8, 5.499498, 2.998920, 0.468869
8, 6.249464, 2.499638, 0.429646
8, 7.000000, 2.000000, 0.375000
9, 6.000000, 3.000000, 0.375000
9, 5.500591, 3.250206, 0.429675
9, 5.000054, 3.500896, 0.468813
9, 4.499442, 3.751213, 0.492227
9, 3.999168, 4.001220, 0.500005
9, 3.498564, 4.251481, 0.492360
9, 2.998920, 4.500462, 0.468826
9, 2.499638, 4.749754, 0.429755
9, 2.000000, 5.000000, 0.375000
10, 3.000000, 6.000000, 0.375000
10, 3.250206, 5.500515, 0.429613
10, 3.500896, 5.000696, 0.468838
10, 3.751213, 4.500407, 0.492181
10, 4.001220, 4.000486, 0.500086
10, 4.251481, 3.500772, 0.492297
10, 4.500462, 3.000381, 0.468765
10, 4.749754, 2.500498, 0.429743
10, 5.000000, 2.000000, 0.375000
