Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 5.000000, 4.000000, 0.375000
1, 5.500169, 3.500382, 0.437487
1, 5.999997, 3.000165, 0.500028
1, 6.500167, 3.500182, 0.437519
1, 5.999715, 2.999880, 0.375030
1, 5.499584, 2.499760, 0.312535
1, 4.999608, 2.999915, 0.375038
1, 4.499531, 3.499957, 0.437556
1, 3.999831, 4.000272, 0.500066
2, 4.000000, 4.000000, 0.250000
2, 3.500382, 4.499986, 0.312460
2, 3.000165, 4.999756, 0.374974
2, 3.500182, 5.499782, 0.312476
2, 2.999880, 4.999243, 0.249888
2, 2.499760, 5.499017, 0.312375
2, 2.999915, 4.998804, 0.374896
2, 3.499957, 4.498830, 0.437420
2, 4.000272, 3.998928, 0.499878
3, 4.000000, 3.000000, 0.125000
3, 4.499986, 2.500275, 0.187509
3, 4.999756, 2.000645, 0.250046
3, 5.499782, 2.500675, 0.187487
3, 4.999243, 3.000210, 0.250005
3, 5.499017, 2.500421, 0.312503
3, 4.998804, 3.000331, 0.375014
3, 4.498830, 3.500436, 0.437506
3, 3.998928, 4.000390, 0.500042
4, 3.000000, 5.000000, 0.250000
4, 2.500275, 4.499989, 0.187471
4, 2.000645, 5.000006, 0.249975
4, 2.500675, 5.499907, 0.187482
4, 3.000210, 4.999876, 0.249954
4, 2.500421, 5.500024, 0.312483
4, 3.000331, 4.999660, 0.374974
4, 3.500436, 4.499818, 0.437486
4, 4.000390, 3.999814, 0.499989
5, 5.000000, 3.000000, 0.250000
5, 4.499989, 3.499853, 0.312467
5, 5.000006, 3.999949, 0.250015
5, 5.499907, 3.500069, 0.312492
5, 4.999876, 4.000249, 0.374962
5, 5.500024, 3.500152, 0.437411
5, 4.999660, 3.000119, 0.374936
5, 4.499818, 3.499976, 0.437450
5, 3.999814, 4.000189, 0.499929
6, 3.000000, 4.000000, 0.375000
6, 3.499853, 4.500133, 0.312500
6, 3.999949, 4.000031, 0.374993
6, 3.500069, 4.500003, 0.437474
6, 4.000249, 5.000490, 0.374924
6, 3.500152, 5.500525, 0.437488
6, 3.000119, 5.000174, 0.374967
6, 3.499976, 4.499702, 0.437528
6, 4.000189, 3.999362, 0.500020
7, 4.000000, 1.000000, 0.375000
7, 4.500133, 1.500001, 0.312470
7, 4.000031, 2.000171, 0.375022
7, 4.500003, 1.499851, 0.437529
7, 5.000490, 1.999846, 0.375032
7, 5.500525, 2.500324, 0.312490
7, 5.000174, 3.000168, 0.374999
7, 4.499702, 3.500053, 0.437470
7, 3.999362, 3.999928, 0.499994
8, 1.000000, 6.000000, 0.375000
8, 1.500001, 6.500048, 0.312429
8, 2.000171, 5.999981, 0.374909
8, 1.499851, 5.499925, 0.312416
8, 1.999846, 5.999924, 0.249906
8, 2.500324, 5.499861, 0.312400
8, 3.000168, 5.000242, 0.374921
8, 3.500053, 4.500452, 0.437458
8, 3.999928, 4.000719, 0.499904
9, 6.000000, 3.000000, 0.375000
9, 6.500048, 2.499938, 0.437548
9, 5.999981, 1.999882, 0.375088
9, 5.499925, 2.500045, 0.437550
9, 5.999924, 3.000345, 0.375064
9, 5.499861, 3.500799, 0.437571
9, 5.000242, 4.000814, 0.500078
9, 4.500452, 3.500943, 0.437561
9, 4.000719, 4.001150, 0.500093
10, 3.000000, 6.000000, 0.375000
10, 2.499938, 5.500090, 0.312422
10, 1.999882, 5.999970, 0.374948
10, 2.500045, 6.499896, 0.312437
10, 3.000345, 5.999722, 0.374893
10, 3.500799, 5.499240, 0.437397
10, 4.000814, 4.999635, 0.499914
10, 3.500943, 4.499441, 0.437392
10, 4.001150, 3.999364, 0.499877
