Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 5.000000, 4.000000, 0.375000
1, 4.500169, 4.500381, 0.437487
1, 3.999997, 5.000165, 0.500028
1, 3.500167, 5.500182, 0.560204
1, 2.999715, 4.999880, 0.500029
1, 2.499584, 4.499761, 0.437535
1, 2.999608, 4.999915, 0.375038
1, 3.499531, 4.499957, 0.437556
1, 3.999831, 4.000272, 0.500066
2, 4.000000, 4.000000, 0.250000
2, 4.500381, 3.499985, 0.312460
2, 5.000165, 2.999756, 0.374974
2, 5.500182, 2.499782, 0.437476
2, 4.999880, 2.999243, 0.499888
2, 4.499761, 2.499017, 0.437375
2, 4.999915, 2.998804, 0.374896
2, 4.499957, 3.498830, 0.437420
2, 4.000272, 3.998928, 0.499878
3, 4.000000, 3.000000, 0.125000
3, 3.499985, 3.500275, 0.187509
3, 2.999756, 4.000646, 0.250046
3, 2.499782, 4.500675, 0.312487
3, 2.999243, 4.000210, 0.375005
3, 2.499017, 4.500421, 0.437503
3, 2.998804, 5.000331, 0.375014
3, 3.498830, 4.500436, 0.437506
3, 3.998928, 4.000390, 0.500042
4, 3.000000, 5.000000, 0.250000
4, 3.500275, 4.499989, 0.312471
4, 4.000646, 4.000006, 0.374975
4, 4.500675, 3.499906, 0.437482
4, 4.000210, 3.999876, 0.499954
4, 4.500421, 3.500024, 0.561473
4, 5.000331, 3.999660, 0.499974
4, 4.500436, 4.499818, 0.562011
4, 4.000390, 3.999814, 0.499989
5, 5.000000, 3.000000, 0.250000
5, 4.499989, 3.499853, 0.312467
5, 4.000006, 3.999949, 0.375015
5, 3.499906, 3.500069, 0.312492
5, 3.999876, 3.000249, 0.374962
5, 3.500024, 3.500152, 0.437411
5, 3.999660, 3.000119, 0.499936
5, 4.499818, 3.499976, 0.437450
5, 3.999814, 4.000189, 0.499929
6, 3.000000, 4.000000, 0.375000
6, 3.499853, 3.500132, 0.437500
6, 3.999949, 3.000031, 0.499993
6, 3.500069, 2.500003, 0.437474
6, 3.000249, 3.000490, 0.499924
6, 3.500152, 3.500525, 0.437488
6, 3.000119, 4.000174, 0.499967
6, 3.499976, 3.499702, 0.562066
6, 4.000189, 3.999362, 0.500020
7, 4.000000, 1.000000, 0.375000
7, 3.500132, 1.500001, 0.437470
7, 3.000031, 2.000171, 0.500022
7, 2.500003, 2.499851, 0.560231
7, 3.000490, 2.999846, 0.500032
7, 3.500525, 3.500324, 0.437490
7, 4.000174, 3.000168, 0.499999
7, 3.499702, 3.500053, 0.562025
7, 3.999362, 3.999928, 0.499994
8, 1.000000, 6.000000, 0.375000
8, 1.500001, 5.500048, 0.437429
8, 2.000171, 4.999981, 0.499909
8, 2.499851, 4.499925, 0.560080
8, 2.999846, 3.999924, 0.621795
8, 3.500324, 4.499861, 0.561411
8, 3.000168, 4.000242, 0.499921
8, 3.500053, 3.500452, 0.562011
8, 3.999928, 4.000719, 0.499904
9, 6.000000, 3.000000, 0.375000
9, 5.500048, 3.499938, 0.437548
9, 4.999981, 2.999882, 0.375088
9, 4.499925, 3.500045, 0.437550
9, 3.999924, 4.000345, 0.500063
9, 4.499861, 4.500799, 0.437571
9, 4.000242, 5.000814, 0.500078
9, 3.500452, 4.500943, 0.437561
9, 4.000719, 4.001150, 0.500093
10, 3.000000, 6.000000, 0.375000
10, 3.499938, 5.500090, 0.437422
10, 2.999882, 4.999970, 0.374948
10, 3.500045, 4.499896, 0.437437
10, 4.000345, 3.999722, 0.499893
10, 4.500799, 3.499240, 0.561388
10, 5.000814, 3.999635, 0.499914
10, 4.500943, 4.499441, 0.561931
10, 4.001150, 3.999364, 0.499877
