Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.720028, 3.719801, 0.998815
1, 3.539643, 3.539273, 0.998789
1, 3.214415, 3.212707, 0.998651
1, 2.750791, 2.750226, 0.998791
1, 2.602428, 2.602015, 0.998759
1, 3.006057, 3.005733, 0.998807
1, 3.481004, 3.480551, 0.998791
2, 3.719801, 3.720444, 0.998120
2, 3.539273, 3.540478, 0.998076
2, 3.212707, 3.213909, 0.998031
2, 2.750226, 2.751919, 0.998027
2, 2.602015, 2.602169, 0.998107
2, 3.005733, 3.005903, 0.998117
2, 3.480551, 3.480975, 0.998085
3, 3.720444, 3.721043, 0.998119
3, 3.540478, 3.540645, 0.998042
3, 3.213909, 3.212306, 0.997844
3, 2.751919, 2.749000, 0.997752
3, 2.602169, 2.601772, 0.997923
3, 3.005903, 3.005809, 0.997955
3, 3.480975, 3.480744, 0.997938
4, 3.721043, 3.719765, 0.998385
4, 3.540645, 3.539151, 0.998411
4, 3.212306, 3.211379, 0.998491
4, 2.749000, 2.749799, 0.998582
4, 2.601772, 2.602322, 0.998526
4, 3.005809, 3.006276, 0.998530
4, 3.480744, 3.480932, 0.998500
5, 3.719765, 3.719133, 0.998254
5, 3.539151, 3.540239, 0.998097
5, 3.211379, 3.211611, 0.998215
5, 2.749799, 2.748591, 0.998297
5, 2.602322, 2.602612, 0.998140
5, 3.006276, 3.005563, 0.998255
5, 3.480932, 3.480353, 0.998240
6, 3.719133, 3.718358, 0.998924
6, 3.540239, 3.537990, 0.998732
6, 3.211611, 3.213397, 0.998976
6, 2.748591, 2.749007, 0.999011
6, 2.602612, 2.602069, 0.998910
6, 3.005563, 3.005379, 0.998942
6, 3.480353, 3.479889, 0.998909
7, 3.718358, 3.720090, 0.997753
7, 3.537990, 3.541935, 0.997426
7, 3.213397, 3.213588, 0.997926
7, 2.749007, 2.751478, 0.997668
7, 2.602069, 2.602375, 0.997811
7, 3.005379, 3.005907, 0.997794
7, 3.479889, 3.480949, 0.997728
8, 3.720090, 3.720832, 0.998273
8, 3.541935, 3.540038, 0.998009
8, 3.213588, 3.212025, 0.998092
8, 2.751478, 2.749553, 0.998068
8, 2.602375, 2.602203, 0.998186
8, 3.005907, 3.005958, 0.998217
8, 3.480949, 3.480859, 0.998199
9, 3.720832, 3.721366, 0.998176
9, 3.540038, 3.540602, 0.998260
9, 3.212025, 3.213207, 0.998208
9, 2.749553, 2.750340, 0.998264
9, 2.602203, 2.602979, 0.998240
9, 3.005958, 3.005962, 0.998323
9, 3.480859, 3.481025, 0.998302
10, 3.721366, 3.721174, 0.998994
10, 3.540602, 3.540808, 0.999038
10, 3.213207, 3.213492, 0.999141
10, 2.750340, 2.749935, 0.999070
10, 2.602979, 2.601866, 0.999025
10, 3.005962, 3.005502, 0.999078
10, 3.481025, 3.480464, 0.999065
