Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.988968, 3.988338, 0.593984
1, 3.988968, 3.988338, 0.681435
1, 3.988968, 3.988338, 0.761842
1, 3.988968, 3.988338, 0.835008
1, 3.988968, 3.988338, 0.901654
1, 3.988968, 3.988338, 0.933889
1, 3.988968, 3.988338, 0.960670
1, 3.988968, 3.988338, 0.979929
1, 3.988968, 3.988338, 0.991002
1, 3.988968, 3.988338, 0.994932
2, 3.988338, 3.989084, 0.500100
2, 3.988338, 3.989084, 0.593163
2, 3.988338, 3.989084, 0.681371
2, 3.988338, 3.989084, 0.761329
2, 3.988338, 3.989084, 0.833047
2, 3.988338, 3.989084, 0.899114
2, 3.988338, 3.989084, 0.931497
2, 3.988338, 3.989084, 0.958038
2, 3.988338, 3.989084, 0.977034
2, 3.988338, 3.989084, 0.988376
2, 3.988338, 3.989084, 0.992442
3, 3.989084, 3.987716, 0.500140
3, 3.989084, 3.987716, 0.593741
3, 3.989084, 3.987716, 0.680344
3, 3.989084, 3.987716, 0.760348
3, 3.989084, 3.987716, 0.832140
3, 3.989084, 3.987716, 0.898365
3, 3.989084, 3.987716, 0.930705
3, 3.989084, 3.987716, 0.957010
3, 3.989084, 3.987716, 0.976082
3, 3.989084, 3.987716, 0.987856
3, 3.989084, 3.987716, 0.991879
4, 3.987716, 3.989003, 0.500060
4, 3.987716, 3.989003, 0.594390
4, 3.987716, 3.989003, 0.682275
4, 3.987716, 3.989003, 0.763507
4, 3.987716, 3.989003, 0.834722
4, 3.987716, 3.989003, 0.900185
4, 3.987716, 3.989003, 0.932601
4, 3.987716, 3.989003, 0.959599
4, 3.987716, 3.989003, 0.978689
4, 3.987716, 3.989003, 0.990315
4, 3.987716, 3.989003, 0.994386
5, 3.989003, 3.989409, 0.500108
5, 3.989003, 3.989409, 0.593943
5, 3.989003, 3.989409, 0.681040
5, 3.989003, 3.989409, 0.760919
5, 3.989003, 3.989409, 0.832461
5, 3.989003, 3.989409, 0.898112
5, 3.989003, 3.989409, 0.930873
5, 3.989003, 3.989409, 0.957804
5, 3.989003, 3.989409, 0.977034
5, 3.989003, 3.989409, 0.988755
5, 3.989003, 3.989409, 0.992440
6, 3.989409, 3.987555, 0.500032
6, 3.989409, 3.987555, 0.594404
6, 3.989409, 3.987555, 0.682604
6, 3.989409, 3.987555, 0.762552
6, 3.989409, 3.987555, 0.835064
6, 3.989409, 3.987555, 0.900970
6, 3.989409, 3.987555, 0.933313
6, 3.989409, 3.987555, 0.960427
6, 3.989409, 3.987555, 0.979911
6, 3.989409, 3.987555, 0.991878
6, 3.989409, 3.987555, 0.995589
7, 3.987555, 3.988586, 0.500184
7, 3.987555, 3.988586, 0.593657
7, 3.987555, 3.988586, 0.679965
7, 3.987555, 3.988586, 0.759847
7, 3.987555, 3.988586, 0.831849
7, 3.987555, 3.988586, 0.897049
7, 3.987555, 3.988586, 0.929365
7, 3.987555, 3.988586, 0.956691
7, 3.987555, 3.988586, 0.975916
7, 3.987555, 3.988586, 0.987304
7, 3.987555, 3.988586, 0.991259
8, 3.988586, 3.989771, 0.500010
8, 3.988586, 3.989771, 0.592858
8, 3.988586, 3.989771, 0.680746
8, 3.988586, 3.989771, 0.761277
8, 3.988586, 3.989771, 0.833614
8, 3.988586, 3.989771, 0.899320
8, 3.988586, 3.989771, 0.931441
8, 3.988586, 3.989771, 0.957899
8, 3.988586, 3.989771, 0.977324
8, 3.988586, 3.989771, 0.989076
8, 3.988586, 3.989771, 0.993190
9, 3.989771, 3.989234, 0.500005
9, 3.989771, 3.989234, 0.593065
9, 3.989771, 3.989234, 0.679944
9, 3.989771, 3.989234, 0.761367
9, 3.989771, 3.989234, 0.833495
9, 3.989771, 3.989234, 0.899217
9, 3.989771, 3.989234, 0.931512
9, 3.989771, 3.989234, 0.958551
9, 3.989771, 3.989234, 0.977662
9, 3.989771, 3.989234, 0.989237
9, 3.989771, 3.989234, 0.993145
10, 3.989234, 3.988935, 0.499980
10, 3.989234, 3.988935, 0.594189
10, 3.989234, 3.988935, 0.682340
10, 3.989234, 3.988935, 0.763787
10, 3.989234, 3.988935, 0.836313
10, 3.989234, 3.988935, 0.902484
10, 3.989234, 3.988935, 0.935177
10, 3.989234, 3.988935, 0.961659
10, 3.989234, 3.988935, 0.980700
10, 3.989234, 3.988935, 0.992231
10, 3.989234, 3.988935, 0.996266
