Seed, Mean_Hamming_A, Mean_Hamming_B, Mean_Bit_Alignment
1, 3.988968, 3.988338, 0.499835
1, 3.988968, 3.988338, 0.593999
1, 3.988968, 3.988338, 0.681393
1, 3.988968, 3.988338, 0.761534
1, 3.988968, 3.988338, 0.835571
1, 3.988968, 3.988338, 0.902448
1, 3.988968, 3.988338, 0.934068
1, 3.988968, 3.988338, 0.960504
1, 3.988968, 3.988338, 0.979599
1, 3.988968, 3.988338, 0.990431
1, 3.988968, 3.988338, 0.994382
2, 3.988338, 3.989084, 0.500100
2, 3.988338, 3.989084, 0.593191
2, 3.988338, 3.989084, 0.681205
2, 3.988338, 3.989084, 0.760794
2, 3.988338, 3.989084, 0.833573
2, 3.988338, 3.989084, 0.899896
2, 3.988338, 3.989084, 0.931706
2, 3.988338, 3.989084, 0.957783
2, 3.988338, 3.989084, 0.976468
2, 3.988338, 3.989084, 0.987695
2, 3.988338, 3.989084, 0.991745
3, 3.989084, 3.987716, 0.500140
3, 3.989084, 3.987716, 0.593716
3, 3.989084, 3.987716, 0.680221
3, 3.989084, 3.987716, 0.759936
3, 3.989084, 3.987716, 0.832650
3, 3.989084, 3.987716, 0.899087
3, 3.989084, 3.987716, 0.930834
3, 3.989084, 3.987716, 0.956640
3, 3.989084, 3.987716, 0.975459
3, 3.989084, 3.987716, 0.987134
3, 3.989084, 3.987716, 0.991212
4, 3.987716, 3.989003, 0.500060
4, 3.987716, 3.989003, 0.594438
4, 3.987716, 3.989003, 0.682174
4, 3.987716, 3.989003, 0.763149
4, 3.987716, 3.989003, 0.835312
4, 3.987716, 3.989003, 0.900821
4, 3.987716, 3.989003, 0.932775
4, 3.987716, 3.989003, 0.959429
4, 3.987716, 3.989003, 0.978184
4, 3.987716, 3.989003, 0.989680
4, 3.987716, 3.989003, 0.993780
5, 3.989003, 3.989409, 0.500108
5, 3.989003, 3.989409, 0.593892
5, 3.989003, 3.989409, 0.680942
5, 3.989003, 3.989409, 0.760469
5, 3.989003, 3.989409, 0.832933
5, 3.989003, 3.989409, 0.898589
5, 3.989003, 3.989409, 0.930726
5, 3.989003, 3.989409, 0.957347
5, 3.989003, 3.989409, 0.976227
5, 3.989003, 3.989409, 0.987775
5, 3.989003, 3.989409, 0.991408
6, 3.989409, 3.987555, 0.500032
6, 3.989409, 3.987555, 0.594358
6, 3.989409, 3.987555, 0.682488
6, 3.989409, 3.987555, 0.762158
6, 3.989409, 3.987555, 0.835621
6, 3.989409, 3.987555, 0.901728
6, 3.989409, 3.987555, 0.933444
6, 3.989409, 3.987555, 0.960209
6, 3.989409, 3.987555, 0.979540
6, 3.989409, 3.987555, 0.991472
6, 3.989409, 3.987555, 0.995149
7, 3.987555, 3.988586, 0.500184
7, 3.987555, 3.988586, 0.593683
7, 3.987555, 3.988586, 0.679842
7, 3.987555, 3.988586, 0.759441
7, 3.987555, 3.988586, 0.832343
7, 3.987555, 3.988586, 0.897850
7, 3.987555, 3.988586, 0.929505
7, 3.987555, 3.988586, 0.956470
7, 3.987555, 3.988586, 0.975543
7, 3.987555, 3.988586, 0.986812
7, 3.987555, 3.988586, 0.990777
8, 3.988586, 3.989771, 0.500010
8, 3.988586, 3.989771, 0.592822
8, 3.988586, 3.989771, 0.680561
8, 3.988586, 3.989771, 0.760749
8, 3.988586, 3.989771, 0.834070
8, 3.988586, 3.989771, 0.900123
8, 3.988586, 3.989771, 0.931545
8, 3.988586, 3.989771, 0.957627
8, 3.988586, 3.989771, 0.976784
8, 3.988586, 3.989771, 0.988590
8, 3.988586, 3.989771, 0.992756
9, 3.989771, 3.989234, 0.500005
9, 3.989771, 3.989234, 0.593035
9, 3.989771, 3.989234, 0.679778
9, 3.989771, 3.989234, 0.760839
9, 3.989771, 3.989234, 0.833935
9, 3.989771, 3.989234, 0.899917
9, 3.989771, 3.989234, 0.931681
9, 3.989771, 3.989234, 0.958409
9, 3.989771, 3.989234, 0.977285
9, 3.989771, 3.989234, 0.988822
9, 3.989771, 3.989234, 0.992783
10, 3.989234, 3.988935, 0.499980
10, 3.989234, 3.988935, 0.594151
10, 3.989234, 3.988935, 0.682169
10, 3.989234, 3.988935, 0.763322
10, 3.989234, 3.988935, 0.836892
10, 3.989234, 3.988935, 0.903410
10, 3.989234, 3.988935, 0.935629
10, 3.989234, 3.988935, 0.961691
10, 3.989234, 3.988935, 0.980537
10, 3.989234, 3.988935, 0.991914
10, 3.989234, 3.988935, 0.995987
