#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1350         1512         4                           72                65           79.144            126870564               0            N/A          2                 0                 0                 0                 7.000             84.000            0                 0                 0                 0                           0                           0                           1186163066240               909728339424                456               0.958        0.545        0.068        0.469        0.064        0.000        0.000        0.000        80390788                    49127704                    0                           0                           
GPU 0     1350         1512         4                           72                66           307.739           126884705               0            N/A          2                 0                 0                 0                 6.000             68.000            0                 0                 0                 0                           0                           0                           1186250957152               909728339424                456               0.958        0.545        0.068        0.469        0.064        0.000        0.000        0.000        80390788                    49127704                    0                           0                           
GPU 0     1350         1512         4                           72                66           303.221           126915370               0            N/A          69                7                 0                 0                 6.000             68.000            0                 0                 0                 0                           0                           0                           1186353646976               909728339424                456               0.957        0.563        0.070        0.490        0.068        0.000        0.000        0.002        16316989                    20632678                    0                           0                           
GPU 0     1350         1512         4                           72                67           301.671           126946125               0            N/A          69                7                 0                 0                 6.000             95.000            0                 0                 0                 0                           0                           0                           1186456464768               909728339424                456               0.957        0.000        0.000        0.000        0.068        0.000        0.000        0.002        10188633                    16936450                    0                           0                           
GPU 0     1350         1512         4                           72                67           298.392           126976454               0            N/A          69                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1186561398592               909728339424                456               0.956        0.560        0.070        0.487        0.067        0.000        0.000        0.002        14057432                    18443695                    0                           0                           
GPU 0     1350         1512         4                           72                67           299.172           127007096               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1186664706304               909728339424                456               0.957        0.562        0.070        0.489        0.068        0.000        0.000        0.000        9692706                     16691865                    0                           0                           
GPU 0     1350         1512         4                           72                67           299.094           127067192               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1186768389696               909728339424                456               0.956        0.563        0.070        0.489        0.067        0.000        0.000        0.002        8839063                     15826124                    0                           0                           
GPU 0     1350         1512         4                           72                67           298.601           127097198               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1186872897664               909728339424                456               0.957        0.000        0.000        0.000        0.068        0.000        0.000        0.002        10176535                    16752464                    0                           0                           
GPU 0     1335         1512         4                           72                67           298.587           127127264               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1186975556288               909728339424                456               0.957        0.562        0.070        0.489        0.068        0.000        0.000        0.002        9132336                     16194890                    0                           0                           
GPU 0     1350         1512         4                           72                67           299.356           127157009               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187079173440               909728339424                456               0.957        0.563        0.070        0.489        0.067        0.000        0.000        0.002        7531080                     15151770                    0                           0                           
GPU 0     1350         1512         4                           72                67           288.971           127186496               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187182208896               909728339424                456               0.956        0.562        0.070        0.489        0.067        0.000        0.000        0.000        8072013                     15467383                    0                           0                           
GPU 0     1350         1512         4                           72                67           297.407           127216561               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187285476064               909728339424                456               0.952        0.000        0.000        0.000        0.067        0.000        0.000        0.002        9305029                     16390484                    0                           0                           
GPU 0     1350         1512         4                           72                67           297.999           127246475               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187388494496               909728339424                456               0.951        0.559        0.070        0.486        0.067        0.000        0.000        0.002        4666353                     13391242                    0                           0                           
GPU 0     1350         1512         4                           71                67           297.718           127276538               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187490829920               909728339424                456               0.952        0.559        0.070        0.486        0.067        0.000        0.000        0.002        8990249                     16096254                    0                           0                           
GPU 0     1350         1512         4                           71                67           298.188           127306439               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187593700320               909728339424                456               0.952        0.559        0.070        0.486        0.067        0.000        0.000        0.002        8990249                     16096254                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1350         1512         4                           71                67           297.803           127336467               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187697229984               909728339424                456               0.952        0.560        0.070        0.487        0.067        0.000        0.000        0.002        9763013                     16776811                    0                           0                           
GPU 0     1350         1512         4                           71                67           297.995           127366472               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187800985920               909728339424                456               0.951        0.560        0.070        0.487        0.067        0.000        0.000        0.000        5652867                     14200424                    0                           0                           
GPU 0     1350         1512         4                           71                67           298.093           127396438               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1187902836384               909728339424                456               0.952        0.000        0.000        0.000        0.067        0.000        0.000        0.002        6907831                     15057993                    0                           0                           
GPU 0     1350         1512         4                           71                67           298.486           127426373               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1188006017248               909728339424                456               0.951        0.558        0.070        0.485        0.067        0.000        0.000        0.002        7684232                     15504669                    0                           0                           
GPU 0     1350         1512         4                           71                67           298.094           127456309               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1188108720928               909728339424                456               0.951        0.558        0.070        0.486        0.067        0.000        0.000        0.000        8054343                     15710547                    0                           0                           
GPU 0     1350         1512         4                           73                67           297.902           127486246               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1188211561472               909728339424                456               0.951        0.000        0.000        0.000        0.067        0.000        0.000        0.002        8160571                     15795826                    0                           0                           
