#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           69                59           77.387            995164017               0            N/A          0                 0                 0                 0                 6.000             72.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.964        0.562        0.070        0.502        0.072        0.000        0.000        0.000        80924855                    43930635                    0                           0                           
GPU 0     1410         1512         0                           69                62           276.880           995177986               0            N/A          31                3                 0                 0                 3.000             31.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        13219217                    19570085                    0                           0                           
GPU 0     1410         1512         0                           69                63           295.486           995207497               0            N/A          31                3                 0                 0                 3.000             31.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        13219217                    19570085                    0                           0                           
GPU 0     1410         1512         0                           69                63           296.551           995237255               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.957        0.561        0.070        0.488        0.071        0.000        0.000        0.002        4559747                     13990530                    0                           0                           
GPU 0     1410         1512         0                           69                64           298.321           995267187               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.957        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5248367                     14382087                    0                           0                           
GPU 0     1410         1512         0                           70                64           299.175           995328644               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.956        0.562        0.070        0.488        0.071        0.000        0.000        0.000        5305410                     14454920                    0                           0                           
GPU 0     1410         1512         0                           69                64           300.156           995357597               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.954        0.000        0.000        0.000        0.070        0.000        0.000        0.002        3901047                     13637103                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.144           995387227               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.955        0.561        0.070        0.488        0.071        0.000        0.000        0.002        3476866                     13376958                    0                           0                           
GPU 0     1410         1512         0                           70                64           294.823           995416858               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.954        0.561        0.070        0.488        0.071        0.000        0.000        0.000        4715727                     14017342                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.920           995446531               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        8300118                     16417161                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.335           995476196               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        7887275                     16247284                    0                           0                           
GPU 0     1410         1512         0                           69                64           295.400           995505930               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.557        0.070        0.485        0.070        0.000        0.000        0.000        8279017                     16480846                    0                           0                           
GPU 0     1410         1512         0                           69                64           293.745           995535540               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.000        0.000        0.000        0.070        0.000        0.000        0.002        9152980                     16946202                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.427           995565136               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.557        0.069        0.484        0.070        0.000        0.000        0.002        6419679                     14918367                    0                           0                           
GPU 0     1410         1512         0                           69                64           295.113           995594784               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.951        0.558        0.070        0.486        0.070        0.000        0.000        0.002        10885774                    17850570                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           69                64           294.225           995624425               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.951        0.558        0.070        0.486        0.070        0.000        0.000        0.002        10885774                    17850570                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.329           995654061               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.558        0.070        0.486        0.070        0.000        0.000        0.002        10398746                    17629593                    0                           0                           
GPU 0     1410         1512         0                           69                64           293.843           995683716               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.951        0.558        0.070        0.485        0.070        0.000        0.000        0.000        7094585                     15535246                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.332           995713328               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.000        0.000        0.000        0.070        0.000        0.000        0.002        8566078                     16557255                    0                           0                           
GPU 0     1410         1512         0                           69                64           294.130           995742986               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.950        0.557        0.069        0.484        0.070        0.000        0.000        0.002        9153746                     16835421                    0                           0                           
GPU 0     1410         1512         0                           69                65           295.211           995772619               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.951        0.557        0.069        0.484        0.070        0.000        0.000        0.002        5519097                     14497788                    0                           0                           
GPU 0     1410         1512         0                           69                65           294.918           995802275               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1924059073184               909728339424                456               0.951        0.558        0.070        0.485        0.070        0.000        0.000        0.000        10852746                    17864552                    0                           0                           
