#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           70                60           77.484            1092349000              0            N/A          0                 0                 0                 0                 7.000             83.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.958        0.553        0.069        0.478        0.070        0.000        0.000        0.000        83550913                    53379750                    0                           0                           
GPU 0     1410         1512         0                           70                61           153.744           1092358431              0            N/A          2                 0                 0                 0                 7.000             83.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        12015966                    18819153                    0                           0                           
GPU 0     1410         1512         0                           70                61           185.823           1092395420              0            N/A          2                 0                 0                 0                 8.000             88.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        12015966                    18819153                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.756           1092413858              0            N/A          88                9                 0                 0                 8.000             88.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.560        0.070        0.487        0.071        0.000        0.000        0.002        4851233                     14184780                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.854           1092432308              0            N/A          88                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5625977                     14605962                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.853           1092450787              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.000        5222784                     14404827                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.814           1092469280              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5287113                     14442965                    0                           0                           
GPU 0     1410         1512         0                           70                62           184.008           1092487738              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.560        0.070        0.487        0.071        0.000        0.000        0.002        5254955                     14427742                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.814           1092506239              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.560        0.070        0.487        0.071        0.000        0.000        0.000        5410005                     14495185                    0                           0                           
GPU 0     1410         1512         0                           70                62           184.007           1092524711              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        9260128                     16701083                    0                           0                           
GPU 0     1410         1512         0                           70                62           184.007           1092543241              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.955        0.560        0.070        0.487        0.071        0.000        0.000        0.002        8212223                     16178117                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.911           1092561623              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.952        0.557        0.069        0.484        0.071        0.000        0.000        0.000        7970433                     16035821                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.330           1092580041              0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.950        0.000        0.000        0.000        0.071        0.000        0.000        0.002        7892013                     15949570                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.274           1092598430              0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.950        0.556        0.069        0.484        0.070        0.000        0.000        0.002        6816717                     15337989                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.330           1092616900              0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.950        0.558        0.070        0.485        0.071        0.000        0.000        0.002        10821665                    17888583                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           70                62           183.330           1092635290              0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.950        0.557        0.069        0.484        0.071        0.000        0.000        0.002        5748261                     14712057                    0                           0                           
GPU 0     1410         1512         0                           70                62           183.330           1092653724              0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2062135500224               909728339424                456               0.951        0.557        0.069        0.484        0.070        0.000        0.000        0.000        3852503                     13605786                    0                           0                           
