#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           64                53           72.744            1111803393              0            N/A          0                 0                 0                 0                 4.000             49.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.960        0.579        0.072        0.502        0.074        0.000        0.000        0.000        84358523                    51552431                    0                           0                           
GPU 0     1410         1512         0                           65                55           71.958            1111822843              0            N/A          13                1                 0                 0                 1.000             12.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        13019153                    19457734                    0                           0                           
GPU 0     1410         1512         0                           65                57           255.402           1111848545              0            N/A          13                1                 0                 0                 1.000             12.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        13019153                    19457734                    0                           0                           
GPU 0     1410         1512         0                           65                57           253.659           1111874058              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.956        0.561        0.070        0.488        0.070        0.000        0.000        0.002        4354075                     13867996                    0                           0                           
GPU 0     1410         1512         0                           65                57           253.563           1111899486              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.956        0.561        0.070        0.488        0.070        0.000        0.000        0.002        5214721                     14348063                    0                           0                           
GPU 0     1410         1512         0                           65                58           253.835           1111924989              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.956        0.560        0.070        0.487        0.070        0.000        0.000        0.000        5607478                     14570666                    0                           0                           
GPU 0     1410         1512         0                           65                58           253.835           1111950486              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.957        0.000        0.000        0.000        0.070        0.000        0.000        0.002        5247615                     14380981                    0                           0                           
GPU 0     1410         1512         0                           65                58           254.042           1111976054              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.956        0.560        0.070        0.487        0.070        0.000        0.000        0.002        7112482                     15596510                    0                           0                           
GPU 0     1410         1512         0                           65                58           254.138           1112001506              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.957        0.561        0.070        0.488        0.070        0.000        0.000        0.000        7566758                     15843541                    0                           0                           
GPU 0     1410         1512         0                           65                58           254.234           1112027770              0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           2074063113632               909728339424                456               0.955        0.000        0.000        0.000        0.070        0.000        0.000        0.002        8243222                     16022699                    0                           0                           
