#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           56                42           73.244            26274040585             0            N/A          1                 0                 0                 0                 6.000             66.000            0                 0                 0                 0                           0                           0                           109601654277440             106719350803840             456               0.954        0.576        0.072        0.500        0.072        0.000        0.000        0.000        82628030                    50494907                    0                           0                           
GPU 0     1395         1512         4                           56                45           67.626            26274051451             0            N/A          22                2                 0                 0                 2.000             21.000            0                 0                 0                 0                           0                           0                           109601720760992             106719350803840             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        11350833                    18397744                    0                           0                           
GPU 0     1395         1512         4                           56                47           304.090           26274111951             0            N/A          22                2                 0                 0                 2.000             21.000            0                 0                 0                 0                           0                           0                           109601827521760             106719350803840             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        11350833                    18397744                    0                           0                           
GPU 0     1395         1512         4                           56                48           305.548           26274143049             0            N/A          22                2                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109601930235936             106719350803840             456               0.956        0.560        0.070        0.487        0.069        0.000        0.000        0.002        7782981                     15416617                    0                           0                           
GPU 0     1395         1512         4                           56                48           302.772           26274173322             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602033154720             106719350803840             456               0.955        0.561        0.070        0.488        0.069        0.000        0.000        0.002        7704813                     15922378                    0                           0                           
GPU 0     1395         1512         4                           57                48           301.228           26274203744             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602136043616             106719350803840             456               0.957        0.561        0.070        0.488        0.069        0.000        0.000        0.000        8485771                     16419701                    0                           0                           
GPU 0     1395         1512         4                           57                48           302.669           26274234122             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602240692992             106719350803840             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        8451162                     16338892                    0                           0                           
GPU 0     1395         1512         4                           57                48           303.445           26274264615             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602342621952             106719350803840             456               0.957        0.562        0.070        0.490        0.069        0.000        0.000        0.002        11445803                    17537151                    0                           0                           
GPU 0     1395         1512         4                           57                49           303.732           26274295124             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602445640448             106719350803840             456               0.957        0.561        0.070        0.488        0.069        0.000        0.000        0.002        9052998                     16837731                    0                           0                           
GPU 0     1395         1512         4                           57                49           303.247           26274324878             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602548428544             106719350803840             456               0.958        0.563        0.070        0.489        0.068        0.000        0.000        0.000        9050172                     16613286                    0                           0                           
GPU 0     1350         1512         4                           57                48           276.347           26274352541             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           109602651727040             106719350803840             456               0.958        0.000        0.000        0.000        0.067        0.000        0.000        0.002        7041577                     15191493                    0                           0                           
