#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           68                58           76.552            28824267540             0            N/A          1                 0                 0                 0                 6.000             69.000            0                 0                 0                 0                           0                           0                           159478463629632             156080327784992             456               0.952        0.539        0.067        0.463        0.063        0.000        0.000        0.000        80183276                    50400916                    0                           0                           
GPU 0     1410         1512         0                           68                58           300.773           28824283163             0            N/A          1                 0                 0                 0                 6.000             69.000            0                 0                 0                 0                           0                           0                           159478527835648             156080327784992             456               0.952        0.539        0.067        0.463        0.063        0.000        0.000        0.000        80183276                    50400916                    0                           0                           
GPU 0     1380         1512         4                           68                62           302.146           28824313736             0            N/A          79                8                 0                 0                 7.000             78.000            0                 0                 0                 0                           0                           0                           159478630867136             156080327784992             456               0.955        0.559        0.070        0.486        0.069        0.000        0.000        0.002        10254664                    17278480                    0                           0                           
GPU 0     1380         1512         4                           69                63           298.192           28824344040             0            N/A          79                9                 0                 0                 7.000             95.000            0                 0                 0                 0                           0                           0                           159478733684384             156080327784992             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        7873560                     15948239                    0                           0                           
GPU 0     1380         1512         4                           69                63           298.769           28824374022             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159478842687072             156080327784992             456               0.954        0.560        0.070        0.487        0.069        0.000        0.000        0.002        13886139                    19116223                    0                           0                           
GPU 0     1380         1512         4                           69                63           299.182           28824404605             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159478945684832             156080327784992             456               0.954        0.560        0.070        0.487        0.069        0.000        0.000        0.000        9203295                     16743133                    0                           0                           
GPU 0     1380         1512         4                           69                63           299.166           28824434658             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479047960896             156080327784992             456               0.954        0.560        0.070        0.487        0.069        0.000        0.000        0.002        8121495                     15805937                    0                           0                           
GPU 0     1380         1512         4                           69                63           299.157           28824465009             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479151557376             156080327784992             456               0.955        0.000        0.000        0.000        0.069        0.000        0.000        0.002        5598304                     14239510                    0                           0                           
GPU 0     1380         1512         4                           69                63           299.847           28824524959             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479255238240             156080327784992             456               0.956        0.561        0.070        0.488        0.069        0.000        0.000        0.002        5745410                     14312786                    0                           0                           
GPU 0     1365         1512         4                           69                63           290.455           28824555017             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479357944544             156080327784992             456               0.957        0.561        0.070        0.488        0.068        0.000        0.000        0.000        5696512                     14223873                    0                           0                           
GPU 0     1380         1512         4                           69                63           299.939           28824584326             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479460611680             156080327784992             456               0.957        0.000        0.000        0.000        0.069        0.000        0.000        0.002        7747253                     15574632                    0                           0                           
GPU 0     1380         1512         4                           69                63           298.196           28824614361             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479563241408             156080327784992             456               0.950        0.558        0.070        0.485        0.068        0.000        0.000        0.002        7301072                     15310845                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.490           28824644357             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479666570560             156080327784992             456               0.950        0.558        0.070        0.485        0.068        0.000        0.000        0.002        4625949                     13659435                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.999           28824674309             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479767855584             156080327784992             456               0.950        0.557        0.070        0.485        0.068        0.000        0.000        0.000        10286592                    17295706                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.682           28824704363             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479871167872             156080327784992             456               0.950        0.557        0.069        0.484        0.068        0.000        0.000        0.002        3979293                     13241289                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1380         1512         4                           69                64           298.865           28824734377             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159479976189952             156080327784992             456               0.950        0.557        0.069        0.484        0.068        0.000        0.000        0.002        3979293                     13241289                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.479           28824764415             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480079105408             156080327784992             456               0.949        0.000        0.000        0.000        0.068        0.000        0.000        0.002        3781698                     13220470                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.879           28824794394             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480182168320             156080327784992             456               0.949        0.557        0.069        0.484        0.068        0.000        0.000        0.002        5467933                     14326203                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.674           28824824466             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480284846784             156080327784992             456               0.949        0.557        0.070        0.484        0.068        0.000        0.000        0.000        7080930                     15442393                    0                           0                           
GPU 0     1380         1512         4                           69                64           298.585           28824854429             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480389675232             156080327784992             456               0.950        0.000        0.000        0.000        0.068        0.000        0.000        0.002        7092030                     15462166                    0                           0                           
GPU 0     1380         1512         4                           69                64           299.270           28824884547             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480492358336             156080327784992             456               0.951        0.558        0.070        0.486        0.068        0.000        0.000        0.002        7961493                     15664649                    0                           0                           
GPU 0     1380         1512         4                           69                64           299.270           28824914578             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480596319648             156080327784992             456               0.950        0.558        0.070        0.485        0.068        0.000        0.000        0.002        11204618                    17788589                    0                           0                           
GPU 0     1380         1512         4                           69                64           299.462           28824944771             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159480698378528             156080327784992             456               0.951        0.558        0.070        0.486        0.069        0.000        0.000        0.000        9795608                     16910819                    0                           0                           
