#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           67                58           76.781            29013431654             0            N/A          2                 0                 0                 0                 7.000             81.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.959        0.558        0.070        0.499        0.073        0.000        0.000        0.000        81478248                    46558998                    0                           0                           
GPU 0     1410         1512         0                           67                58           197.148           29013450008             0            N/A          2                 0                 0                 0                 4.000             42.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        10768616                    18196872                    0                           0                           
GPU 0     1410         1512         0                           67                59           197.694           29013469765             0            N/A          43                4                 0                 0                 4.000             42.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        10768616                    18196872                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.721           29013489800             0            N/A          43                4                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        4099537                     13769303                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.817           29013509574             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.957        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5370043                     14484659                    0                           0                           
GPU 0     1410         1512         0                           67                60           198.010           29013529611             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.000        5272367                     14461921                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.913           29013549346             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5263205                     14476187                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.527           29013569410             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.954        0.560        0.070        0.487        0.071        0.000        0.000        0.002        5613731                     14609856                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.782           29013589171             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.954        0.560        0.070        0.487        0.071        0.000        0.000        0.000        5319467                     14448391                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.817           29013609196             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        6396682                     14997039                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.816           29013628987             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5860121                     14725125                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.493           29013649056             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.953        0.558        0.070        0.485        0.071        0.000        0.000        0.000        6246669                     14876868                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.493           29013668751             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.000        0.000        0.000        0.071        0.000        0.000        0.002        7223660                     15665686                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.286           29013688754             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.950        0.557        0.070        0.485        0.071        0.000        0.000        0.002        8769860                     16677677                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.190           29013708453             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.950        0.558        0.070        0.485        0.071        0.000        0.000        0.000        7221026                     15659496                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           68                60           197.199           29013729975             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.559        0.070        0.486        0.071        0.000        0.000        0.002        9157326                     16877962                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.887           29013748267             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.000        0.000        0.000        0.071        0.000        0.000        0.002        10983033                    17983377                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.501           29013768340             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.558        0.070        0.485        0.071        0.000        0.000        0.002        4639005                     14137025                    0                           0                           
GPU 0     1410         1512         0                           68                60           197.432           29013788075             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.952        0.558        0.070        0.486        0.071        0.000        0.000        0.002        3834577                     13616523                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.465           29013808080             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.558        0.070        0.485        0.071        0.000        0.000        0.000        5540243                     14764413                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.463           29013827762             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5294317                     14605689                    0                           0                           
GPU 0     1410         1512         0                           67                60           197.658           29013848081             0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159651602287008             156080327784992             456               0.951        0.558        0.070        0.485        0.071        0.000        0.000        0.002        7116697                     15847011                    0                           0                           
