#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           71                62           79.548            215254436               0            N/A          2                 0                 0                 0                 7.000             84.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.956        0.529        0.066        0.461        0.065        0.000        0.000        0.000        70048931                    45325779                    0                           0                           
GPU 0     1410         1512         0                           71                64           79.548            215269772               0            N/A          2                 0                 0                 0                 7.000             84.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        10556664                    18048507                    0                           0                           
GPU 0     1410         1512         0                           71                65           236.480           215293980               0            N/A          54                5                 0                 0                 5.000             54.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        10556664                    18048507                    0                           0                           
GPU 0     1410         1512         0                           71                66           241.310           215318180               0            N/A          54                5                 0                 0                 5.000             54.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        3859873                     13643931                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.255           215342148               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.955        0.561        0.070        0.487        0.071        0.000        0.000        0.002        6844900                     15233826                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.172           215366066               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.952        0.558        0.070        0.485        0.070        0.000        0.000        0.000        6681442                     15119450                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.151           215390026               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.954        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5678269                     14629730                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.269           215414002               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.955        0.561        0.070        0.488        0.071        0.000        0.000        0.002        6105301                     14839436                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.752           215437971               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.953        0.560        0.070        0.487        0.071        0.000        0.000        0.000        6132135                     14837668                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.355           215461948               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        6880210                     15237821                    0                           0                           
GPU 0     1410         1512         0                           72                66           238.488           215485973               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.955        0.560        0.070        0.487        0.071        0.000        0.000        0.002        7004465                     15291162                    0                           0                           
GPU 0     1410         1512         0                           73                66           238.631           215509953               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.953        0.560        0.070        0.487        0.071        0.000        0.000        0.002        12249012                    18627144                    0                           0                           
GPU 0     1410         1512         0                           71                66           238.848           215533949               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.951        0.558        0.070        0.485        0.070        0.000        0.000        0.000        10358283                    17518014                    0                           0                           
GPU 0     1410         1512         0                           72                66           237.967           215557882               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.950        0.557        0.070        0.485        0.070        0.000        0.000        0.002        5189046                     14283614                    0                           0                           
GPU 0     1410         1512         0                           72                66           238.151           215581804               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1430859488800               909728339424                456               0.949        0.000        0.000        0.000        0.070        0.000        0.000        0.002        11273093                    18075209                    0                           0                           
