#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           71                62           81.130            326292778               0            N/A          0                 0                 0                 0                 8.000             87.000            0                 0                 0                 0                           0                           0                           1587362668768               909728339424                456               0.958        0.578        0.072        0.502        0.071        0.000        0.000        0.000        74167720                    47197640                    0                           0                           
GPU 0     1380         1512         0                           71                62           213.695           326322767               0            N/A          2                 0                 0                 0                 8.000             87.000            0                 0                 0                 0                           0                           0                           1587436377568               909728339424                456               0.958        0.578        0.072        0.502        0.071        0.000        0.000        0.000        74167720                    47197640                    0                           0                           
GPU 0     1365         1512         4                           71                66           295.838           326358505               0            N/A          2                 0                 0                 0                 9.000             94.000            0                 0                 0                 0                           0                           0                           1587588726016               909728339424                456               0.956        0.561        0.070        0.488        0.068        0.000        0.000        0.002        9405331                     16633748                    0                           0                           
GPU 0     1365         1512         4                           71                66           295.838           326383005               0            N/A          2                 0                 0                 0                 9.000             94.000            0                 0                 0                 0                           0                           0                           1587689861888               909728339424                456               0.956        0.000        0.000        0.000        0.068        0.000        0.000        0.002        9599056                     16604212                    0                           0                           
GPU 0     1365         1512         4                           71                67           297.206           326412857               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1587790665600               909728339424                456               0.957        0.561        0.070        0.488        0.068        0.000        0.000        0.002        9050746                     16401936                    0                           0                           
GPU 0     1365         1512         4                           72                67           297.430           326442815               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1587891084512               909728339424                456               0.957        0.562        0.070        0.489        0.068        0.000        0.000        0.002        7213634                     15106217                    0                           0                           
GPU 0     1365         1512         4                           71                67           298.309           326472831               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1587991891328               909728339424                456               0.957        0.562        0.070        0.488        0.068        0.000        0.000        0.000        11820511                    18060629                    0                           0                           
GPU 0     1365         1512         4                           71                67           298.105           326502901               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588094963328               909728339424                456               0.957        0.562        0.070        0.488        0.068        0.000        0.000        0.000        11820511                    18060629                    0                           0                           
GPU 0     1365         1512         4                           72                67           298.587           326533360               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588195963808               909728339424                456               0.958        0.561        0.070        0.487        0.068        0.000        0.000        0.002        6685911                     14852418                    0                           0                           
GPU 0     1365         1512         4                           72                67           299.281           326563057               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588296694656               909728339424                456               0.957        0.000        0.000        0.000        0.068        0.000        0.000        0.002        4764914                     13730644                    0                           0                           
GPU 0     1365         1512         4                           72                67           299.281           326593169               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588397392512               909728339424                456               0.957        0.561        0.070        0.488        0.068        0.000        0.000        0.002        9228281                     16550270                    0                           0                           
GPU 0     1365         1512         4                           72                67           298.301           326623261               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588498768160               909728339424                456               0.955        0.559        0.070        0.486        0.068        0.000        0.000        0.000        9106772                     16497017                    0                           0                           
GPU 0     1365         1512         4                           72                67           298.301           326653317               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588599892288               909728339424                456               0.950        0.000        0.000        0.000        0.068        0.000        0.000        0.002        8098523                     15883590                    0                           0                           
GPU 0     1365         1512         4                           73                67           298.298           326683306               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588700711744               909728339424                456               0.952        0.558        0.070        0.486        0.068        0.000        0.000        0.002        7867640                     15756948                    0                           0                           
GPU 0     1365         1512         4                           72                67           298.111           326713149               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1588801467424               909728339424                456               0.951        0.558        0.070        0.486        0.068        0.000        0.000        0.000        7785301                     15706216                    0                           0                           
