#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           53                40           65.572            28452718914             0            N/A          0                 0                 0                 0                 6.000             69.000            0                 0                 0                 0                           0                           0                           158980988600192             156080327784992             456               0.963        0.592        0.074        0.521        0.075        0.000        0.000        0.000        72595281                    47705470                    0                           0                           
GPU 0     1395         1512         0                           54                41           139.098           28452747782             0            N/A          0                 0                 0                 0                 4.000             48.000            0                 0                 0                 0                           0                           0                           158981035597728             156080327784992             456               0.963        0.592        0.074        0.521        0.075        0.000        0.000        0.000        72595281                    47705470                    0                           0                           
GPU 0     1395         1512         4                           53                44           294.961           28452777478             0            N/A          48                5                 0                 0                 4.000             48.000            0                 0                 0                 0                           0                           0                           158981138574368             156080327784992             456               0.956        0.561        0.070        0.488        0.069        0.000        0.000        0.002        8526441                     16330552                    0                           0                           
GPU 0     1395         1512         4                           55                45           295.358           28452807185             0            N/A          48                5                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981241364224             156080327784992             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        3674113                     13300875                    0                           0                           
GPU 0     1395         1512         4                           55                46           295.882           28452836941             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981344347424             156080327784992             456               0.956        0.560        0.070        0.487        0.069        0.000        0.000        0.002        5452418                     14493095                    0                           0                           
GPU 0     1395         1512         4                           54                46           296.076           28452868509             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981489641312             156080327784992             456               0.956        0.562        0.070        0.489        0.069        0.000        0.000        0.000        12121963                    17958413                    0                           0                           
GPU 0     1395         1512         4                           54                46           296.076           28452897498             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981590411264             156080327784992             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        9929255                     17204882                    0                           0                           
GPU 0     1395         1512         4                           54                47           300.365           28452927823             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981690802464             156080327784992             456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        9929255                     17204882                    0                           0                           
GPU 0     1395         1512         4                           55                47           300.556           28452958167             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981791547744             156080327784992             456               0.956        0.559        0.070        0.486        0.069        0.000        0.000        0.002        6307760                     14837981                    0                           0                           
GPU 0     1395         1512         4                           54                47           301.604           28452988338             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           158981892265600             156080327784992             456               0.958        0.562        0.070        0.488        0.069        0.000        0.000        0.002        5546992                     14486914                    0                           0                           
