#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           67                57           75.608            28590479478             0            N/A          0                 0                 0                 0                 7.000             76.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.958        0.551        0.069        0.475        0.070        0.000        0.000        0.000        83720930                    51162790                    0                           0                           
GPU 0     1410         1512         0                           68                59           261.949           28590501551             0            N/A          0                 0                 0                 0                 3.000             39.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        11033273                    18282649                    0                           0                           
GPU 0     1410         1512         0                           68                60           263.248           28590527927             0            N/A          39                4                 0                 0                 3.000             39.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        11033273                    18282649                    0                           0                           
GPU 0     1410         1512         0                           68                61           263.547           28590554672             0            N/A          39                4                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.957        0.560        0.070        0.487        0.071        0.000        0.000        0.002        3731582                     13570916                    0                           0                           
GPU 0     1410         1512         0                           68                61           263.728           28590581066             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.956        0.562        0.070        0.489        0.071        0.000        0.000        0.002        5810903                     14707978                    0                           0                           
GPU 0     1410         1512         0                           68                61           264.399           28590614394             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.955        0.562        0.070        0.488        0.071        0.000        0.000        0.000        15314098                    19405875                    0                           0                           
GPU 0     1410         1512         0                           68                61           263.728           28590634291             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.955        0.000        0.000        0.000        0.071        0.000        0.000        0.002        7408032                     15967761                    0                           0                           
GPU 0     1410         1512         0                           68                61           264.219           28590661140             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        12138370                    18544858                    0                           0                           
GPU 0     1410         1512         0                           68                61           264.508           28590687613             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.957        0.562        0.070        0.489        0.071        0.000        0.000        0.002        11907420                    18500640                    0                           0                           
GPU 0     1410         1512         0                           68                61           264.508           28590714280             0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159205253979680             156080327784992             456               0.957        0.562        0.070        0.489        0.071        0.000        0.000        0.002        11907420                    18500640                    0                           0                           
