#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           67                57           76.163            28777837200             0            N/A          0                 0                 0                 0                 6.000             73.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.975        0.574        0.072        0.500        0.071        0.000        0.000        0.000        80563947                    43734714                    0                           0                           
GPU 0     1410         1512         0                           68                60           76.086            28777859939             0            N/A          19                2                 0                 0                 1.000             18.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.975        0.574        0.072        0.500        0.071        0.000        0.000        0.000        80563947                    43734714                    0                           0                           
GPU 0     1410         1512         0                           68                61           282.159           28777888396             0            N/A          19                2                 0                 0                 1.000             18.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        8876376                     16790798                    0                           0                           
GPU 0     1410         1512         0                           68                61           283.897           28777916984             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        3492703                     13424077                    0                           0                           
GPU 0     1410         1512         0                           68                62           285.188           28777945717             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.957        0.561        0.070        0.488        0.071        0.000        0.000        0.002        7727138                     16118104                    0                           0                           
GPU 0     1410         1512         0                           68                62           285.963           28777975189             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.956        0.562        0.070        0.488        0.071        0.000        0.000        0.000        8815088                     16811959                    0                           0                           
GPU 0     1410         1512         0                           68                62           285.949           28778003791             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.954        0.559        0.070        0.486        0.071        0.000        0.000        0.002        8143653                     15927384                    0                           0                           
GPU 0     1410         1512         0                           68                62           285.968           28778032551             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.953        0.000        0.000        0.000        0.070        0.000        0.000        0.002        9272257                     17062786                    0                           0                           
GPU 0     1410         1512         0                           68                62           286.364           28778061304             0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.955        0.561        0.070        0.488        0.071        0.000        0.000        0.002        8605542                     16228914                    0                           0                           
GPU 0     1410         1512         0                           68                62           286.842           28778090151             0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           159416625422816             156080327784992             456               0.955        0.560        0.070        0.488        0.071        0.000        0.000        0.002        5730854                     14611213                    0                           0                           
