#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           60                48           69.106            695138704               0            N/A          0                 0                 0                 0                 4.000             50.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.960        0.553        0.069        0.478        0.070        0.000        0.000        0.000        83916083                    53613053                    0                           0                           
GPU 0     1410         1512         0                           60                48           193.711           695152460               0            N/A          19                2                 0                 0                 1.000             19.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.960        0.553        0.069        0.478        0.070        0.000        0.000        0.000        83916083                    53613053                    0                           0                           
GPU 0     1410         1512         0                           60                50           196.281           695172100               0            N/A          19                2                 0                 0                 1.000             19.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.562        0.070        0.489        0.071        0.000        0.000        0.002        8884170                     16874306                    0                           0                           
GPU 0     1410         1512         0                           60                51           193.698           695191782               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5378266                     14461188                    0                           0                           
GPU 0     1410         1512         0                           60                51           193.795           695211333               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5354129                     14470200                    0                           0                           
GPU 0     1410         1512         0                           60                51           193.928           695230791               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.000        5353262                     14443030                    0                           0                           
GPU 0     1410         1512         0                           60                51           193.734           695250204               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        6382116                     14975301                    0                           0                           
GPU 0     1410         1512         0                           60                51           194.084           695269700               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        5296591                     14394825                    0                           0                           
GPU 0     1410         1512         0                           60                51           193.928           695289188               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.957        0.561        0.070        0.488        0.071        0.000        0.000        0.000        5795977                     14651768                    0                           0                           
GPU 0     1410         1512         0                           60                52           193.734           695308748               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        7923190                     16061860                    0                           0                           
