#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           63                53           73.231            842942513               0            N/A          0                 0                 0                 0                 6.000             67.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.952        0.544        0.068        0.469        0.068        0.000        0.000        0.000        81419017                    51177667                    0                           0                           
GPU 0     1410         1512         0                           63                53           73.146            842967606               0            N/A          18                2                 0                 0                 1.000             18.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.952        0.544        0.068        0.469        0.068        0.000        0.000        0.000        81419017                    51177667                    0                           0                           
GPU 0     1410         1512         0                           65                56           266.331           842994275               0            N/A          18                2                 0                 0                 1.000             18.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.560        0.070        0.487        0.071        0.000        0.000        0.002        9633460                     17258396                    0                           0                           
GPU 0     1410         1512         0                           65                57           266.336           843021083               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.954        0.000        0.000        0.000        0.071        0.000        0.000        0.002        4068343                     13671802                    0                           0                           
GPU 0     1410         1512         0                           64                57           266.833           843047943               0            N/A          95                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        7980377                     16294909                    0                           0                           
GPU 0     1410         1512         0                           64                58           267.327           843074861               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.000        8524420                     16621365                    0                           0                           
GPU 0     1410         1512         0                           64                58           267.427           843101763               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.561        0.070        0.487        0.071        0.000        0.000        0.002        8750239                     16223709                    0                           0                           
GPU 0     1410         1512         0                           64                58           267.641           843128770               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        9563306                     17238548                    0                           0                           
GPU 0     1410         1512         0                           64                58           267.843           843155727               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        9563306                     17238548                    0                           0                           
GPU 0     1410         1512         0                           64                58           267.843           843185120               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.560        0.070        0.487        0.071        0.000        0.000        0.002        17685072                    20504099                    0                           0                           
GPU 0     1410         1512         0                           64                58           268.311           843209984               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1774811069952               909728339424                456               0.956        0.561        0.070        0.488        0.071        0.000        0.000        0.002        7301833                     15729406                    0                           0                           
