#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           65                55           73.731            938036538               0            N/A          0                 0                 0                 0                 4.000             53.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.955        0.548        0.068        0.472        0.066        0.000        0.000        0.000        81596969                    51289523                    0                           0                           
GPU 0     1410         1512         0                           66                57           73.036            938056606               0            N/A          20                2                 0                 0                 2.000             20.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.955        0.548        0.068        0.472        0.066        0.000        0.000        0.000        81596969                    51289523                    0                           0                           
GPU 0     1410         1512         0                           66                58           268.411           938083849               0            N/A          20                2                 0                 0                 2.000             20.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.955        0.560        0.070        0.487        0.070        0.000        0.000        0.002        8413062                     16497055                    0                           0                           
GPU 0     1410         1512         0                           66                59           271.245           938111088               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.955        0.000        0.000        0.000        0.070        0.000        0.000        0.002        3492470                     13382372                    0                           0                           
GPU 0     1410         1512         0                           66                59           267.436           938138168               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.954        0.560        0.070        0.487        0.070        0.000        0.000        0.002        5382516                     14638698                    0                           0                           
GPU 0     1410         1512         0                           66                59           271.924           938165515               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.956        0.561        0.070        0.488        0.070        0.000        0.000        0.000        7279861                     15867267                    0                           0                           
GPU 0     1410         1512         0                           66                59           267.928           938192602               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.955        0.560        0.070        0.487        0.070        0.000        0.000        0.002        14025730                    19571531                    0                           0                           
GPU 0     1410         1512         0                           66                59           272.115           938220890               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.956        0.000        0.000        0.000        0.071        0.000        0.000        0.002        5389194                     14479532                    0                           0                           
GPU 0     1410         1512         0                           66                59           272.404           938248017               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.957        0.562        0.070        0.488        0.070        0.000        0.000        0.002        5687950                     14648554                    0                           0                           
GPU 0     1410         1512         0                           66                60           268.795           938275061               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.956        0.561        0.070        0.488        0.070        0.000        0.000        0.000        7077954                     15322351                    0                           0                           
GPU 0     1410         1512         0                           66                60           268.122           938302042               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.957        0.000        0.000        0.000        0.071        0.000        0.000        0.002        6874291                     15192767                    0                           0                           
GPU 0     1410         1512         0                           66                60           268.590           938329071               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.951        0.558        0.070        0.486        0.070        0.000        0.000        0.002        7520442                     15479451                    0                           0                           
GPU 0     1410         1512         0                           66                60           267.649           938356011               0            N/A          96                10                0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1855201463104               909728339424                456               0.952        0.558        0.070        0.485        0.070        0.000        0.000        0.000        9736850                     16858535                    0                           0                           
