#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           59                46           68.137            769391883               0            N/A          2                 0                 0                 0                 5.000             61.000            0                 0                 0                 0                           0                           0                           1715683352032               909728339424                456               0.956        0.551        0.069        0.483        0.069        0.000        0.000        0.000        81876332                    50035536                    0                           0                           
GPU 0     1395         1512         0                           59                46           273.646           769403780               0            N/A          13                1                 0                 0                 1.000             12.000            0                 0                 0                 0                           0                           0                           1715751764288               909728339424                456               0.956        0.551        0.069        0.483        0.069        0.000        0.000        0.000        81876332                    50035536                    0                           0                           
GPU 0     1395         1512         4                           60                51           302.155           769434341               0            N/A          13                1                 0                 0                 1.000             12.000            0                 0                 0                 0                           0                           0                           1715854777888               909728339424                456               0.956        0.560        0.070        0.487        0.069        0.000        0.000        0.002        10087947                    17310228                    0                           0                           
GPU 0     1395         1512         4                           60                51           304.376           769464900               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1715957641504               909728339424                456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        5339405                     14439992                    0                           0                           
GPU 0     1395         1512         4                           60                52           305.303           769495592               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716122868864               909728339424                456               0.956        0.560        0.070        0.487        0.069        0.000        0.000        0.002        7871401                     16005436                    0                           0                           
GPU 0     1395         1512         4                           60                52           305.303           769555940               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716223494720               909728339424                456               0.957        0.561        0.070        0.488        0.069        0.000        0.000        0.000        9140003                     16704256                    0                           0                           
GPU 0     1380         1512         4                           60                52           295.487           769585624               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716323988288               909728339424                456               0.957        0.000        0.000        0.000        0.069        0.000        0.000        0.002        9145547                     16717043                    0                           0                           
GPU 0     1380         1512         4                           60                53           295.581           769615365               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716424561952               909728339424                456               0.955        0.561        0.070        0.488        0.069        0.000        0.000        0.002        9073200                     16661436                    0                           0                           
GPU 0     1380         1512         4                           60                53           295.484           769645067               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716525175744               909728339424                456               0.957        0.561        0.070        0.488        0.069        0.000        0.000        0.000        9146706                     16726690                    0                           0                           
GPU 0     1380         1512         4                           60                53           295.487           769674759               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716625593280               909728339424                456               0.956        0.000        0.000        0.000        0.069        0.000        0.000        0.002        9114657                     16711919                    0                           0                           
GPU 0     1380         1512         4                           60                53           295.483           769704458               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716726318112               909728339424                456               0.955        0.561        0.070        0.488        0.069        0.000        0.000        0.002        10364616                    17358064                    0                           0                           
GPU 0     1380         1512         4                           60                53           295.487           769734132               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716826771904               909728339424                456               0.955        0.561        0.070        0.488        0.069        0.000        0.000        0.002        10364616                    17358064                    0                           0                           
GPU 0     1380         1512         4                           61                53           295.187           769763784               0            N/A          96                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1716927187328               909728339424                456               0.952        0.558        0.070        0.485        0.068        0.000        0.000        0.002        10001362                    17205002                    0                           0                           
GPU 0     1380         1512         4                           61                53           295.277           769793467               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717027790624               909728339424                456               0.952        0.559        0.070        0.486        0.068        0.000        0.000        0.000        9148762                     16549884                    0                           0                           
GPU 0     1380         1512         4                           61                53           295.101           769823134               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717128200704               909728339424                456               0.950        0.558        0.070        0.485        0.068        0.000        0.000        0.002        5268412                     14050274                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1380         1512         4                           61                53           295.091           769852774               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717228650368               909728339424                456               0.952        0.000        0.000        0.000        0.068        0.000        0.000        0.002        9909881                     17069221                    0                           0                           
GPU 0     1380         1512         4                           61                53           294.797           769882410               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717329249984               909728339424                456               0.951        0.559        0.070        0.486        0.068        0.000        0.000        0.002        3984674                     13321838                    0                           0                           
GPU 0     1380         1512         4                           61                53           294.612           769912060               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717429728736               909728339424                456               0.951        0.557        0.070        0.485        0.068        0.000        0.000        0.002        4943794                     13869293                    0                           0                           
GPU 0     1380         1512         4                           61                53           294.597           769941732               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717530182464               909728339424                456               0.951        0.558        0.070        0.485        0.068        0.000        0.000        0.000        5317526                     14088485                    0                           0                           
GPU 0     1380         1512         4                           61                54           294.419           769971279               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717630610720               909728339424                456               0.951        0.000        0.000        0.000        0.068        0.000        0.000        0.002        5425773                     14148871                    0                           0                           
GPU 0     1380         1512         4                           61                54           294.895           770000925               0            N/A          95                9                 0                 0                 9.000             95.000            0                 0                 0                 0                           0                           0                           1717731045344               909728339424                456               0.951        0.559        0.070        0.486        0.068        0.000        0.000        0.002        7035135                     15222983                    0                           0                           
