#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           68                59           78.136            30356001194             0            N/A          2                 0                 0                 0                 0.000             96.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               1.000        0.777        0.133        0.000        0.010        0.000        0.000        0.000        80194410                    38882138                    0                           0                           
GPU 0     1410         1512         0                           68                60           115.251           30356025556             0            N/A          28                0                 0                 0                 0.000             28.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               1.000        0.777        0.133        0.000        0.010        0.000        0.000        0.000        80194410                    38882138                    0                           0                           
GPU 0     1410         1512         0                           68                63           253.564           30356051086             0            N/A          28                0                 0                 0                 0.000             28.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.790        0.183        0.000        0.010        0.000        0.000        0.671        5776112                     5512158                     0                           0                           
GPU 0     1410         1512         0                           68                63           254.652           30356077876             0            N/A          28                0                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.673        4507189                     4441867                     0                           0                           
GPU 0     1410         1512         0                           68                64           255.201           30356102536             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.792        0.184        0.000        0.010        0.000        0.000        0.000        3866542                     4234962                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.644           30356128155             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.672        3507596                     4085558                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.644           30356153734             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.790        0.184        0.000        0.010        0.000        0.000        0.672        4828934                     5002918                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.816           30356179440             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.791        0.184        0.000        0.010        0.000        0.000        0.000        5208345                     5199283                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.932           30356204989             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.674        5367342                     5272703                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.255           30356230555             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.793        0.184        0.000        0.010        0.000        0.000        0.672        9858528                     7697250                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.449           30356256138             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.791        0.184        0.000        0.010        0.000        0.000        0.672        5478728                     5249996                     0                           0                           
GPU 0     1410         1512         0                           68                64           255.125           30356281710             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.992        0.792        0.185        0.000        0.010        0.000        0.000        0.672        6784740                     5673577                     0                           0                           
GPU 0     1410         1512         0                           68                64           254.542           30356307339             0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           159852689125312             156250256613696             456               0.991        0.791        0.185        0.000        0.010        0.000        0.000        0.000        5417786                     5187219                     0                           0                           
