#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           74                66           90.277            2888126443              0            N/A          0                 0                 0                 0                 0.000             95.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.978        0.771        0.209        0.000        0.009        0.000        0.000        0.000        85548426                    46440574                    0                           0                           
GPU 0     1410         1512         0                           74                69           84.554            2888152583              0            N/A          2                 0                 0                 0                 0.000             95.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.672        9631331                     8021400                     0                           0                           
GPU 0     1410         1512         0                           74                71           279.916           2888181266              0            N/A          65                1                 0                 0                 0.000             64.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.672        9631331                     8021400                     0                           0                           
GPU 0     1410         1512         0                           74                71           281.559           2888209500              0            N/A          65                1                 0                 0                 0.000             64.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.802        0.188        0.000        0.010        0.000        0.000        0.674        3304355                     3681160                     0                           0                           
GPU 0     1410         1512         0                           74                71           281.203           2888238135              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.993        0.791        0.184        0.000        0.010        0.000        0.000        0.000        29370385                    16803096                    0                           0                           
GPU 0     1410         1512         0                           74                71           281.587           2888266399              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.672        2914522                     3584067                     0                           0                           
GPU 0     1410         1512         0                           74                71           281.079           2888294671              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.792        0.184        0.000        0.010        0.000        0.000        0.672        2841405                     3519070                     0                           0                           
GPU 0     1410         1512         0                           74                72           280.616           2888322938              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.791        0.184        0.000        0.010        0.000        0.000        0.000        3853271                     4040814                     0                           0                           
GPU 0     1410         1512         0                           74                72           280.995           2888351258              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.993        0.790        0.184        0.000        0.010        0.000        0.000        0.666        8432820                     7187335                     0                           0                           
GPU 0     1410         1512         0                           74                72           282.169           2888379479              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.992        0.000        0.000        0.000        0.010        0.000        0.000        0.674        7866216                     6746973                     0                           0                           
GPU 0     1410         1512         0                           74                72           280.884           2888407938              0            N/A          99                1                 0                 0                 1.000             99.000            0                 0                 0                 0                           0                           0                           2644936383584               1292870346944               456               0.993        0.789        0.183        0.000        0.010        0.000        0.000        0.672        4796022                     4679990                     0                           0                           
