#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           75                66           82.983            12425102319             0            N/A          0                 0                 0                 0                 3.000             94.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.976        0.712        0.160        0.003        0.032        0.000        0.000        0.000        81265418                    44115512                    0                           0                           
GPU 0     1410         1512         0                           75                69           284.312           12425121063             0            N/A          33                1                 0                 0                 1.000             32.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.976        0.712        0.160        0.003        0.032        0.000        0.000        0.000        81265418                    44115512                    0                           0                           
GPU 0     1410         1512         0                           75                71           290.905           12425150186             0            N/A          33                1                 0                 0                 1.000             32.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.789        0.158        0.003        0.035        0.000        0.724        0.000        6386558                     4966177                     0                           0                           
GPU 0     1410         1512         0                           75                71           292.100           12425179500             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.000        0.000        0.000        0.035        0.000        0.719        0.000        2690162                     2712416                     0                           0                           
GPU 0     1410         1512         0                           75                71           290.835           12425208808             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.793        0.159        0.003        0.035        0.000        0.000        0.000        6185449                     4838149                     0                           0                           
GPU 0     1410         1512         0                           75                71           291.326           12425238109             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.788        0.158        0.003        0.035        0.000        0.729        0.000        15422959                    8849584                     0                           0                           
GPU 0     1410         1512         0                           75                71           293.546           12425268177             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.788        0.158        0.003        0.034        0.000        0.719        0.000        2737553                     2539877                     0                           0                           
GPU 0     1410         1512         0                           75                71           290.641           12425297437             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.000        0.000        0.000        0.035        0.000        0.721        0.000        2644262                     2546220                     0                           0                           
GPU 0     1410         1512         0                           75                71           291.016           12425326749             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.790        0.158        0.003        0.035        0.000        0.000        0.000        1297698                     1779185                     0                           0                           
GPU 0     1410         1512         0                           75                72           293.153           12425356099             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.791        0.159        0.003        0.035        0.000        0.726        0.000        2136788                     2169793                     0                           0                           
GPU 0     1410         1512         0                           75                72           291.209           12425385338             0            N/A          100               5                 0                 0                 4.000             99.000            0                 0                 0                 0                           0                           0                           40036891066368              38053990296672              480               0.996        0.000        0.000        0.000        0.035        0.000        0.720        0.000        2192705                     2237314                     0                           0                           
