#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           70                61           78.656            34097709351             0            N/A          0                 0                 0                 0                 0.000             97.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.970        0.696        0.181        0.000        0.000        0.000        0.000        0.000        94656488                    54961832                    0                           0                           
GPU 0     1410         1512         0                           70                65           78.439            34097729648             0            N/A          25                0                 0                 0                 0.000             24.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.000        0.000        0.000        0.000        0.000        0.000        0.000        891924                      1051192                     0                           0                           
GPU 0     1410         1512         0                           70                66           262.557           34097755858             0            N/A          25                0                 0                 0                 0.000             24.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.000        0.000        0.000        0.000        0.000        0.000        0.000        891924                      1051192                     0                           0                           
GPU 0     1410         1512         0                           70                66           261.679           34097784252             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.794        0.187        0.000        0.000        0.000        0.000        0.000        5692827                     3860723                     0                           0                           
GPU 0     1410         1512         0                           70                66           263.148           34097809178             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.795        0.188        0.000        0.000        0.000        0.000        0.000        8127675                     5442971                     0                           0                           
GPU 0     1410         1512         0                           70                67           262.447           34097835618             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.795        0.188        0.000        0.000        0.000        0.000        0.000        3374832                     2559457                     0                           0                           
GPU 0     1410         1512         0                           70                67           262.577           34097861979             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.790        0.185        0.000        0.000        0.000        0.000        0.000        6079781                     4385971                     0                           0                           
GPU 0     1410         1512         0                           70                67           262.748           34097890226             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.785        0.187        0.000        0.000        0.000        0.000        0.000        4191123                     2727881                     0                           0                           
GPU 0     1410         1512         0                           70                67           262.651           34097915127             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3020176                     2226222                     0                           0                           
GPU 0     1410         1512         0                           70                67           263.429           34097941592             0            N/A          100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           170522472081152             166919250028288             444               0.998        0.791        0.186        0.000        0.000        0.000        0.000        0.000        6454397                     4622348                     0                           0                           
