#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           73                63           87.845            1893044997              0            N/A          0                 0                 0                 0                 28.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.998        0.758        0.000        0.236        0.000        0.000        0.000        76019532                    40121420                    0                           0                           
GPU 0     1410         1512         0                           73                65           87.845            1893063444              0            N/A          0                 0                 0                 0                 11.000            47.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.998        0.758        0.000        0.236        0.000        0.000        0.000        76019532                    40121420                    0                           0                           
GPU 0     1410         1512         0                           73                65           229.903           1893086600              0            N/A          48                12                0                 0                 11.000            47.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.997        0.758        0.000        0.236        0.000        0.000        0.000        8018026                     8619084                     0                           0                           
GPU 0     1410         1512         0                           73                66           230.789           1893109866              0            N/A          48                12                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.000        0.000        0.000        0.237        0.000        0.000        0.000        4101211                     6259490                     0                           0                           
GPU 0     1410         1512         0                           73                66           231.488           1893133127              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.996        0.758        0.000        0.237        0.000        0.000        0.000        7393724                     8333956                     0                           0                           
GPU 0     1410         1512         0                           74                66           231.692           1893156373              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.997        0.759        0.000        0.237        0.000        0.000        0.000        7480771                     8441347                     0                           0                           
GPU 0     1410         1512         0                           74                66           231.713           1893179642              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.000        0.000        0.000        0.236        0.000        0.000        0.000        7449203                     8417689                     0                           0                           
GPU 0     1410         1512         0                           73                66           232.144           1893202910              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.996        0.758        0.000        0.237        0.000        0.000        0.000        8333338                     8789230                     0                           0                           
GPU 0     1410         1512         0                           74                66           231.655           1893226219              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.997        0.758        0.000        0.237        0.000        0.000        0.000        7659760                     7934333                     0                           0                           
GPU 0     1410         1512         0                           74                66           231.482           1893249501              0            N/A          100               30                0                 0                 29.000            99.000            0                 0                 0                 0                           0                           0                           28790429522080              28777768959968              686               1.000        0.997        0.758        0.000        0.237        0.000        0.000        0.000        4857503                     6460647                     0                           0                           
