#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           51                37           73.306            1309100806              0            N/A          25                1                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        90771558                    42360060                    0                           0                           
GPU 0     1410         1512         0                           51                37           70.374            1309107939              0            N/A          35                1                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        696213                      337405                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.598            1309115206              0            N/A          35                1                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3900503                     2378569                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1309122489              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5457574                     3502008                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.363            1309129753              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5457574                     3502008                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.507            1309137030              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1536900                     829841                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.402            1309144304              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6129951                     3842874                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.507            1309151569              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1344331                     715123                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.450            1309158842              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2610455                     1432067                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.262            1309166118              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        8881404                     5807526                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.409            1309173400              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2039671                     1101398                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.214            1309180686              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5840490                     3750759                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.384            1309187950              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3724913                     2254304                     0                           0                           
GPU 0     1410         1512         1                           51                37           72.403            1309195221              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5423702                     3506139                     0                           0                           
GPU 0     1410         1512         1                           51                37           72.266            1309202481              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6575307                     4098450                     0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         1                           51                37           72.478            1309209767              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        984141                      532813                      0                           0                           
GPU 0     1410         1512         1                           51                37           72.363            1309217027              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7709069                     4713980                     0                           0                           
GPU 0     1410         1512         1                           51                37           72.435            1309224298              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2272586                     1313797                     0                           0                           
GPU 0     1410         1512         1                           51                37           72.363            1309231565              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362543122560              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        859159                      474584                      0                           0                           
GPU 0     1410         1512         1                           51                37           72.074            1309238559              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362646530240              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7447929                     4214028                     0                           0                           
GPU 0     1095         1512         1                           51                37           55.798            1309243814              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362749474112              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5730860                     3593521                     0                           0                           
GPU 0     1095         1512         1                           51                37           52.120            1309249086              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362851729600              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5730860                     3593521                     0                           0                           
GPU 0     1080         1512         1                           51                37           51.451            1309254248              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362954361696              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3862500                     2121261                     0                           0                           
GPU 0     1080         1512         1                           51                37           51.082            1309259387              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363057752576              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2360264                     1314887                     0                           0                           
GPU 0     1080         1512         1                           51                37           51.386            1309264549              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363160425472              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2630257                     1437653                     0                           0                           
GPU 0     1080         1512         1                           51                37           51.182            1309269735              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363263005600              27350682477920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2655088                     1437828                     0                           0                           
GPU 0     1065         1512         1                           51                37           51.322            1309274902              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363365644032              27350705081920              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2581474                     1413266                     0                           0                           
GPU 0     1065         1512         1                           51                37           51.322            1309280054              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363468605728              27350808043616              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6065018                     3717870                     0                           0                           
GPU 0     1035         1512         1                           51                37           50.983            1309285208              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27363572041376              27350911479264              4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6138328                     3741608                     0                           0                           
