#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           48                33           65.566            1265770339              0            N/A          28                0                 0                 0                 0.000             27.000            0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        91411159                    42658541                    0                           0                           
GPU 0     1410         1512         0                           48                33           65.453            1265777187              0            N/A          59                1                 0                 0                 1.000             59.000            0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        749910                      367561                      0                           0                           
GPU 0     1410         1512         0                           48                33           70.394            1265784264              0            N/A          59                1                 0                 0                 1.000             59.000            0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4093245                     2473933                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.479            1265791367              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4093245                     2473933                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.517            1265798435              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1746130                     907978                      0                           0                           
GPU 0     1410         1512         0                           48                33           70.575            1265805514              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7684447                     4636014                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.606            1265812592              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1408262                     748523                      0                           0                           
GPU 0     1410         1512         0                           48                33           70.558            1265819709              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2414130                     1333909                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.537            1265826809              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5233992                     3271803                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.835            1265833898              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2086968                     1121231                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.314            1265841009              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6026143                     3847388                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.939            1265848093              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4132130                     2429194                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.673            1265855255              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5369372                     3464912                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.767            1265862395              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7151866                     4391304                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.381            1265869371              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2190709                     1278982                     0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           48                33           70.628            1265876471              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7964338                     4854001                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.329            1265883564              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1487478                     774049                      0                           0                           
GPU 0     1410         1512         0                           48                33           70.388            1265890664              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        859158                      458220                      0                           0                           
GPU 0     1410         1512         0                           48                33           70.440            1265897756              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5201637                     3061407                     0                           0                           
GPU 0     1410         1512         0                           48                33           70.512            1265904863              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4430514                     2854190                     0                           0                           
