#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           51                37           66.069            1287390578              0            N/A          36                1                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        91064314                    45532157                    0                           0                           
GPU 0     1410         1512         0                           51                37           71.536            1287397409              0            N/A          50                1                 0                 0                 0.000             50.000            0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        719536                      355675                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287404665              0            N/A          50                1                 0                 0                 0.000             50.000            0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4257583                     2548851                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.254            1287411932              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5754504                     3658986                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.157            1287419200              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5754504                     3658986                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287426455              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1652788                     885150                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.305            1287433719              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5727272                     3640884                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.215            1287440971              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1545594                     821894                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.352            1287448236              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2627283                     1448688                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.363            1287455488              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5939550                     3618368                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.117            1287462735              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2669347                     1420477                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287469992              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6166843                     3905980                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287477256              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4192023                     2466621                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.409            1287484510              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5502582                     3530282                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287491761              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5906517                     3679109                     0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1410         1512         0                           51                37           72.331            1287506296              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5530658                     3549190                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.215            1287513552              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7108749                     4373652                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287520835              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1393680                     737857                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.312            1287528081              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7522315                     4624853                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.255            1287535345              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1760902                     1080716                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.236            1287542599              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        834848                      458357                      0                           0                           
GPU 0     1410         1512         0                           51                37           72.360            1287549879              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4352073                     2640190                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.254            1287557155              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5323862                     3407289                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.402            1287564438              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4504344                     2720444                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.233            1287571696              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5209243                     3350004                     0                           0                           
GPU 0     1410         1512         0                           51                37           72.403            1287578972              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           27362537908544              27350682477920              4526              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3857606                     2088507                     0                           0                           
