#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           41                37           153.372           25774476264             0            N/A          8                 1                 0                 0                 0.000             3.000             0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4380              0.044        0.036        0.007        0.000        0.002        0.000        0.008        0.017        14810873                    18891940                    466823135                   469237684                   
GPU 3     1980         2619         0                           41                37           153.372           25774476264             0            N/A          8                 1                 0                 0                 0.000             3.000             0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4380              0.984        0.898        0.007        0.000        0.002        0.000        0.008        0.767        14810873                    18891940                    466823135                   469237684                   
GPU 3     1980         2619         0                           41                38           176.169           25774476264             0            N/A          88                1                 0                 0                 0.000             3.000             0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4382              0.984        0.898        0.172        0.000        0.002        0.000        0.008        0.767        14810873                    20355241                    466823135                   469237684                   
GPU 3     1980         2619         0                           41                38           176.169           25774566674             0            N/A          88                1                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4382              0.983        0.943        0.172        0.000        0.002        0.000        0.000        0.812        13286372                    20355241                    0                           0                           
GPU 3     1980         2619         0                           41                38           229.341           25774566674             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4384              0.983        0.943        0.180        0.000        0.002        0.000        0.000        0.812        13286372                    17899334                    0                           0                           
GPU 3     1980         2619         0                           41                38           229.341           25774566674             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4384              0.983        0.943        0.180        0.000        0.002        0.000        0.001        0.812        13957714                    17899334                    0                           0                           
GPU 3     1980         2619         0                           41                38           261.773           25774655473             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4384              0.983        0.941        0.179        0.000        0.002        0.000        0.001        0.810        13957714                    18536748                    0                           0                           
GPU 3     1980         2619         0                           41                38           261.773           25774655473             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4384              0.983        0.942        0.179        0.000        0.002        0.000        0.000        0.812        14465675                    18536748                    0                           0                           
GPU 3     1980         2619         0                           41                38           290.936           25774714297             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4386              N/A          N/A          N/A          N/A          N/A          N/A          N/A          0.809        N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           41                38           297.583           25774773564             0            N/A          98                0                 0                 0                 0.000             98.000            0                 0                 0                 0                           0                           0                           251973901326112             251973505745024             4386              0.983        0.940        0.180        0.000        0.002        0.000        0.000        0.813        15942756                    15125749                    0                           0                           
