#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           44                34           125.829           22678611120             0            N/A          0                 0                 0                 0                 25.000            97.000            0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               0.355        0.354        0.237        0.000        0.062        0.000        0.000        0.000        6587641                     7964116                     0                           0                           
GPU 3     1980         2619         0                           45                36           152.401           22678611120             0            N/A          28                6                 0                 0                 25.000            97.000            0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               0.405        0.383        0.257        0.000        0.067        0.000        0.000        0.000        202444995                   2882679282                  0                           0                           
GPU 3     1980         2619         0                           46                37           176.105           22678645217             0            N/A          28                6                 0                 0                 27.000            97.000            0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.067        0.000        0.000        0.000        202444995                   11154906                    0                           0                           
GPU 3     1980         2619         0                           46                38           198.907           22678679452             0            N/A          100               27                0                 0                 27.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.173        0.000        0.000        0.000        6503161                     12310694                    0                           0                           
GPU 3     1980         2619         0                           46                38           221.839           22678713754             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.173        0.000        0.000        0.000        7671582                     13423513                    0                           0                           
GPU 3     1980         2619         0                           46                38           242.142           22678748029             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.173        0.000        0.000        0.000        8857762                     12182894                    0                           0                           
GPU 3     1980         2619         0                           46                38           267.733           22678782378             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.173        0.000        0.000        0.000        7571057                     12091051                    0                           0                           
GPU 3     1980         2619         0                           46                38           290.631           22678816696             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        0.997        0.668        0.000        0.175        0.000        0.000        0.000        7766164                     12437306                    0                           0                           
GPU 3     1980         2619         0                           46                38           290.631           22678851016             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               N/A          0.997        N/A          0.000        0.175        0.000        0.000        N/A          7766164                     N/A                         0                           0                           
GPU 3     1980         2619         0                           47                38           336.622           22678954025             0            N/A          100               27                0                 0                 26.000            100.000           0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             782               1.000        N/A          0.668        N/A          N/A          N/A          N/A          0.000        N/A                         16201676                    N/A                         N/A                         
