#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     345          2619         1                           34                25           69.359            21741197529             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062041663072             226062041663072             4                 N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     345          2619         1                           33                25           69.368            21741197529             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062041663072             226062041663072             4                 N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     345          2619         1                           34                25           69.368            21741204468             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062146162048             226062146162048             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7605801                     6781450                     0                           0                           
GPU 3     345          2619         1                           33                25           69.371            21741211395             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062249744384             226062249744384             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7605801                     4334103                     0                           0                           
GPU 3     345          2619         1                           34                25           69.384            21741218309             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062352417152             226062352417152             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5736449                     5021336                     0                           0                           
GPU 3     345          2619         72                          34                25           69.384            21741225234             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062456345504             226062456345504             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6052420                     5343994                     0                           0                           
GPU 3     345          2619         1                           34                25           69.383            21741232171             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062560743200             226062560743200             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5857827                     5142446                     0                           0                           
GPU 3     172          2619         1                           34                25           69.397            21741239105             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062665812608             226062665812608             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5837379                     5132331                     0                           0                           
GPU 3     172          2619         1                           34                25           69.409            21741246054             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062771209696             226062771209696             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5877908                     5163237                     0                           0                           
GPU 3     345          2619         72                          33                25           69.409            21741259922             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           226062876252000             226062876252000             4                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5863554                     5151883                     0                           0                           
