#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           34                26           110.785           22311364186             0            N/A          41                1                 0                 0                 0.000             22.000            0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           34                26           110.738           22311364186             0            N/A          4                 0                 0                 0                 0.000             22.000            0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           34                26           110.732           22311375177             0            N/A          4                 0                 0                 0                 0.000             22.000            0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        N/A          N/A          N/A          N/A          0.000        N/A                         3112705                     N/A                         N/A                         
GPU 3     1980         2619         0                           34                26           110.771           22311386176             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4588161                     3920792                     0                           0                           
GPU 3     1980         2619         0                           34                26           110.761           22311397212             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4588161                     4775937                     0                           0                           
GPU 3     1980         2619         0                           33                26           110.761           22311408217             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5500670                     5125177                     0                           0                           
GPU 3     1980         2619         0                           33                26           110.680           22311419191             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5849897                     4562224                     0                           0                           
GPU 3     1980         2619         0                           33                26           110.680           22311430180             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              N/A          0.000        0.000        0.000        0.000        0.000        0.000        N/A          5276538                     4562224                     0                           0                           
GPU 3     1980         2619         0                           34                26           110.107           22311463208             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        N/A          N/A          N/A          N/A          N/A          N/A          0.000        N/A                         8174980                     N/A                         N/A                         
GPU 3     1980         2619         0                           34                26           110.056           22311474189             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028808441440             228028412860352             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        9405120                     2750748                     0                           0                           
