#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           36                28           104.107           22344797281             0            N/A          40                1                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.001        0.000        0.000        0.000        0.001        0.000        0.000        0.000        89180962                    1802529326                  0                           0                           
GPU 3     1980         2619         0                           36                28           104.107           22344797281             0            N/A          40                1                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              N/A          0.000        0.000        0.000        0.001        0.000        0.000        N/A          89180962                    1802529326                  0                           0                           
GPU 3     1980         2619         0                           35                28           104.124           22344819488             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        N/A          N/A          N/A          N/A          N/A          N/A          0.000        N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           35                28           104.169           22344830550             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        N/A          0.000        0.000        0.000        0.000        N/A          5797265                     N/A                         0                           0                           
GPU 3     1980         2619         0                           35                28           111.251           22344874880             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              N/A          N/A          0.000        N/A          N/A          N/A          N/A          0.000        N/A                         15595849                    N/A                         N/A                         
GPU 3     1980         2619         0                           36                28           110.979           22344885997             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        16122489                    4709919                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.976           22344897095             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5577402                     4014704                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.909           22344908184             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4723782                     3952858                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.890           22344919232             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4612514                     5217483                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.940           22344930306             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        6039449                     4990350                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.940           22344941417             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5689408                     4230301                     0                           0                           
GPU 3     1980         2619         0                           35                28           111.015           22344952517             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4944707                     4464156                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.969           22344963569             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5168217                     4044896                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.966           22344974671             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4121408                     3434637                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.966           22344985766             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4053912                     3434637                     0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           35                28           110.902           22345007909             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4347335                     15584195                    0                           0                           
GPU 3     1980         2619         0                           35                28           110.903           22345019002             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        17638452                    15584195                    0                           0                           
GPU 3     1980         2619         0                           35                28           110.959           22345052252             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           36                28           110.864           22345063321             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        8308232                     7930350                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.936           22345074441             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        8959382                     3977621                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.980           22345085530             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4697033                     4086330                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.938           22345096604             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4805607                     4028663                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.900           22345107688             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4747881                     4154208                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.914           22345118776             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4868294                     3940352                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.917           22345129842             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4654410                     4077243                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.868           22345140904             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4796756                     4987980                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.906           22345151995             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5775008                     4284529                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.963           22345163107             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        N/A          0.000        0.000        0.000        0.000        0.000        4993405                     N/A                         0                           0                           
GPU 3     1980         2619         0                           36                28           110.893           22345185244             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              N/A          N/A          0.000        N/A          N/A          N/A          N/A          N/A          N/A                         13636991                    N/A                         N/A                         
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           35                28           110.894           22345207434             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        15422047                    4417939                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.951           22345240708             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        N/A          0.000        0.000        0.000        0.000        0.000        7073441                     6814315                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.985           22345251812             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              N/A          N/A          0.000        N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     1980         2619         0                           35                28           110.947           22345262898             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5586080                     4845937                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.896           22345273943             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4785198                     4064567                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.968           22345285016             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4878245                     4162838                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.977           22345296137             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5515666                     4780591                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.907           22345307226             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4869301                     4158870                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.910           22345318283             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4992727                     4272073                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.943           22345329364             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4702085                     3986663                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.966           22345340462             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4900509                     4181073                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.966           22345351551             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4780394                     4061265                     0                           0                           
GPU 3     1980         2619         0                           35                28           110.950           22345373699             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        5938173                     4989317                     0                           0                           
GPU 3     1980         2619         0                           36                28           110.955           22345395900             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        15582814                    13811692                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     1980         2619         0                           36                28           110.955           22345395900             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        0.000        N/A          N/A          N/A          0.000        N/A                         13811692                    N/A                         N/A                         
GPU 3     1980         2619         0                           35                28           110.908           22345429215             0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           228028995538336             228028599957248             4622              0.000        0.000        0.000        N/A          0.000        0.000        0.000        0.000        11553412                    11167603                    0                           0                           
