#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         0                           0                 60           116.911           2134783982              2            35           9                 0                 0                 0                 0.000             90.000            0                 0                 0                 0                           0                           0                           16935258411136              16935258411136              169               0.917        0.197        0.049        0.148        0.000        0.000        0.001        0.000        150234741                   50078247                    0                           0                           
GPU 0     1935         6500         0                           0                 61           163.297           2134797093              2            35           9                 0                 0                 0                 0.000             8.000             0                 0                 0                 0                           0                           0                           16935359174432              16935359174432              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6382708                     30203008                    0                           0                           
GPU 0     1935         6500         0                           0                 61           192.256           2134813000              2            35           93                0                 0                 0                 0.000             8.000             0                 0                 0                 0                           0                           0                           16935459866752              16935459866752              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6325568                     30065954                    0                           0                           
GPU 0     1935         6500         4                           0                 61           190.699           2134828911              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16935561320768              16935561320768              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7063199                     30827768                    0                           0                           
GPU 0     1935         6500         4                           0                 61           189.685           2134844572              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16935662046272              16935662046272              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6897626                     30936263                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.852           2134860492              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16935762780864              16935762780864              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6856734                     31019095                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.812           2134876656              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16935863587552              16935863587552              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6614478                     30583027                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.668           2134892862              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16935964340768              16935964340768              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6666029                     30716956                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.170           2134909237              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936065103168              16936065103168              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6848029                     30856958                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.959           2134925696              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936165846816              16936165846816              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6737873                     30785747                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.933           2134942220              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936266614816              16936266614816              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6717029                     30788078                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.890           2134958892              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936367369728              16936367369728              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6659765                     30768492                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.984           2134975597              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936468158496              16936468158496              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6823880                     30858823                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.819           2134992433              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936568948832              16936568948832              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6778610                     30837657                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.777           2135009372              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936669720320              16936669720320              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6729236                     30824601                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         4                           0                 61           193.651           2135026470              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936770666912              16936770666912              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6688162                     30787500                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.740           2135043640              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936871376448              16936871376448              169               0.928        0.000        0.000        0.000        0.000        0.000        0.000        0.152        6706993                     30812157                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.630           2135060924              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16936972333440              16936972333440              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6720695                     30535923                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.858           2135078202              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937073069984              16937073069984              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6944693                     30771690                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.591           2135095423              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937173859840              16937173859840              169               0.926        0.199        0.050        0.152        0.000        0.000        0.001        0.152        6772863                     30731086                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.107           2135112783              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937274666880              16937274666880              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6767956                     30818030                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.817           2135130352              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937375476672              16937375476672              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6748255                     30783920                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.216           2135147912              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937476241600              16937476241600              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6805173                     30801321                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.915           2135165535              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937577037504              16937577037504              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6757471                     30765563                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.115           2135183143              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937677841024              16937677841024              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6737266                     30695262                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.104           2135200722              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937778607072              16937778607072              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6689826                     30723237                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.253           2135218380              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937879395968              16937879395968              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6980767                     30846286                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.060           2135236029              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16937980162912              16937980162912              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6880589                     30727299                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.277           2135253689              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16938080949824              16938080949824              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6888812                     30790259                    0                           0                           
