#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         0                           0                 60           117.127           1821300105              2            35           53                0                 0                 0                 0.000             90.000            0                 0                 0                 0                           0                           0                           14980416605664              14980416605664              169               0.908        0.194        0.048        0.144        0.000        0.000        0.001        0.000        149914821                   54514480                    0                           0                           
GPU 0     1935         6500         0                           0                 61           141.388           1821312016              2            35           38                0                 0                 0                 0.000             37.000            0                 0                 0                 0                           0                           0                           14980517604576              14980517604576              169               0.927        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6435459                     30262925                    0                           0                           
GPU 0     1935         6500         0                           0                 61           193.965           1821329440              2            35           38                0                 0                 0                 0.000             37.000            0                 0                 0                 0                           0                           0                           14980618455200              14980618455200              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6232308                     29894366                    0                           0                           
GPU 0     1920         6500         4                           0                 61           195.417           1821346847              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14980720336960              14980720336960              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6632000                     30083189                    0                           0                           
GPU 0     1935         6500         4                           0                 61           189.768           1821363800              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14980821554272              14980821554272              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6642854                     30183503                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.078           1821380758              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14980922889664              14980922889664              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6485824                     30222923                    0                           0                           
GPU 0     1935         6500         4                           0                 61           192.671           1821397728              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981023714912              14981023714912              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6626252                     30369915                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.615           1821414648              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981124516064              14981124516064              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6808046                     30603121                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.315           1821431654              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981225237408              14981225237408              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7096604                     30929287                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.346           1821448739              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981325955200              14981325955200              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7046741                     30951352                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.201           1821466016              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981426685664              14981426685664              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6673468                     30774861                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.088           1821479563              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981527381440              14981527381440              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6738868                     30823003                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.710           1821493138              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981628155008              14981628155008              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6821089                     30893754                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.097           1821506862              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981728871232              14981728871232              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6788205                     30864520                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.702           1821520636              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981829629632              14981829629632              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6788015                     30863654                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         4                           0                 61           197.108           1821534551              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14981930384960              14981930384960              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6771838                     30856439                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.478           1821548522              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982031145024              14982031145024              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7071376                     30988384                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.099           1821562731              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982131859456              14982131859456              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6930006                     30797977                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.437           1821576973              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982232608832              14982232608832              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6810870                     30707474                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.170           1821591410              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982333371968              14982333371968              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6712232                     30739610                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.716           1821605945              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982434098208              14982434098208              169               0.927        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6971041                     30855315                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.149           1821620721              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982534855456              14982534855456              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6791139                     30711793                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.679           1821635590              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982635598176              14982635598176              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6754944                     30715327                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.101           1821650732              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982736335072              14982736335072              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6788655                     30762724                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.584           1821666046              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982837074560              14982837074560              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6600729                     30523365                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.170           1821681613              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14982937875520              14982937875520              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6797995                     30763605                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.573           1821697213              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983038582080              14983038582080              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6797995                     30763605                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.349           1821713013              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983139360416              14983139360416              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6774049                     30814211                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.669           1821728971              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983240074848              14983240074848              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6865289                     30891041                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         4                           0                 61           197.115           1821744990              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983340794560              14983340794560              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6853068                     30854438                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.429           1821760978              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983441593632              14983441593632              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7205691                     31055770                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.054           1821776995              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983542346912              14983542346912              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6931241                     30912840                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.217           1821793088              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983643082528              14983643082528              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6738532                     30683423                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.034           1821809383              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983743826336              14983743826336              169               0.926        0.201        0.050        0.154        0.000        0.000        0.001        0.151        6788520                     30759615                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.616           1821825662              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983844610112              14983844610112              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7087052                     31170524                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.331           1821842095              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14983945419936              14983945419936              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7145559                     31137690                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.560           1821858426              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984046185408              14984046185408              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7312353                     31357564                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.545           1821874721              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984146911040              14984146911040              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7427818                     31450236                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.354           1821891090              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984247646720              14984247646720              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7782465                     31797673                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.492           1821907506              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984348402080              14984348402080              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7648393                     31729001                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.025           1821923968              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984449174912              14984449174912              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7542362                     31686675                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.541           1821940476              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984549864768              14984549864768              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7676233                     31759954                    0                           0                           
GPU 0     1935         6500         4                           0                 61           196.901           1821956946              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984650634688              14984650634688              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        8296841                     32108548                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         4                           0                 61           196.253           1821973393              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984751450432              14984751450432              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7278074                     31549425                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.052           1821986532              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           14984852181088              14984852181088              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        7272555                     31530685                    0                           0                           
