#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         0                           0                 60           116.704           1902122053              2            36           5                 0                 0                 0                 0.000             88.000            0                 0                 0                 0                           0                           0                           15482897234976              15482897234976              169               0.903        0.198        0.049        0.158        0.000        0.000        0.001        0.000        163126593                   40781648                    0                           0                           
GPU 0     1935         6500         0                           0                 61           144.139           1902133623              2            36           5                 0                 0                 0                 0.000             88.000            0                 0                 0                 0                           0                           0                           15482998109056              15482998109056              169               0.928        0.201        0.050        0.153        0.000        0.000        0.001        0.152        7610448                     31765950                    0                           0                           
GPU 0     1935         6500         0                           0                 61           195.195           1902150810              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483098902880              15483098902880              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6850589                     31005841                    0                           0                           
GPU 0     1935         6500         4                           0                 61           197.090           1902168115              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483203673920              15483203673920              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6804961                     30048003                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.295           1902184348              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483304181664              15483304181664              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7210319                     31486271                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.373           1902200586              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483404918496              15483404918496              169               0.929        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6718659                     30516247                    0                           0                           
GPU 0     1935         6500         4                           0                 61           193.925           1902216929              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483505696736              15483505696736              169               0.929        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6613324                     30421394                    0                           0                           
GPU 0     1935         6500         4                           0                 61           191.642           1902233138              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483606528416              15483606528416              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6686664                     30531878                    0                           0                           
GPU 0     1935         6500         4                           0                 61           192.648           1902249326              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483707402240              15483707402240              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6721478                     30760759                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.009           1902265744              2            36           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           15483808144352              15483808144352              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6779999                     30967123                    0                           0                           
