#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         0                           0                 59           117.104           2042085371              2            35           3                 0                 0                 0                 0.000             89.000            0                 0                 0                 0                           0                           0                           16357867506496              16357867506496              169               0.908        0.193        0.048        0.144        0.000        0.000        0.001        0.000        148023549                   53826745                    0                           0                           
GPU 0     1935         6500         0                           0                 60           190.861           2042102194              2            35           3                 0                 0                 0                 0.000             89.000            0                 0                 0                 0                           0                           0                           16357968245920              16357968245920              169               0.927        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6477584                     30235581                    0                           0                           
GPU 0     1935         6500         0                           0                 60           193.921           2042119325              2            35           64                0                 0                 0                 0.000             63.000            0                 0                 0                 0                           0                           0                           16358068914272              16358068914272              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6495438                     30329660                    0                           0                           
GPU 0     1935         6500         4                           0                 61           192.688           2042136434              2            35           64                0                 0                 0                 0.000             63.000            0                 0                 0                 0                           0                           0                           16358170114528              16358170114528              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6686497                     30478214                    0                           0                           
GPU 0     1935         6500         4                           0                 61           190.698           2042153344              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358271039360              16358271039360              169               0.928        0.200        0.050        0.153        0.000        0.000        0.001        0.152        6705497                     30648122                    0                           0                           
GPU 0     1935         6500         4                           0                 61           192.053           2042170582              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358371781728              16358371781728              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6726320                     30846439                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.816           2042188124              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358472566080              16358472566080              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6644220                     30555164                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.244           2042205766              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358573328000              16358573328000              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6640452                     30585406                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.814           2042223598              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358674067904              16358674067904              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6710048                     30732317                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.221           2042241509              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358774812448              16358774812448              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6714200                     30749058                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.975           2042259583              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358875534144              16358875534144              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6684567                     30745336                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.025           2042277666              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16358976265728              16358976265728              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6804255                     30809656                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.759           2042295941              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359077010848              16359077010848              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6787941                     30797797                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.181           2042314299              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359177757152              16359177757152              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6684977                     30734172                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.019           2042332896              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359278523872              16359278523872              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6673277                     30733125                    0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1935         6500         4                           0                 61           195.019           2042350127              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359379255616              16359379255616              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6759054                     30792735                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.442           2042367606              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359480007776              16359480007776              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6730633                     30716128                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.095           2042384983              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359580777152              16359580777152              169               0.928        0.000        0.000        0.000        0.000        0.000        0.000        0.152        6790876                     30581376                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.212           2042402700              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359681552000              16359681552000              169               0.923        0.201        0.050        0.154        0.000        0.000        0.001        0.151        6642778                     30466316                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.050           2042420482              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359782274816              16359782274816              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6767568                     30749786                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.202           2042438451              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359883076032              16359883076032              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7097777                     30924948                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.944           2042456372              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16359983858272              16359983858272              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6891887                     30821423                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.457           2042474491              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360084657152              16360084657152              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6727889                     30688862                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.132           2042492295              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360185517152              16360185517152              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6721270                     30588723                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.403           2042510443              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360286299808              16360286299808              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6875324                     30760451                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.904           2042528505              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360387078240              16360387078240              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7065001                     30869409                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.313           2042546799              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360487852896              16360487852896              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        7009635                     30828898                    0                           0                           
GPU 0     1935         6500         4                           0                 61           195.029           2042561706              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360588669088              16360588669088              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6740066                     30746449                    0                           0                           
GPU 0     1935         6500         4                           0                 61           194.419           2042576839              2            35           93                0                 0                 0                 0.000             92.000            0                 0                 0                 0                           0                           0                           16360689469632              16360689469632              169               0.928        0.201        0.050        0.154        0.000        0.000        0.001        0.152        6716968                     30762686                    0                           0                           
